fantasyPointsRank,playerName,Team,Pos,PlayerName,Team,Pos
1,Christian McCaffrey,CAR,rb,Chinn Jeremy,CAR,dt
2,Derrick Henry,TEN,rb,Walker Tracy,DET,dt
3,Ezekiel Elliott,DAL,rb,Baker Budda,ARI,dt
4,Saquon Barkley,NYG,rb,Peppers Jabrill,NYG,dt
5,Lamar Jackson,BLT,qb,Winfield Jr. Antoine,TBB,dt
6,Dalvin Cook,MIN,rb,Thompson Darian,DAL,dt
7,Alvin Kamara,NO,rb,Phillips Adrian,NEP,dt
8,Kenyan Drake,ARZ,rb,Abram Johnathan,LVR,dt
9,Miles Sanders,PHI,rb,Harrison Ronnie,CLE,dt
10,Josh Jacobs,LV,rb,Willis Khari,IND,dt
11,Chris Carson,SEA,rb,Ryan Logan,NYG,dt
12,James Conner,PIT,rb,Smith Harrison,MIN,dt
13,Nick Chubb,CLV,rb,Collins Landon,WAS,dt
14,Joe Mixon,CIN,rb,Jenkins Malcolm,NOS,dt
15,Patrick Mahomes,KC,qb,Fitzpatrick Minkah,PIT,dt
16,Aaron Donald,LA,dt,Mills Jalen,PHI,dt
17,Michael Thomas,NO,wr,Bell Vonn,CIN,dt
18,Travis Kelce,KC,te,Mathieu Tyrann,KCC,dt
19,George Kittle,SF,te,Johnson John,LAR,dt
20,Julio Jones,ATL,wr,Rowe Eric,MIA,dt
21,Clyde Edwards-Helaire,KC,rb,Jackson Eddie,CHI,dt
22,Aaron Jones,GB,rb,Simmons Justin,DEN,dt
23,Raheem Mostert,SF,rb,Bates Jessie,CIN,dt
24,Joey Bosa,LAC,de,McDougald Bradley,NYJ,dt
25,Austin Ekeler,LAC,rb,Poyer Jordan,BUF,dt
26,Tyreek Hill,KC,wr,Clark Chuck,BAL,dt
27,Bobby Wagner,SEA,lb,Byard Kevin,TEN,dt
28,J.J. Watt,HST,de,Apke Troy,WAS,dt
29,Mark Andrews,BLT,te,Harris Anthony,MIN,dt
30,Dak Prescott,DAL,qb,Fuller Kyle,CHI,dt
31,Tom Brady,TB,qb,Hughes Mike,MIN,dt
32,Le'Veon Bell,NYJ,rb,Bradberry James,NYG,dt
33,Todd Gurley II,ATL,rb,McCourty Devin,NEP,dt
34,Mike Evans,TB,wr,Elliott DeShon,BAL,dt
35,Chris Godwin,TB,wr,McCain Bobby,MIA,dt
36,Danielle Hunter,MIN,de,Ward Jimmie,SFO,dt
37,Antonio Gibson,WAS,rb,Haden Joe,PIT,dt
38,Blake Martinez,NYG,lb,Adams Jamal,SEA,dt
39,David Johnson,HST,rb,Joseph Karl,CLE,dt
40,Kenny Clark,GB,dt,Reid Justin,HOU,dt
41,Darius Leonard,IND,lb,Ward Denzel,CLE,dt
42,Tyler Lockett,SEA,wr,Gardner-Johnson Chauncey,NOS,dt
43,Nyheim Hines,IND,rb,Neal Keanu,ATL,dt
44,Darren Waller,LV,te,Nelson Steven,PIT,dt
45,Zach Ertz,PHI,te,Sorensen Daniel,KCC,dt
46,Landon Collins,WAS,s,Boston Tre,CAR,dt
47,Budda Baker,ARZ,s,Thornhill Juan,KCC,dt
48,Davante Adams,GB,wr,Jackson Kareem,DEN,dt
49,Jamal Adams,SEA,s,Hilton Mike,PIT,dt
50,Grady Jarrett,ATL,dt,Harris Erik,LVR,dt
51,Lavonte David,TB,lb,Wilson Jarrod,JAC,dt
52,Deshaun Watson,HST,qb,Coleman Justin,DET,dt
53,Calais Campbell,BLT,de,McLeod Rodney,PHI,dt
54,Jabrill Peppers,NYG,s,Rapp Taylor,LAR,dt
55,Fletcher Cox,PHI,dt,Murphy Byron,ARI,dt
56,Sheldon Richardson,CLV,dt,Jenkins Rayshawn,LAC,dt
57,Chris Jones,KC,dt,Jones Jonathan,NEP,dt
58,A.J. Brown,TEN,wr,Bush Deon,CHI,dt
59,Melvin Gordon III,DEN,rb,Tartt Jaquiski,SFO,dt
60,Nick Bosa,SF,de,Vaccaro Kenny,TEN,dt
61,Devin Singletary,BUF,rb,McCourty Jason,NEP,dt
62,Jarvis Landry,CLV,wr,Love Julian,NYG,dt
63,Kenny Golladay,DET,wr,Moore Kenny,IND,dt
64,Trey Flowers,DET,de,Griffin Shaq,SEA,dt
65,DeForest Buckner,IND,dt,Humphrey Marlon,BAL,dt
66,Josh Allen,JAX,de,Diggs Quandre,SEA,dt
67,Brandon Graham,PHI,de,Amos Adrian,GBP,dt
68,Ja'Whaun Bentley,NE,lb,Alexander Jaire,GBP,dt
69,Cameron Heyward,PIT,de,White Tre'Davious,BUF,dt
70,Jalen Richard,LV,rb,Lattimore Marshon,NOS,dt
71,Odell Beckham Jr.,CLV,wr,Mullen Trayvon,LVR,dt
72,Kawann Short,CAR,dt,Jones Josh,JAC,dt
73,Zach Cunningham,HST,lb,Gladney Jeff,MIN,dt
74,Adam Thielen,MIN,wr,Witherspoon Ahkello,SFO,dt
75,Marlon Mack,IND,rb,King Kevin,GBP,dt
76,Jaylon Smith,DAL,lb,Butler Malcolm,TEN,dt
77,DeAndre Hopkins,ARZ,wr,Harmon Duron,DET,dt
78,D'Andre Swift,DET,rb,Jenkins Janoris,NOS,dt
79,Melvin Ingram III,LAC,de,Edmunds Terrell,PIT,dt
80,Jordan Hicks,ARZ,lb,Oliver Isaiah,ATL,dt
81,Cam Newton,NE,qb,Ramsey Jalen,LAR,dt
82,Cory Littleton,LV,lb,Peters Marcus,BAL,dt
83,Courtland Sutton,DEN,wr,Allen Ricardo,ATL,dt
84,David Montgomery,CHI,rb,Needham Nik,MIA,dt
85,Terry McLaurin,WAS,wr,Savage Darnell,GBP,dt
86,Hunter Henry,LAC,te,Whitehead Jordan,TBB,dt
87,Josh Allen,BUF,qb,Kazee Damontae,ATL,dt
88,Russell Wilson,SEA,qb,Roby Bradley,HOU,dt
89,Myles Garrett,CLV,de,Hyde Micah,BUF,dt
90,Jarran Reed,SEA,dt,Bunting Sean,TBB,dt
91,Deion Jones,ATL,lb,Woods Xavier,DAL,dt
92,Cooper Kupp,LA,wr,Davis Sean,PIT,dt
93,Calvin Ridley,ATL,wr,Ya-Sin Rock,IND,dt
94,D.J. Moore,CAR,wr,Flowers Tre,SEA,dt
95,Sam Hubbard,CIN,de,Awuzie Chidobe,DAL,dt
96,Cam Akers,LA,rb,Williams Marcus,NOS,dt
97,Harrison Smith,MIN,s,Gilmore Stephon,NEP,dt
98,Eric Kendricks,MIN,lb,Thompson Jalen,ARI,dt
99,Danny Shelton,DET,dt,Maye Marcus,NYJ,dt
100,Aaron Rodgers,GB,qb,Slay Darius,PHI,dt
101,Demarcus Lawrence,DAL,de,Henderson CJ,JAC,dt
102,Isaiah Simmons,ARZ,lb,Jackson J.C.,NEP,dt
103,Germaine Pratt,CIN,lb,Wallace Levi,BUF,dt
104,Devine Ozigbo,JAX,rb,Davis Michael,LAC,dt
105,Diontae Johnson,PIT,wr,Callahan Bryce,DEN,dt
106,Shaq Thompson,CAR,lb,Harris Chris,LAC,dt
107,Amari Cooper,DAL,wr,Sherman Richard,SFO,dt
108,Demario Davis,NO,lb,Ward Charvarius,KCC,dt
109,Robert Woods,LA,wr,Maddox Avonte,PHI,dt
110,Carlos Dunlap,CIN,de,Jackson Donte,CAR,dt
111,Drew Brees,NO,qb,Davis Carlton,TBB,dt
112,Leighton Vander Esch,DAL,lb,Poole Brian,NYJ,dt
113,Javon Hargrave,PHI,dt,Kirkpatrick Dre,ARI,dt
114,Matt Ryan,ATL,qb,Peterson Patrick,ARI,dt
115,Tracy Walker,DET,s,Howard Xavien,MIA,dt
116,Julian Edelman,NE,wr,Arnette Damon,LVR,dt
117,Carson Wentz,PHI,qb,Wiltz Jomal,MIA,dt
118,J.K. Dobbins,BLT,rb,Moreland Jimmy,WAS,dt
119,Alexander Johnson,DEN,lb,Brown Anthony,DAL,dt
120,Roquan Smith,CHI,lb,Desir Pierre,NYJ,dt
121,Mark Ingram II,BLT,rb,Herndon Tre,JAC,dt
122,Marvin Jones Jr.,DET,wr,Johnson Taron,BUF,dt
123,Malcolm Jenkins,NO,s,Murray Eric,HOU,dt
124,DeVante Parker,MIA,wr,Bouye A.J.,DEN,dt
125,T.J. Watt,PIT,lb,Meadors Nate,MIN,dt
126,T.Y. Hilton,IND,wr,Moseley Emmanuel,SFO,dt
127,Chris Herndon,NYJ,te,Maulet Art,NYJ,dt
128,Devin White,TB,lb,King Desmond,LAC,dt
129,Evan Engram,NYG,te,Wilson Tavon,IND,dt
130,Jayon Brown,TEN,lb,Fulton Kristian,TEN,dt
131,John Johnson III,LA,s,Hooker Malik,IND,dt
132,Rob Gronkowski,TB,te,Lawson Nevin,LVR,dt
133,Tremaine Edmunds,BUF,lb,Joyner Lamarcus,LVR,dt
134,A.J. Green,CIN,wr,Rhodes Xavier,IND,dt
135,Jordan Poyer,BUF,s,Hayward Casey,LAC,dt
136,Devin Bush,PIT,lb,Ballentine Corey,NYG,dt
137,Keenan Allen,LAC,wr,Elder Corn,CAR,dt
138,D.J. Chark Jr.,JAX,wr,Hargreaves Vernon,HOU,dt
139,Ndamukong Suh,TB,dt,Williams K'Waun,SFO,dt
140,Joe Schobert,JAX,lb,Edwards Mike,TBB,dt
141,Jared Cook,NO,te,Hill Troy,LAR,dt
142,Elandon Roberts,MIA,lb,Trufant Desmond,DET,dt
143,Allen Robinson II,CHI,wr,Smith Jimmy,BAL,dt
144,Austin Hooper,CLV,te,Joseph Johnathan,TEN,dt
145,Vonn Bell,CIN,s,Jones Byron,MIA,dt
146,Jason Pierre-Paul,TB,de,Robey Nickell,PHI,dt
147,Matt Ioannidis,WAS,dt,Igbinoghene Noah,MIA,dt
148,Karl Joseph,CLV,s,LeBlanc Cre'von,PHI,dt
149,Arik Armstead,SF,de,Jackson William,CIN,dt
150,Maurice Hurst,LV,dt,Hayden D.J.,JAC,dt
151,Kerryon Johnson,DET,rb,Terrell A.J.,ATL,dt
152,T.J. Hockenson,DET,te,Marshall Trey,DEN,dt
153,Zack Moss,BUF,rb,Austin Blessuan,NYJ,dt
154,Geno Atkins,CIN,dt,Young Tavon,BAL,dt
