Player,Team,Pass Att,Pass Cmp,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,FL,FPts
Aaron Rodgers,GB,662,439,4595.,35,9,65,432,3.5,3.9,370
AJ McCarron,CIN,4,2,24,0,0,0,1,0,0,1.1
Alex Smith,KC,475,298,3099.,18,11,55,214,3.2,3.9,214.6
Andrew Luck,IND,581,357,4075.,26,19,68,351,1.7,3.1,274.3
Andy Dalton,CIN,550,357,3950.,21,9,52,177,3.3,3.7,261.5
Ben Roethlisberger,PIT,589,387,4407.,29,17,22,37,0.7,2.2,266.2
Blaine Gabbert,ARI,6,4,44,0,0,1,4,0,0,2.2
Blake Bortles,JAC,559,322,3349.,21,17,62,370,3.8,4.2,243.8
Brett Hundley,GB,,,,,,,,0,0,
Brian Hoyer,SF,487,295,3094.,19,11,26,38,0.3,4.6,183.4
Brock Osweiler,CLE,3,2,18,0,0,0,1,0,0,0.8
Bryce Petty,NYJ,,,,,,,,0,0,
Cam Newton,CAR,556,312,4097.,26,17,90,404,5.5,4.2,307.3
Carson Palmer,ARI,636,379,4343.,27,18,17,35,0.3,4.4,251
Carson Wentz,PHI,617,378,3630.,22,16,48,150,1.85,3.6,226.4
Case Keenum,MIN,5,4,36,0,0,0,1,0,0,1.5
Chad Henne,JAC,28,16,163,1,1,2,7,0,0.2,9.2
Chase Daniel,NO,,,,,,,,0,0,
Christian Hackenberg,NYJ,52,27,308,1,3,4,16,0.1,0.3,12.5
Cody Kessler,CLE,51,30,311,1,2,2,3,0,0.3,12.7
Colt McCoy,WAS,1,0,5,0,0,0,0,0,0,0.2
Connor Cook,OAK,2,1,11,0,0,0,0,0,0,0.4
Dak Prescott,DAL,499,324,3710.,24,8,56,267,3.9,4,278.5
Derek Anderson,CAR,2,1,14,0,0,0,0,0,0,0.6
Derek Carr,OAK,617,376,4004.,28,12,39,91,0.4,3.8,259.7
Deshaun Watson,HOU,226,129,1206.,7,7,19,76,0.4,1.1,72.2
DeShone Kizer,CLE,484,282,2875.,13,14,54,233,1.5,3.1,171.3
Drew Brees,NO,688,485,5130.,31,16,24,34,1.6,3.8,310.2
Drew Stanton,ARI,,,,,,2,,0,0,
Eli Manning,NYG,615,390,4128.,24,16,21,30,0.2,4.4,233.3
Geno Smith,NYG,1,1,8,0,0.5,0,0,0,0,0.3
Jameis Winston,TB,612,386,4566.,27,18,48,164,2.5,3.9,286
Jared Goff,LAR,501,294,3098.,16,17,21,49,1.9,3.6,170.2
Jay Cutler,MIA,487,311,3638.,22,14.5,26,132,0.4,3.9,219.1
Jimmy Garoppolo,NE,2,1,13,0.5,0,0,0,0,0,0.5
Joe Flacco,BAL,688,443,4194.,22,19,22,52,2.6,3,238.6
Josh McCown,NYJ,465,251,2835.,14,22,35,160,1.3,3.4,149.2
Kellen Clemens,LAC,,,,,,,,0,0,
Kellen Moore,DAL,2,1,15,0,0,0,0,0,0,0.6
Kirk Cousins,WAS,611,397,4677.,24,16,33,84,3.05,4.4,284.1
Landry Jones,PIT,2,1,13,0,0,0,0,0,0,0.5
Marcus Mariota,TEN,533,330,3827.,27,14,57,346,1.8,3.6,277.75
Mark Sanchez,CHI,1,1,6,0,0,0,0,0,0,0.2
Matt Barkley,SF,4,3,29,0,0,0,0,0,0,1.2
Matt Cassel,TEN,3,2,21,0,0,0,1,0,0,0.9
Matthew Stafford,DET,586,383,4019.,23,12,39,197,2.1,2.8,261.1
Matt Moore,MIA,3,2,23,0,0,0,0,0,0,0.9
Matt Ryan,ATL,548,384,4987.,32,10,35,103,0.6,2.9,321.4
Matt Schaub,ATL,1,1,7,0,0,0,0,0,0,0.3
Mike Glennon,CHI,491,302,3473.,17,19,29,149,0.9,3.5,189.2
Mitch Trubisky,CHI,55,34,387,2,2,4,18,0.1,0.4,21.9
Nick Foles,PHI,6,3,32,0,0,0,0,0,0,1.3
Patrick Mahomes,KC,52,32,333,2,1,4,16,0.1,0.4,21.5
Paxton Lynch,DEN,28,16,176,1,1,2,7,0,0.2,9.7
Philip Rivers,LAC,599,360,4427.,30,17,15,34,0.2,5.5,267.7
Russell Wilson,SEA,570,370,4250.,27,16,80,352,1,2.8,287.2
Ryan Fitzpatrick,TB,5,4,41,0,0,0,1,0,0,1.7
Ryan Mallett,BAL,2,1,10,0,0,0,0,0,0,0.4
Sam Bradford,MIN,558,398,3759.,22,10,23,56,0.2,4,225.2
Scott Tolzien,IND,10,7,68,0,0,1,2,0,0,2.9
Sean Mannion,LAR,,,,,,,,0,0,
T.J. Yates,BUF,1,1,8,0,0,0,0,0,0,0.3
Tom Brady,NE,616,397,4720.,33,8,44,97,1,2.8,320.5
Tom Savage,HOU,332,191,1792.,11,10,24,85,0.4,1.8,106.6
Trevone Boykin,SEA,,,,,,,,0,0,
Trevor Siemian,DEN,516,297,3379.,17,16,31,63,0.3,3.4,179.3
Tyrod Taylor,BUF,467,277,3036.,21,11,103,590,3.9,3.1,265.8
