Player,Team,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds,FL,FPts
Aaron Jones,GB,10,41,0.3,2,16,0.1,0.1,8.1
Aaron Ripkowski,GB,51,267,5.5,15,101,0.9,1.7,75.2
Adrian Peterson,NO,139,589,4.2,22,139,0.6,4.9,101.6
Akeem Hunt,HOU,5,29,0,2,12,0,0.2,4.1
Alex Collins,SEA,9,43,0.3,3,26,0,0.5,8.7
Alfred Blue,HOU,54,226,0.7,13,75,0.5,1.7,37.3
Alfred Morris,DAL,87,378,2.2,11,81,0.5,0.6,62.1
Alvin Kamara,NO,81,343,3.3,36,277,1.2,1.5,89
Ameer Abdullah,DET,191,706,4.7,31,269,2.4,1.9,140.1
Andre Ellington,ARI,12,49,0.2,4,32,0,0.1,9.3
Andy Janovich,DEN,6,54,1.9,9,76,0.1,0,25
Anthony Sherman,KC,0,0,0,2,9,0,0,0.9
Benny Cunningham,CHI,5,31,0,4,34,0,0.2,6.5
Bilal Powell,NYJ,156,663,3.1,60,416,2,1.2,138.5
Bobby Rainey,BAL,3,12,0,5,30,0,0.2,4.2
Branden Oliver,LAC,68,242,1.6,15,144,0.6,1.9,51.8
Brandon Bolden,NE,5,19,0,2,19,0.2,0.2,5
Brandon Wilds,CLE,9,28,0.1,2,14,0,0.1,4.8
Brian Hill,ATL,10,35,0.3,2,18,0.1,0.1,7.7
Cameron Artis-Payne,CAR,34,138,1.3,1,16,0,0.2,23.2
Carlos Hyde,SF,211,944,5.6,24,139,2.1,5.6,154.5
Charcandrick West,KC,57,204,1.3,13,95,1,1.8,43.7
Charles Sims,TB,85,320,1.4,46,424,2.5,2.6,97.8
Chris Carson,SEA,43,186,1.5,23,191,0.8,1.1,51.5
Chris Ivory,JAC,52,200,1.6,9,79,0.2,4.8,38.7
Chris Johnson,ARI,60,232,1.2,6,44,0.3,1.5,36.6
Chris Thompson,WAS,64,269,2,49,357,2,1.5,86.6
Christian McCaffrey,CAR,193,863,6.7,47,437,1.9,1.7,181.6
C.J. Anderson,DEN,175,673,5.4,32,247,1.1,1.8,131
C.J. Prosise,SEA,68,373,2.4,37,400,0.8,1,96.5
C.J. Spiller,KC,18,68,0.5,11,76,1,0.6,23.4
Corey Grant,JAC,12,57,0.4,1,11,0.3,0.2,11
Dalvin Cook,MIN,200,800,7.4,45,305,1.2,1.6,162.1
Damien Williams,MIA,64,237,1.8,24,247,3.4,1.7,79.6
Daniel Lasco,NO,7,25,0.1,2,10,0,0.1,4.1
Danny Woodhead,BAL,85,372,2.1,62,473,3.5,1,118.1
Dan Vitale,CLE,1,3,0,2,16,0,0,1.9
Darren McFadden,DAL,137,579,1.9,26,213,0.6,2.8,94.2
Darren Sproles,PHI,91,393,2.1,54,407,2.2,1.2,105.8
David Johnson,ARI,270,1058.,11.1,72,769,3.5,3.1,270.3
DeAndre Washington,OAK,103,476,2.4,10,72,0.4,2.1,71.6
De'Angelo Henderson,DEN,10,30,0.2,2,14,0,0.1,5.6
DeMarco Murray,TEN,247,1017.,5.7,52,372,2.5,1.8,188.1
Derek Watt,LAC,1,2,0,2,42,0,0,4.4
Derrick Henry,TEN,135,556,4.8,19,195,0.9,1.2,109.3
Devante Mays,GB,10,41,0.3,2,16,0.1,0.1,8.1
Devontae Booker,DEN,96,349,2.5,26,222,0.8,3.8,76.9
