Player,Team,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds,FL,FPts
Aaron Burbridge,SF,0,,0,2,29,0,0.3,2.9
Aaron Dobson,ARI,0,0,0,6,73,0.1,0.1,7.9
Adam Humphries,TB,,,0,50,558,2.6,0.3,71.4
Adam Thielen,MIN,,,0,66,749,4.1,1.2,99.5
A.J. Green,CIN,0,0,0,89,1148.,6.2,0.5,152
Albert Wilson,KC,,,,39,395,3.4,0.4,59.9
Aldrick Robinson,SF,0,0,0,16,198,0.8,0.4,24.6
Alex Erickson,CIN,0,0,0,3,33,0,0.1,3.3
Allen Hurns,JAC,0,,0,57,689,4.6,0.5,100.1
Allen Robinson,JAC,0,0,0,72,879,6.9,0.4,129.3
Alshon Jeffery,PHI,,,0,89,1023.,4.3,0.3,128.1
Amara Darboh,SEA,0,0,0,5,63,0.4,0,8.7
Amari Cooper,OAK,1,,0,84,1102.,5.5,0.4,143.2
Andre Holmes,BUF,0,0,0,28,370,3.9,0.3,60.4
Andre Roberts,ATL,0,0,0,6,98,0.5,0.5,12.8
Antonio Brown,PIT,,,0,113,1423.,9,0.8,196.3
ArDarius Stewart,NYJ,,,0,41,547,2.3,0.6,68.5
Arrelious Benn,JAC,0,0,0,2,55,0.6,0.1,9.1
Bennie Fowler,DEN,0,0,0,4,59,0.5,0.1,8.9
Brandin Cooks,NE,,,0,72,1005.,6.7,0.3,140.7
Brandon Coleman,NO,0,0,0,38,475,3,0.3,65.5
Brandon LaFell,CIN,,,0,51,631,3.9,0.3,86.5
Brandon Marshall,NYG,0,0,0,74,906,4.9,0.8,120
Brandon Tate,BUF,,,0,4,62,0.3,0.1,8
Braxton Miller,HOU,,,0,28,270,1.7,0.3,37.2
Brenton Bersin,CAR,0,,0,6,72,0.1,0.5,7.8
Breshad Perriman,BAL,,,0,45,660,4.1,0.2,90.6
Brian Quick,WAS,0,0,0,12,189,1.2,0.1,26.1
Brice Butler,DAL,0,0,0,21,316,2.6,0.3,47.2
Brittan Golden,ARI,0,0,0,3,29,0.3,0.4,4.7
Bryce Treggs,PHI,,,0,4,64,0.2,0.1,7.6
Byron Marshall,PHI,0,0,0,2,13,0,0.1,1.3
Cameron Meredith,CHI,,,,72,910,3.8,3,113.8
Carlos Henderson,DEN,0,0,0,30,423,2.2,0.8,55.5
Chad Hansen,NYJ,0,0,0,20,274,1.2,0.6,34.6
Chad Williams,ARI,0,0,0,20,260,1.6,0.7,35.6
Charone Peake,NYJ,0,0,0,30,354,1.4,0.3,43.8
Chester Rogers,IND,0,0,0,25,350,1.5,0.3,44
Chris Conley,KC,0,0,0,42,509,1.6,0.4,60.5
Chris Godwin,TB,0,0,0,44,604,3.1,0.6,79
Chris Harper,NYJ,0,0,0,7,73,0.1,0.3,7.9
Chris Hogan,NE,,,0,55,923,4.2,1.1,117.5
Chris Matthews,BAL,0,0,0,7,69,0.5,0.1,9.9
Chris Moore,BAL,,,0,19,203,0.8,0.2,25.1
Cobi Hamilton,PIT,0,0,0,6,89,1,0,14.9
Cody Core,CIN,0,0,0,10,121,0.1,0.1,12.7
Cody Latimer,DEN,0,,0,4,44,0.1,0.1,5
Cole Beasley,DAL,,,0,70,751,4.6,0.8,97.45
Cooper Kupp,LAR,,,0,38,478,2.1,0.6,60.4
Cordarrelle Patterson,OAK,,,0,33,316,2.1,0.4,44.2
Corey Coleman,CLE,,,0,68,816,4.3,0.3,107.4
Corey Davis,TEN,0,0,0,54,707,4.2,0.6,95.9
Corey Fuller,NO,0,0,0,4,59,0.1,0.5,6.5
Curtis Samuel,CAR,,,0,39,590,3.3,0.6,78.8
Daniel Braverman,CHI,0,0,0,5,62,0.3,0.1,8
Danny Amendola,NE,,,0,42,408,3.6,2.1,62.4
Darrius Heyward-Bey,PIT,,,0,5,86,0.9,0,14
Davante Adams,GB,,,0,79,967,8.2,1,145.9
David Moore,SEA,0,0,0,5,63,0.4,0,8.7
DeAndre Hopkins,HOU,0,0,0,78,906,5.4,0.3,123
DeAngelo Yancey,GB,0,0,0,6,68,0.5,0,9.8
De'Anthony Thomas,KC,,,0,4,22,0.1,0.1,2.8
Dede Westbrook,JAC,0,0,0,32,368,2.3,0.7,50.6
Demarcus Robinson,KC,0,0,0,2,27,0.2,0.1,3.9
Demaryius Thomas,DEN,,,0,80,1016.,5.1,2.8,132.2
