PlayerID,Name,Team,Pos,Sack,Int,FR,FF,TD
1,Panthers,Car,DEF,43.3,16.1,8.6,17,2.8
2,Seahawks,Sea,DEF,41.1,14.9,9.3,18.2,2.7
3,Bengals,Cin,DEF,37.3,15,8.5,16.7,2.7
4,Steelers,Pit,DEF,42.6,12.4,8.6,16.9,2.4000000000000004
5,Chargers,SD,DEF,39.3,13.3,9,17.7,2.5
6,Jaguars,Jac,DEF,34.1,15.5,9.1,18,2.7
7,Rams,LA,DEF,36.6,13.2,9.9,19.3,2.5
8,Vikings,Min,DEF,42,11.6,8.3,16.2,2.3
9,Texans,Hou,DEF,40.8,11.7,8.7,17.1,2.3
10,Broncos,Den,DEF,33.8,13.6,9.2,18.1,2.5
11,Cardinals,Ari,DEF,34.6,12.5,9.4,18.5,2.4000000000000004
12,Ravens,Bal,DEF,31.4,11.8,8.6,16.9,2.3
13,Dolphins,Mia,DEF,38.8,15.6,9,17.6,2.8
14,Titans,Ten,DEF,41.8,13.2,9.4,18.6,2.5
15,Chiefs,KC,DEF,36.2,16,9.6,18.8,2.8
16,Redskins,Wsh,DEF,39.3,13.7,9.8,19.2,2.5
17,Buccaneers,TB,DEF,39.4,13.3,8.4,16.5,2.5
18,Giants,NYG,DEF,34.9,13.8,10,19.7,2.5
19,Falcons,Atl,DEF,37,13.8,9,17.7,2.5
20,Patriots,NE,DEF,34.6,14.4,8.7,17.2,2.5
21,Packers,GB,DEF,37,13.3,8.5,16.8,2.5
22,49ers,SF,DEF,36.1,12.3,9.7,19,2.4000000000000004
23,Bears,Chi,DEF,37.4,11.9,8.3,16.1,2.4000000000000004
24,Cowboys,Dal,DEF,33.1,11.9,9.4,18.5,2.4000000000000004
25,Eagles,Phi,DEF,32.3,12.4,9.2,18.1,2.4000000000000004
26,Saints,NO,DEF,35.3,11.3,8.3,16.3,2.3
27,Bills,Buf,DEF,33.7,10.7,8.4,16.4,2.2
28,Colts,Ind,DEF,27.9,12.6,9.1,17.8,2.4000000000000004
29,Lions,Det,DEF,28.9,12,8.4,16.5,2.4000000000000004
30,Browns,Cle,DEF,26.6,13,8.6,16.8,2.5
31,Raiders,Oak,DEF,27.6,11.5,9.1,17.8,2.4000000000000004
32,Jets,NYJ,DEF,30.3,8.7,8.3,16.2,2.
