PlayerID,Name,Team,Pos,Sack,Int,FR,FF,TD
1,Rams,LA,DEF,2.8,1.5,0.7,1.4,0.30000000000000004
2,Bills,Buf,DEF,2.8,0.7,0.7,1.5,0.2
3,Panthers,Car,DEF,2.4,1,0.6,1.2,0.2
4,Texans,Hou,DEF,2.8,0.8,0.6,1.1,0.2
5,Broncos,Den,DEF,2.2,1.1,0.6,1.2,0.2
6,Steelers,Pit,DEF,2.5,1,0.5,1.1,0.2
7,Falcons,Atl,DEF,2.4,0.8,0.7,1.4,0.2
8,Colts,Ind,DEF,1.9,0.9,0.6,1.3,0.2
9,Jaguars,Jac,DEF,2.2,0.8,0.6,1.2,0.2
10,Seahawks,Sea,DEF,2.7,0.6,0.5,0.9,0.2
11,Lions,Det,DEF,2,1,0.8,1.6,0.2
12,Bengals,Cin,DEF,2.2,1.1,0.6,1.1,0.2
13,Redskins,Wsh,DEF,2.4,0.8,0.7,1.3,0.2
14,Patriots,NE,DEF,2.3,0.5,0.5,1,0.2
15,Vikings,Min,DEF,2.4,0.9,0.5,1.1,0.2
16,Chargers,SD,DEF,2.6,0.8,0.4,0.9,0.2
17,Packers,GB,DEF,2.9,0.7,0.4,0.9,0.2
18,Ravens,Bal,DEF,1.9,0.7,0.5,0.9,0.2
19,49ers,SF,DEF,2.5,0.8,0.4,0.8,0.2
20,Cowboys,Dal,DEF,1.6,1,0.5,1,0.2
21,Eagles,Phi,DEF,1.7,0.8,0.7,1.3,0.2
22,Cardinals,Ari,DEF,2.3,0.6,0.5,1,0.2
23,Titans,Ten,DEF,2.1,0.4,0.6,1.3,0.1
24,Saints,NO,DEF,2.1,0.5,0.6,1.1,0.2
25,Giants,NYG,DEF,1.8,0.6,0.6,1.3,0.2
26,Bears,Chi,DEF,2.1,0.6,0.4,0.8,0.2
27,Raiders,Oak,DEF,1.5,0.6,0.6,1.2,0.2
28,Jets,NYJ,DEF,2.3,0.2,0.4,0.8,0.1
29,Chiefs,KC,DEF,1.9,0.8,0.5,0.9,0.2
30,Browns,Cle,DEF,1.3,0.9,0.5,0.9,0.2
31,Dolphins,Mia,DEF,--,--,--,--,2*"--"
32,Buccaneers,TB,DEF,--,--,--,--,2*"--"
