PlayerID,Name,Team,Pos,Tackles,Sack,FF,FR,Int,Int TD,Fum TD,Pass Def
1,Cameron Heyward,Pit,DT,3,0.3,0,0,0,0,0,0.4
2,Calais Campbell,Jax,DT,3.6,0.5,0.1,0.1,0,0,0,0.3
3,Chris Jones,KC,DT,2.2,0.1,0,0,0,0,0,0.3
4,Malik Jackson,Jax,DT,2.5,0.3,0,0,0,0,0,0.3
5,Aaron Donald,LAR,DT,3.3,0.6,0.1,0,0,0,0,0.2
6,Haloti Ngata,Det,DT,2.4,0.2,0,0,0,0,0,0.2
7,Jurrell Casey,Ten,DT,3.1,0.3,0,0,0,0,0,0.2
8,A'Shawn Robinson,Det,DT,2.7,0.2,0,0,0,0,0,0.2
9,Corey Liuget,LAC,DT,2.8,0.2,0,0,0,0,0,0.2
10,Linval Joseph,Min,DT,4.8,0.2,0.1,0,0,0,0,0.2
11,Jarran Reed,Sea,DT,2.3,0.1,0,0,0,0,0,0.2
12,Dontari Poe,Atl,DT,2.1,0.1,0,0,0,0,0,0.2
13,Kawann Short,Car,DT,3.2,0.3,0.1,0,0,0,0,0.2
14,Damon Harrison,NYG,DT,4.2,0.1,0,0,0,0,0,0.1
15,Alan Branch,NE,DT,3.2,0.2,0,0,0,0,0,0.1
16,Terrell McClain,Wsh,DT,2.9,0.1,0,0,0,0,0,0.1
17,Mario Edwards Jr.,Oak,DT,3.3,0.1,0.1,0,0,0,0,0.1
18,Tim Jernigan,Phi,DT,2.3,0.2,0,0,0,0,0,0.1
19,Marcell Dareus,Buf,DT,4,0.5,0,0,0,0,0,0.1
20,Grady Jarrett,Atl,DT,2.9,0.3,0,0,0,0,0,0.1
21,Brandon Mebane,LAC,DT,2.4,0.1,0,0,0,0,0,0.1
22,Abry Jones,Jax,DT,2.5,0.1,0,0,0,0,0,0.1
23,Fletcher Cox,Phi,DT,3,0.3,0.1,0,0,0,0,0.1
24,Corey Peters,Ari,DT,1.7,0.1,0,0,0,0,0,0.1
25,Al Woods,Ind,DT,2.5,0.1,0,0,0,0,0,0.1
26,Michael Brockers,LAR,DT,1.8,0.1,0,0,0,0,0,0.1
27,Tyeler Davison,NO,DT,1.7,0,0,0,0,0,0,0.1
28,Domata Peko,Den,DT,2.2,0.1,0,0,0,0,0,0.1
29,Justin Ellis,Oak,DT,1.9,0,0,0,0,0,0,0.1
30,Bennie Logan,KC,DT,2,0.1,0,0,0,0,0,0.1
31,Eddie Goldman,Chi,DT,1.8,0.2,0,0,0,0,0,0.1
32,Sylvester Williams,Ten,DT,1.5,0.1,0,0,0,0,0,0.1
33,Solomon Thomas,SF,DT,2.7,0.2,0,0,0,0,0,0.1
34,Michael Pierce,Bal,DT,2,0.1,0,0,0,0,0,0.1
35,Earl Mitchell,SF,DT,2,0,0,0,0,0,0,0.1
36,Jonathan Allen,Wsh,DT,2.6,0.2,0,0,0,0,0,0.1
37,Akiem Hicks,Chi,DT,3.4,0.3,0.1,0,0,0,0,0.1
38,Kenny Clark,GB,DT,1.8,0.1,0,0,0,0,0,0.1
39,D.J. Reader,Hou,DT,1.7,0.1,0,0,0,0,0,0.1
40,Ricky Jean Francois,GB,DT,2.1,0.2,0,0,0,0,0,0.1
41,Allen Bailey,KC,DT,1.9,0.1,0,0,0,0,0,0.1
42,Derrick Shelby,Atl,DT,1.2,0.1,0,0,0,0,0,0.1
43,Andrew Billings,Cin,DT,2.2,0.1,0,0,0,0,0,0.1
44,Javon Hargrave,Pit,DT,1.4,0.1,0,0,0,0,0,0.1
45,Frostee Rucker,Ari,DT,1.7,0.1,0.1,0,0,0,0,0.1
46,Sheldon Rankins,NO,DT,2.6,0.3,0.1,0,0,0,0,0.1
47,DeForest Buckner,SF,DT,4.1,0.3,0,0,0,0,0,0.1
48,Denico Autry,Oak,DT,0.9,0.1,0,0,0,0,0,0.1
49,Brandon Williams,Bal,DT,3.2,0.1,0,0,0,0,0,0.1
50,Karl Klug,Ten,DT,1.4,0.1,0,0,0,0,0,0.1
51,Vernon Butler,Car,DT,1.5,0.1,0,0,0,0,0,0.1
52,Star Lotulelei,Car,DT,1.7,0.2,0,0,0,0,0,0.1
53,Mike Daniels,GB,DT,2.5,0.3,0,0,0,0,0,0.1
54,Darius Latham,Oak,DT,1.5,0.1,0,0,0,0,0,0.1
55,Adolphus Washington,Buf,DT,1.5,0.2,0,0,0,0,0,0.1
56,Jonathan Bullard,Chi,DT,2,0.1,0,0,0,0,0,0.1
57,Robert Nkemdiche,Ari,DT,1.6,0.1,0,0,0,0,0,0.1
58,David Onyemata,NO,DT,1.8,0.1,0,0,0,0,0,0.1
59,Lawrence Guy,NE,DT,2.2,0.1,0,0,0,0,0,0.1
