PlayerID,Name,Team,Pos,1.39 Att,1.39 Make,40.49 Att,40.49 Make,XP Att,XP Make
1,Stephen Gostkowski,NE,K,1.2,1.1,0.6,0.5,3.1,3
2,Justin Tucker,Bal,K,1.2,1.2,0.7,0.6,1.9,1.9
3,Matt Bryant,Atl,K,1.1,1.1,0.6,0.5,2.7,2.6
4,Matt Prater,Det,K,1.1,1.1,0.6,0.5,2.6,2.5
5,Kai Forbath,Min,K,1.2,1.1,0.6,0.5,2.7,2.5
6,Graham Gano,Car,K,1.2,1.1,0.7,0.5,2.7,2.5
7,Chris Boswell,Pit,K,1.1,1.1,0.6,0.5,2.5,2.4
8,Mason Crosby,GB,K,1.1,1.1,0.6,0.5,2.6,2.5
9,Blair Walsh,Sea,K,1.2,1.1,0.6,0.5,2.6,2.4
10,Dan Bailey,Dal,K,1,1,0.6,0.5,2.7,2.6
11,Dustin Hopkins,Wsh,K,1.2,1.1,0.6,0.5,2.4,2.2
12,Phil Dawson,Ari,K,1,0.9,0.5,0.4,2.7,2.6
13,Caleb Sturgis,Phi,K,1.2,1.1,0.6,0.5,2.3,2.1
14,Sebastian Janikowski,Oak,K,1.1,1,0.6,0.5,2.3,2.2
15,Ka'imi Fairbairn,Hou,K,1.1,1.1,0.6,0.5,2.1,2
16,Stephen Hauschka,Buf,K,1,0.9,0.5,0.4,2.7,2.6
17,Younghoe Koo,LAC,K,1.1,1,0.6,0.5,2,1.9
18,Ryan Succop,Ten,K,1,0.9,0.5,0.4,2.7,2.6
19,Randy Bullock,Cin,K,1.1,1,0.6,0.4,2.5,2.2
20,Cairo Santos,KC,K,1.1,1,0.6,0.5,2,1.8
21,Adam Vinatieri,Ind,K,1,0.9,0.5,0.4,2,2
22,Greg Zuerlein,LAR,K,1.1,1,0.6,0.4,2.3,2.1
23,Wil Lutz,NO,K,0.9,0.9,0.5,0.4,2.5,2.4
24,Brandon McManus,Den,K,1,1,0.6,0.4,2,1.8
25,Aldrick Rosas,NYG,K,0.9,0.9,0.5,0.4,2.4,2.3
26,Connor Barth,Chi,K,1,0.9,0.5,0.4,2.1,2
27,Zane Gonzalez,Cle,K,1,0.9,0.5,0.4,2,1.9
28,Robbie Gould,SF,K,1,0.9,0.5,0.4,1.8,1.7
29,Chandler Catanzaro,NYJ,K,1,0.9,0.6,0.4,1.8,1.6
30,Jason Myers,Jax,K,0.9,0.9,0.5,0.4,1.6,1.6
31,Shayne Graham,Atl,K,0,0,0,0,0,0
32,Billy Cundiff,Cle,K,0,0,0,0,0,0
33,Josh Brown,NYG,K,0,0,0,0,0,0
34,Josh Scobee,NO,K,0,0,0,0,0,0
35,Mike Nugent,NYG,K,0,0,0,0,0,0
36,Nick Novak,Hou,K,0,0,0,0,0,0
37,Shaun Suisham,Pit,K,0,0,0,0,0,0
38,Nick Folk,TB,K,0,0,0,0,0,0
39,Garrett Hartley,Pit,K,0,0,0,0,0,0
40,Dan Carpenter,Buf,K,0,0,0,0,0,0
