PlayerID,Name,Team,Pos,Punt,Avg,Blocks,In20,Punt TB
1,Matt Haack,Mia,P,8.3,45.3,0,2.9,0.6
2,Bryan Anger,TB,P,8.3,46.3,0.1,2.9,0.6
3,Dustin Colquitt,KC,P,5,45.3,0,2.2,0.4
4,Brad Nortman,Jax,P,5.5,45.2,0,1.8,0.4
5,Rigoberto Sanchez,Ind,P,5.1,45.3,0,1.8,0.3
6,Lachlan Edwards,NYJ,P,5.2,44.6,0,1.8,0.3
7,Johnny Hekker,LAR,P,4.7,46.4,0,1.8,0.2
8,Sam Koch,Bal,P,4.8,46.2,0,1.8,0.4
9,Riley Dixon,Den,P,5.1,45.4,0,1.7,0.3
10,Pat O'Donnell,Chi,P,5,44.4,0,1.7,0.3
11,Andy Lee,Ari,P,4.4,46.9,0,1.7,0.4
12,Britton Colquitt,Cle,P,5.1,44.9,0,1.7,0.3
13,Brad Wing,NYG,P,4.8,44.9,0,1.7,0.3
14,Bradley Pinion,SF,P,5.2,44.3,0,1.7,0.3
15,Chris Jones,Dal,P,4.4,45.4,0,1.7,0.2
16,Drew Kaser,LAC,P,4.9,45.6,0,1.7,0.4
17,Brett Kern,Ten,P,4.4,45.8,0,1.6,0.2
18,Jon Ryan,Sea,P,4.3,44.3,0,1.6,0.3
19,Donnie Jones,Phi,P,4.5,45.6,0,1.6,0.3
20,Thomas Morstead,NO,P,4.7,46.7,0,1.6,0.4
21,Kevin Huber,Cin,P,4.5,45.9,0,1.6,0.3
22,Matt Bosher,Atl,P,4.1,46.2,0.1,1.6,0.2
23,Shane Lechler,Hou,P,4.7,46.5,0,1.6,0.4
24,Marquette King,Oak,P,4.5,46.3,0,1.6,0.3
25,Justin Vogel,GB,P,4.3,45.3,0,1.5,0.3
26,Jordan Berry,Pit,P,4.1,44.8,0,1.5,0.3
27,Michael Palardy,Car,P,4,45.3,0,1.4,0.3
28,Ryan Allen,NE,P,3.8,45.4,0,1.4,0.3
29,Tress Way,Wsh,P,4.4,46.1,0,1.4,0.4
30,Ryan Quigley,Min,P,4.2,44.8,0.1,1.4,0.3
31,Colton Schmidt,Buf,P,4.4,44.3,0,1.4,0.2
32,Brian Moorman,Buf,P,0,0,0,0,0
33,Dave Zastudil,Ari,P,0,0,0,0,0
34,Mike Scifres,Car,P,0,0,0,0,0
35,Mat McBriar,LAC,P,0,0,0,0,0
36,Michael Koenen,TB,P,0,0,0,0,0
37,Steve Weatherford,NYJ,P,0,0,0,0,0
38,Sav Rocca,Wsh,P,0,0,0,0,0
39,Adam Podlesh,Pit,P,0,0,0,0,0
40,Brandon Fields,NO,P,0,0,0,0,0
