PlayerID,Name,Team,Pos,Pass Att,Pass Cmp,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds
1,Cam Newton,Car,QB,33.3,19.5,250.6,1.6,0.8,6,29.1,0.3,0,0,0
2,Tyrod Taylor,Buf,QB,27.5,17.2,212.9,1.3,0.2,5.7,33,0.3,0,0,0
3,Russell Wilson,Sea,QB,33.6,21.6,268.3,1.8,0.7,4.9,26,0.2,0,0,0
4,Tom Brady,NE,QB,38.4,25.2,301.8,2.1,0.7,2.4,2.7,0.1,0,0,0
5,Marcus Mariota,Ten,QB,30.7,19,235.5,1.8,0.6,4,21.3,0.1,0,0,0
6,Aaron Rodgers,GB,QB,35.8,23,261.6,2,0.6,3.4,16.6,0.1,0,0,0
7,Dak Prescott,Dal,QB,33.2,21.7,251.8,1.6,0.6,3.5,15.3,0.2,0,0,0
8,Matthew Stafford,Det,QB,37.5,24.2,273.7,1.9,0.6,2.2,8.1,0.1,0,0,0
9,Ben Roethlisberger,Pit,QB,35.5,23.2,283.1,1.8,0.9,1.9,4.8,0.1,0,0,0
10,Matt Ryan,Atl,QB,34.7,23,276.2,1.8,0.6,2.2,7.5,0.1,0,0,0
11,Derek Carr,Oak,QB,39.3,24.1,282.4,1.7,0.4,2.2,5.8,0.1,0,0,0
12,Kirk Cousins,Wsh,QB,37.6,24.3,302.6,1.6,0.8,1.9,3.3,0.1,0,0,0
13,Eli Manning,NYG,QB,40.1,24.7,296.7,2,1,1.1,1.7,0,0,0,0
14,Sam Bradford,Min,QB,36.5,24,272.5,1.8,0.5,1.6,4,0.1,0,0,0
15,Carson Palmer,Ari,QB,38.9,24.2,294.6,1.7,1,1.2,2.3,0.1,0,0,0
16,Andy Dalton,Cin,QB,33.5,21.2,240.1,1.4,0.7,3.2,11.9,0.2,0,0,0
17,Drew Brees,NO,QB,39.4,26.1,287.2,1.7,0.8,1.3,1.8,0.1,0,0,0
18,Carson Wentz,Phi,QB,37.3,23.2,271.7,1.3,0.8,3.1,11.4,0.1,0,0,0
19,Alex Smith,KC,QB,35.5,23.1,252.3,1.1,0.5,2.9,14.7,0.1,0,0,0
20,DeShone Kizer,Cle,QB,34.4,20.6,235.7,1.2,1,4.5,20.6,0.2,0,0,0
