PlayerID,Name,Team,Pos,Pass Att,Pass Cmp,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds
1,Le'Veon Bell,Pit,RB,0,0,0,0,0,21.1,100.8,0.7,5,42.6,0.2
2,David Johnson,Ari,RB,0,0,0,0,0,18.2,75.7,0.8,4.9,50.1,0.3
3,Ezekiel Elliott,Dal,RB,0,0,0,0,0,20,90.3,0.7,2.8,25.1,0.1
4,Todd Gurley,LAR,RB,0,0,0,0,0,18.9,79.5,0.7,3,24.9,0.1
5,LeSean McCoy,Buf,RB,0,0,0,0,0,16.7,81.7,0.6,2.9,25.9,0.1
6,Jordan Howard,Chi,RB,0,0,0,0,0,16.9,79.3,0.5,2.1,17.9,0.1
7,Devonta Freeman,Atl,RB,0,0,0,0,0,12.8,55.7,0.6,3.2,27.5,0.2
8,Melvin Gordon,LAC,RB,0,0,0,0,0,18.9,73.8,0.4,3,21.5,0.1
9,DeMarco Murray,Ten,RB,0,0,0,0,0,15.3,70.1,0.5,2.6,20,0.1
10,Lamar Miller,Hou,RB,0,0,0,0,0,17.1,65.3,0.4,2.3,19.1,0.1
11,Leonard Fournette,Jax,RB,0,0,0,0,0,16.6,71.4,0.4,1.9,14.2,0
12,Carlos Hyde,SF,RB,0,0,0,0,0,14.8,60.2,0.4,2.5,18.3,0.1
13,C.J. Anderson,Den,RB,0,0,0,0,0,14,60,0.4,2.2,17.6,0.1
14,Dalvin Cook,Min,RB,0,0,0,0,0,12,52.8,0.5,2.1,19.3,0.1
15,Isaiah Crowell,Cle,RB,0,0,0,0,0,13.5,56.9,0.4,2.3,18.4,0.1
16,Christian McCaffrey,Car,RB,0,0,0,0,0,10,46.8,0.3,3.2,29.7,0.1
17,Marshawn Lynch,Oak,RB,0,0,0,0,0,12.4,51.7,0.5,2.3,19.7,0.1
18,Ameer Abdullah,Det,RB,0,0,0,0,0,13.3,54.8,0.3,2.2,18.2,0.1
19,Bilal Powell,NYJ,RB,0,0,0,0,0,10.3,48.9,0.2,3.2,25.7,0.1
20,Robert Kelley,Wsh,RB,0,0,0,0,0,14.2,57.9,0.5,1,8.6,0
21,Frank Gore,Ind,RB,0,0,0,0,0,14.6,57.7,0.3,1.8,13.5,0.1
22,Terrance West,Bal,RB,0,0,0,0,0,13,54,0.3,2.2,15.3,0.1
23,Mark Ingram,NO,RB,0,0,0,0,0,10.4,45.7,0.3,2.5,18.3,0.1
24,Jonathan Stewart,Car,RB,0,0,0,0,0,12.4,56.2,0.5,0.7,5.8,0
25,Ty Montgomery,GB,RB,0,0,0,0,0,10.2,41.4,0.2,2.7,21.7,0.1
26,Matt Forte,NYJ,RB,0,0,0,0,0,9.6,41.5,0.3,2.5,22.6,0.1
27,Kareem Hunt,KC,RB,0,0,0,0,0,10.5,43,0.3,2.3,18.6,0
28,Paul Perkins,NYG,RB,0,0,0,0,0,12,49.3,0.2,1.7,15.8,0.1
29,Adrian Peterson,NO,RB,0,0,0,0,0,9.9,42.6,0.3,2.1,15.3,0.1
30,Mike Gillislee,NE,RB,0,0,0,0,0,10.2,49.3,0.4,0.8,6.9,0
31,Joe Mixon,Cin,RB,0,0,0,0,0,10.3,42.3,0.4,1.5,11.7,0
32,Tevin Coleman,Atl,RB,0,0,0,0,0,7.9,34.7,0.3,2,19.3,0.1
33,Danny Woodhead,Bal,RB,0,0,0,0,0,5.7,24.1,0.1,4.2,33.3,0.2
34,Duke Johnson Jr.,Cle,RB,0,0,0,0,0,6.1,24.6,0.1,3.6,30.6,0.1
35,Giovani Bernard,Cin,RB,0,0,0,0,0,7.6,30.6,0.2,2.7,22.2,0.1
36,Theo Riddick,Det,RB,0,0,0,0,0,4.1,15.3,0.1,4.3,34.5,0.2
37,LeGarrette Blount,Phi,RB,0,0,0,0,0,10.2,43.5,0.4,0.6,4.3,0
38,Derrick Henry,Ten,RB,0,0,0,0,0,9.9,43.9,0.3,0.7,5.7,0
39,Jamaal Charles,Den,RB,0,0,0,0,0,6.9,34.5,0.1,2.1,17.5,0.1
40,Darren Sproles,Phi,RB,0,0,0,0,0,5.6,25.5,0.2,3.1,24.8,0.1
41,Eddie Lacy,Sea,RB,0,0,0,0,0,9.1,41.2,0.3,0.7,6.2,0
42,Chris Thompson,Wsh,RB,0,0,0,0,0,4.3,19.2,0.1,3.2,27.2,0.1
43,Rex Burkhead,NE,RB,0,0,0,0,0,6.7,29.1,0.2,1.4,11.9,0.1
44,Shane Vereen,NYG,RB,0,0,0,0,0,4,17,0.1,3.1,26.9,0.2
45,James White,NE,RB,0,0,0,0,0,3,12.3,0.1,3.1,26.6,0.2
46,Thomas Rawls,Sea,RB,0,0,0,0,0,7.5,34.3,0.2,0.7,6,0
47,Latavius Murray,Min,RB,0,0,0,0,0,6.9,29.2,0.3,0.8,6.7,0
48,Wendell Smallwood,Phi,RB,0,0,0,0,0,6.4,27.1,0.2,1.1,9,0
49,Robert Turbin,Ind,RB,0,0,0,0,0,5,19.1,0.1,2.2,16.6,0.1
50,Jeremy Hill,Cin,RB,0,0,0,0,0,7.1,28.1,0.3,0.5,3.8,0
51,Alvin Kamara,NO,RB,0,0,0,0,0,2.7,11.4,0.1,3,24.6,0.1
52,Branden Oliver,LAC,RB,0,0,0,0,0,6,22.9,0.1,1.6,11.5,0.1
53,C.J. Prosise,Sea,RB,0,0,0,0,0,2.5,11,0.1,2.5,23,0.1
54,Jamaal Williams,GB,RB,0,0,0,0,0,7.1,24.8,0.2,0.6,5.2,0
55,Dion Lewis,NE,RB,0,0,0,0,0,4.6,20,0.2,1.1,9.2,0.1
56,D'Onta Foreman,Hou,RB,0,0,0,0,0,6.5,24,0.2,0.5,4.4,0
57,DeAndre Washington,Oak,RB,0,0,0,0,0,4.5,19,0.1,1.1,9.3,0
58,Charcandrick West,KC,RB,0,0,0,0,0,5,19.5,0.2,0.8,6,0
59,Jerick McKinnon,Min,RB,0,0,0,0,0,2.8,11.8,0.1,2.2,16.4,0.1
60,Mike Tolbert,Buf,RB,0,0,0,0,0,4.7,18,0.3,0.4,3.6,0
61,Matt Breida,SF,RB,0,0,0,0,0,5.2,20.4,0.1,0.8,6.6,0
62,Jalen Richard,Oak,RB,0,0,0,0,0,2.9,12.6,0.1,1.7,14.2,0.1
63,Tarik Cohen,Chi,RB,0,0,0,0,0,4.4,18.5,0.1,1,8,0
64,T.J. Yeldon,Jax,RB,0,0,0,0,0,2.8,10.6,0,2.5,16.9,0.1
65,Darren McFadden,Dal,RB,0,0,0,0,0,4.4,17.8,0.1,0.7,5.5,0
66,Kyle Juszczyk,SF,RB,0,0,0,0,0,0.5,1.4,0,2.7,22.2,0.1
67,James Conner,Pit,RB,0,0,0,0,0,4.2,17.1,0.2,0.3,2.3,0
68,Malcolm Brown,LAR,RB,0,0,0,0,0,3.3,14.3,0.1,0.5,4.2,0
69,Joe Banyard,Buf,RB,0,0,0,0,0,3.5,14.6,0.2,0.2,1.9,0
70,Kerwynn Williams,Ari,RB,0,0,0,0,0,2.9,13.1,0.1,0.6,5,0
71,Chris Ivory,Jax,RB,0,0,0,0,0,3.6,14.6,0.1,0.1,0.9,0
72,Andre Ellington,Ari,RB,0,0,0,0,0,1.7,7,0.1,0.8,7.5,0
73,Orleans Darkwa,NYG,RB,0,0,0,0,0,3.3,13.7,0.1,0.1,1.3,0
74,Marlon Mack,Ind,RB,0,0,0,0,0,2.4,8.9,0,0.8,6.2,0
75,C.J. Spiller,KC,RB,0,0,0,0,0,2,8.9,0.1,0.8,5.9,0
76,Alfred Blue,Hou,RB,0,0,0,0,0,2.7,10,0.1,0.5,4.2,0
77,Aaron Jones,GB,RB,0,0,0,0,0,2.8,11.1,0.1,0.4,3.1,0
78,Samaje Perine,Wsh,RB,0,0,0,0,0,2.3,8.6,0.1,0.3,2.6,0
79,Elijah McGuire,NYJ,RB,0,0,0,0,0,2.3,9.9,0.1,0.2,2.2,0
80,Donnel Pumphrey,Phi,RB,0,0,0,0,0,1.3,5.5,0,0.8,6.8,0
81,Javorius Allen,Bal,RB,0,0,0,0,0,1.7,6.8,0,0.6,4.5,0
82,Zach Zenner,Det,RB,0,0,0,0,0,1.9,7.6,0.1,0.3,2.3,0
83,Brian Hill,Atl,RB,0,0,0,0,0,1.7,7.1,0.1,0.3,2.1,0
84,Aaron Ripkowski,GB,RB,0,0,0,0,0,1.3,4.9,0,0.5,4.2,0
85,Benny Cunningham,Chi,RB,0,0,0,0,0,1.2,5.4,0,0.5,4.1,0
86,De'Angelo Henderson,Den,RB,0,0,0,0,0,1.7,6.3,0,0.4,3.4,0
87,Jamize Olawale,Oak,RB,0,0,0,0,0,0.7,2.6,0,0.6,5.8,0
88,Wayne Gallman,NYG,RB,0,0,0,0,0,2,7.4,0,0.1,1.3,0
89,Fozzy Whittaker,Car,RB,0,0,0,0,0,1.6,6.9,0,0.1,1,0
90,Taiwan Jones,Buf,RB,0,0,0,0,0,1.5,6.1,0.1,0,0,0
91,Tyler Ervin,Hou,RB,0,0,0,0,0,0.6,2.1,0,0.5,4.4,0
92,Dwayne Washington,Det,RB,0,0,0,0,0,0.6,2.4,0,0.3,2.3,0
93,Chris Carson,Sea,RB,0,0,0,0,0,0.8,3.4,0,0.1,1,0
94,Raheem Mostert,SF,RB,0,0,0,0,0,0.7,2.5,0,0.3,2.2,0
95,Andy Janovich,Den,RB,0,0,0,0,0,0.2,0.8,0,0.4,3.4,0
96,Anthony Sherman,KC,RB,0,0,0,0,0,0,0,0,0.5,4.1,0
97,Dan Vitale,Cle,RB,0,0,0,0,0,0,0,0,0.5,4,0
98,Austin Ekeler,LAC,RB,0,0,0,0,0,0.5,2,0,0.3,1.9,0
99,Patrick DiMarco,Buf,RB,0,0,0,0,0,0.3,1,0,0.2,1.9,0
100,Terron Ward,Atl,RB,0,0,0,0,0,0.5,2.1,0,0.1,1.1,0
101,David Fluellen,Ten,RB,0,0,0,0,0,0.6,2.3,0,0.1,1,0
102,Alfred Morris,Dal,RB,0,0,0,0,0,0.5,2.2,0,0.1,1,0
103,Matthew Dayes,Cle,RB,0,0,0,0,0,0.7,2.6,0,0,0,0
104,Terrell Watson,Pit,RB,0,0,0,0,0,0.6,2.3,0,0,0,0
105,Daniel Lasco,NO,RB,0,0,0,0,0,0.2,0.9,0,0.1,1.2,0
106,Rod Smith,Dal,RB,0,0,0,0,0,0.2,0.8,0,0.1,0.8,0
107,Corey Grant,Jax,RB,0,0,0,0,0,0.3,1,0,0.1,0.9,0
108,Devante Mays,GB,RB,0,0,0,0,0,0.5,1.7,0,0,0,0
109,Taquan Mizzell,Chi,RB,0,0,0,0,0,0.4,1.5,0,0,0,0
110,Derek Watt,LAC,RB,0,0,0,0,0,0.1,0.4,0,0.1,1,0
111,Cameron Artis-Payne,Car,RB,0,0,0,0,0,0.3,1.4,0,0,0,0
112,James Develin,NE,RB,0,0,0,0,0,0,0,0,0.1,1.2,0
113,Roosevelt Nix,Pit,RB,0,0,0,0,0,0,0,0,0.1,1.1,0
114,Jay Prosch,Hou,RB,0,0,0,0,0,0.3,0.9,0,0,0,0
115,Ryan Hewitt,Cin,RB,0,0,0,0,0,0,0,0,0.1,0.9,0
116,Michael Burton,Chi,RB,0,0,0,0,0,0.1,0.4,0,0,0,0
117,Steven Jackson,NE,RB,0,0,0,0,0,0,0,0,0,0,0
118,John Kuhn,NO,RB,0,0,0,0,0,0,0,0,0,0,0
119,Reggie Bush,Buf,RB,0,0,0,0,0,0,0,0,0,0,0
120,DeAngelo Williams,Pit,RB,0,0,0,0,0,0,0,0,0,0,0
121,Fred Jackson,Sea,RB,0,0,0,0,0,0,0,0,0,0,0
122,Ahmad Bradshaw,Ind,RB,0,0,0,0,0,0,0,0,0,0,0
123,Pierre Thomas,Wsh,RB,0,0,0,0,0,0,0,0,0,0,0
124,Chris Johnson,Ari,RB,0,0,0,0,0,0,0,0,0,0,0
125,Jerome Felton,Buf,RB,0,0,0,0,0,0,0,0,0,0,0
126,Tim Hightower,SF,RB,0,0,0,0,0,0,0,0,0,0,0
127,Justin Forsett,Den,RB,0,0,0,0,0,0,0,0,0,0,0
128,Marcel Reece,Sea,RB,0,0,0,0,0,0,0,0,0,0,0
129,Donald Brown,NE,RB,0,0,0,0,0,0,0,0,0,0,0
130,Arian Foster,Mia,RB,0,0,0,0,0,0,0,0,0,0,0
131,Rashad Jennings,NYG,RB,0,0,0,0,0,0,0,0,0,0,0
132,Jorvorskie Lane,TB,RB,0,0,0,0,0,0,0,0,0,0,0
133,Cedric Peerman,Cin,RB,0,0,0,0,0,0,0,0,0,0,0
134,Marcus Thigpen,Buf,RB,0,0,0,0,0,0,0,0,0,0,0
135,Darrel Young,Car,RB,0,0,0,0,0,0,0,0,0,0,0
136,Antone Smith,TB,RB,0,0,0,0,0,0,0,0,0,0,0
137,Ryan Mathews,Phi,RB,0,0,0,0,0,0,0,0,0,0,0
138,Dexter McCluster,LAC,RB,0,0,0,0,0,0,0,0,0,0,0
139,Ben Tate,Pit,RB,0,0,0,0,0,0,0,0,0,0,0
140,Toby Gerhart,Jax,RB,0,0,0,0,0,0,0,0,0,0,0
141,Boobie Dixon,Buf,RB,0,0,0,0,0,0,0,0,0,0,0
142,James Starks,GB,RB,0,0,0,0,0,0,0,0,0,0,0
143,Joique Bell,Det,RB,0,0,0,0,0,0,0,0,0,0,0
144,Tyler Clutts,Dal,RB,0,0,0,0,0,0,0,0,0,0,0
145,Stevan Ridley,Den,RB,0,0,0,0,0,0,0,0,0,0,0
146,Ryan Williams,Dal,RB,0,0,0,0,0,0,0,0,0,0,0
147,Daniel Thomas,Mia,RB,0,0,0,0,0,0,0,0,0,0,0
148,Kendall Hunter,NO,RB,0,0,0,0,0,0,0,0,0,0,0
149,Jordan Todman,Hou,RB,0,0,0,0,0,0,0,0,0,0,0
150,Roy Helu Jr.,Oak,RB,0,0,0,0,0,0,0,0,0,0,0
