Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Watt, J.J.",HOU,DL,48.,25.1,14.6,5.2,0.,2.3,1.3,0.,83.9
2,"Hunter, Danielle",MIN,DL,43.6,24.5,15.,0.9,0.,1.3,1.3,0.2,74.2
3,"Bosa, Joey",LAC,DL,50.,14.8,12.8,2.3,0.3,0.,0.,0.,73.1
4,"Dunlap, Carlos",CIN,DL,36.,22.2,11.,10.5,0.,2.6,0.5,0.,71.7
5,"Vernon, Olivier",NYG,DL,49.,19.6,10.4,0.8,0.,0.7,0.7,0.,71.5
6,"Campbell, Calais",JAC,DL,41.,16.5,9.9,5.6,0.4,2.5,2.4,0.2,70.3
7,"Lawrence, Demarcus",DAL,DL,42.3,13.5,14.,1.8,0.,4.2,0.7,0.,69.8
8,"Pierre-Paul, Jason",NYG,DL,39.6,19.,5.6,8.,0.,2.,2.,0.2,66.8
9,"Wilkerson, Muhammad",NYJ,DL,37.,31.2,8.,4.4,0.,1.5,0.,0.,66.5
10,"Griffen, Everson",MIN,DL,39.5,14.7,13.,2.4,0.,1.7,1.6,0.2,65.6
11,"Jordan, Cameron",NOR,DL,37.6,16.2,8.4,6.,0.,0.6,0.6,0.,61.2
12,"Hughes, Jerry",BUF,DL,43.,16.2,6.5,1.7,0.,0.7,0.7,0.,60.6
13,"Flowers, Trey",NEP,DL,32.,30.7,8.3,2.9,0.,0.5,0.5,0.,59.5
14,"Atkins, Geno",CIN,DL,37.,15.4,14.1,0.,0.,0.,0.,0.,58.8
15,"Suh, Ndamukong",MIA,DL,37.,22.,5.8,3.6,0.2,0.4,0.4,0.,58.7
16,"Wake, Cameron",MIA,DL,32.,11.5,9.8,4.3,1.1,4.3,0.2,0.,58.6
17,"Buckner, DeForest",SFO,DL,41.,21.8,4.6,1.8,0.,0.,0.,0.,58.2
18,"Richardson, Sheldon",SEA,DL,38.6,28.6,3.,1.5,0.,0.4,0.4,0.,58.2
19,"Nkemdiche, Robert",ARZ,DL,35.7,13.1,7.5,3.3,0.6,1.,1.,0.2,56.1
20,"Hicks, Akiem",CHI,DL,35.,18.1,7.,2.7,0.,1.2,1.1,0.,56.
21,"Cox, Fletcher",PHI,DL,33.6,20.7,7.3,2.8,0.,0.9,0.9,0.,55.9
22,"McCoy, Gerald",TBB,DL,35.,12.1,9.5,3.,0.,1.,0.8,0.,55.4
23,"Graham, Brandon",PHI,DL,38.5,18.9,4.7,1.4,0.,0.8,0.2,0.,55.
24,"Gholston, William",TBB,DL,42.5,14.2,4.2,0.,0.,0.6,0.6,0.,55.
25,"Allen, Jonathan",WAS,DL,35.,15.9,7.1,1.9,0.,2.,0.7,0.,54.8
26,"Casey, Jurrell",TEN,DL,34.6,17.8,6.2,4.6,0.,0.,0.,0.,54.4
27,"Edwards, Mario",OAK,DL,39.6,9.9,4.8,1.4,0.,2.4,1.,0.,54.2
28,"Clayborn, Adrian",ATL,DL,36.9,8.5,9.9,1.,0.,0.9,0.9,0.2,53.9
29,"Joseph, Linval",MIN,DL,35.,26.,2.7,0.4,0.,2.1,0.,0.,53.1
30,"Spence, Noah",TBB,DL,31.2,15.4,8.9,1.1,0.,3.6,0.6,0.,53.
31,"Harrison, Damon",NYG,DL,39.,20.9,2.1,0.6,0.,0.7,0.,0.,52.8
32,"Donald, Aaron",LAR,DL,32.1,14.8,8.,3.2,0.,1.2,0.4,0.,52.3
33,"Thomas, Solomon",SFO,DL,36.6,19.7,3.9,0.9,0.,0.9,0.,0.,52.2
34,"Anderson, Henry",IND,DL,35.7,16.7,4.1,3.5,0.,0.4,0.,0.,52.1
35,"Clark, Frank",SEA,DL,28.1,17.1,10.8,0.2,0.,3.,1.1,0.,51.7
36,"Heyward, Cameron",PIT,DL,32.8,15.7,6.8,2.8,0.,0.5,0.5,0.,51.4
37,"Garrett, Myles",CLE,DL,35.1,21.5,3.4,0.7,0.,0.4,0.,0.,50.4
38,"McLendon, Steve",NYJ,DL,29.6,27.8,5.1,0.8,0.,0.7,0.3,0.,50.3
39,"Short, Kawann",CAR,DL,29.,16.9,7.2,2.5,0.,2.2,0.5,0.,49.8
40,"Rankins, Sheldon",NOR,DL,30.,17.4,6.8,0.9,0.3,1.8,0.3,0.,49.1
41,"Brown, Malcolm",NEP,DL,30.3,27.5,4.7,0.3,0.,0.,0.,0.,49.
42,"Wolfe, Derek",DEN,DL,34.8,10.8,4.8,3.2,0.,0.3,0.3,0.,48.9
43,"Brockers, Michael",LAR,DL,31.6,10.8,4.3,5.,0.,0.6,0.4,0.,47.4
44,"Johnson, Michael",CIN,DL,32.2,14.4,4.2,2.8,0.,1.,0.,0.,47.3
45,"Williams, Brandon",BAL,DL,35.1,18.3,1.1,1.5,0.,0.4,0.,0.,47.3
46,"Daniels, Mike",GBP,DL,33.,14.4,3.7,1.5,0.5,0.,0.,0.,46.4
47,"Ayers, Robert",TBB,DL,31.1,11.7,7.7,1.2,0.,0.4,0.,0.,46.2
48,"Branch, Andre",MIA,DL,28.,19.4,4.3,2.3,0.,1.7,0.,0.,45.9
49,"Bryant, Armonty",DET,DL,30.8,9.3,7.6,1.2,0.,0.9,0.6,0.,45.7
50,"Jackson, Malik",JAC,DL,29.7,6.3,6.6,5.5,0.,0.,0.,0.,45.
51,"Bennett, Michael",SEA,DL,28.2,14.1,6.9,1.5,0.,0.9,0.3,0.,44.8
52,"Urban, Brent",BAL,DL,29.,18.1,3.5,1.9,0.5,0.2,0.,0.,44.7
