Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Alexander, Kwon",TBB,LB,103.,39.7,2.8,9.6,0.6,1.4,1.3,0.2,139.1
2,"Freeman, Jerrell",CHI,LB,111.3,28.6,2.1,7.5,0.4,0.,0.,0.2,135.9
3,"Ogletree, Alec",LAR,LB,94.3,45.6,1.2,8.4,2.,0.6,0.6,0.2,131.9
4,"Wagner, Bobby",SEA,LB,83.,73.1,2.8,4.3,0.5,0.9,0.9,0.2,129.4
5,"Kuechly, Luke",CAR,LB,85.,44.8,1.6,9.8,3.7,1.5,1.2,0.3,129.
6,"Smith, Telvin",JAC,LB,101.5,21.7,1.,8.3,2.6,0.5,0.5,0.2,127.9
7,"Brown, Zach",WAS,LB,91.,38.5,3.2,6.2,1.2,0.3,0.3,0.,122.7
8,"Collins, Jamie",CLE,LB,91.,38.8,3.2,2.6,1.,2.,0.,0.,120.1
9,"Mosley, C.J.",BAL,LB,77.,50.,2.,8.3,2.5,0.6,0.6,0.2,118.5
10,"Jones, Deion",ATL,LB,78.6,34.4,0.,13.1,3.2,2.3,0.2,0.2,117.8
11,"Davis, Jarrad",DET,LB,93.,33.,0.6,5.6,0.4,0.8,0.4,0.,117.8
12,"Brown, Jatavis",LAC,LB,92.,22.5,4.1,5.6,0.6,2.4,0.9,0.,117.5
13,"David, Lavonte",TBB,LB,81.3,29.6,6.1,5.4,1.6,3.4,3.,0.3,117.3
14,"Kirksey, Christian",CLE,LB,88.,44.6,2.8,2.1,0.,0.4,0.,0.,115.6
15,"Burfict, Vontaze",CIN,LB,81.9,34.,2.2,8.8,2.2,1.1,0.,0.,115.4
16,"Bowman, Navorro",SFO,LB,89.,28.1,2.5,2.7,1.,1.6,0.6,0.,112.3
17,"Foster, Mason",WAS,LB,85.6,36.7,1.4,4.,0.,1.3,0.5,0.,111.1
18,"McKinney, Benardrick",HOU,LB,76.,51.8,4.7,3.8,0.,0.2,0.2,0.,110.8
19,"Kendricks, Eric",MIN,LB,78.9,38.2,2.1,6.7,0.9,0.9,0.9,0.2,110.5
20,"Morrison, Antonio",IND,LB,82.,38.6,3.,4.5,0.6,0.3,0.3,0.2,110.5
21,"Brown, Preston",BUF,LB,75.,58.7,0.6,2.5,0.9,0.6,0.6,0.2,110.5
22,"Alonso, Kiko",MIA,LB,75.,52.,0.,3.8,1.7,0.9,0.9,0.2,110.
23,"Williams, Vince",PIT,LB,75.7,36.,8.5,1.7,0.8,3.2,0.6,0.,109.5
24,"Jack, Myles",JAC,LB,84.,34.7,1.4,5.5,0.4,0.,0.,0.,108.9
25,"Barron, Mark",LAR,LB,82.,28.6,1.1,6.9,1.3,0.4,0.4,0.,107.6
26,"Johnson, Derrick",KCC,LB,84.,24.9,1.5,4.6,1.4,0.6,0.5,0.2,106.4
27,"Lee, Darron",NYJ,LB,78.,41.,2.5,3.2,0.,0.,0.,0.,104.1
28,"Dansby, Karlos",ARZ,LB,70.7,37.,6.5,5.9,0.,1.2,0.9,0.,103.7
