Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Gronkowski, Rob",NEP,TE,97.4,25.3,58.7,905.2,7.7,3.3,1.6,0.7,0.5,0.5,1.1,9.2,1.8,0.6,0.2,0.,0.,0.,0.,0.,24.1,136.6
2,"Olsen, Greg",CAR,TE,123.2,26.2,73.4,983.,3.8,1.4,0.8,0.8,0.4,0.,0.4,11.9,2.,0.7,0.2,0.,0.,0.,0.,0.5,21.7,121.
3,"Graham, Jimmy",SEA,TE,104.1,26.7,65.4,902.1,4.8,2.1,1.1,0.,1.7,0.,0.,4.3,1.8,0.6,0.2,0.,0.,0.,0.,1.6,20.2,115.8
4,"Walker, Delanie",TEN,TE,106.,22.2,68.3,800.1,5.5,2.8,1.4,0.4,0.4,0.,0.5,9.9,1.6,0.5,0.2,10.5,0.,0.,0.,0.,17.3,114.
5,"Reed, Jordan",WAS,TE,94.5,18.6,68.4,759.7,6.5,4.3,0.9,1.3,0.,0.,0.,5.,1.5,0.5,0.2,0.,0.,0.,-2.9,2.3,16.9,110.4
6,"Henry, Hunter",LAC,TE,73.4,18.4,45.4,545.1,9.2,5.6,3.,0.6,0.,0.,0.,2.6,1.1,0.4,0.1,0.,0.,0.,10.6,0.8,12.9,107.9
7,"Ertz, Zach",PHI,TE,114.3,20.4,76.,825.6,3.4,1.8,0.7,0.9,0.,0.,0.,10.4,1.7,0.6,0.2,0.,0.,0.,8.9,0.4,15.3,102.
8,"Eifert, Tyler",CIN,TE,66.,19.5,43.1,514.1,7.9,4.,3.,1.,0.,0.,0.,2.1,1.,0.3,0.1,0.,0.,0.,0.,0.,18.4,99.1
9,"Bennett, Martellus",GBP,TE,82.3,13.4,54.1,681.9,5.1,2.8,1.7,0.6,0.,0.,0.,2.7,1.4,0.5,0.2,5.7,0.,0.,0.,0.4,9.1,98.5
10,"Howard, O.J.",TBB,TE,70.,16.,45.,600.,6.2,2.,3.,1.,0.1,0.1,0.,2.,1.,0.3,0.1,0.,0.,0.,0.,0.,16.7,97.2
11,"Doyle, Jack",IND,TE,81.8,13.7,58.2,596.2,5.7,3.2,1.1,1.2,0.,0.,0.2,2.4,1.2,0.4,0.1,0.,0.,0.,0.,0.,9.7,94.4
