Rank,Player,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Brown, Antonio",PIT,WR,185.,33.4,114.9,1551.7,11.4,3.6,1.,3.8,1.,0.,2.1,14.2,9.4,1.,0.4,21.,0.,139.7,35.7,0.9,33.9,224.8
2,"Nelson, Jordy",GBP,WR,153.3,34.4,90.2,1123.1,11.4,7.3,1.4,1.4,1.,0.2,0.2,12.2,2.2,0.7,0.3,40.5,1.4,0.2,14.1,0.6,30.8,193.
3,"Jones, Julio",ATL,WR,140.5,22.6,89.7,1400.,6.4,3.3,0.4,0.8,0.4,0.,1.6,14.2,3.3,0.9,0.4,0.,0.,0.,0.,0.6,24.5,177.3
4,"Evans, Mike",TBB,WR,171.6,34.2,84.7,1250.3,7.7,3.3,1.3,1.4,0.8,0.9,0.,12.6,6.1,0.8,0.3,0.,0.,0.,0.,0.4,33.3,172.9
5,"Bryant, Dez",DAL,WR,142.3,33.5,69.9,1058.5,11.,3.1,4.5,1.7,0.,1.,0.7,12.9,2.1,0.7,0.3,0.,0.,5.4,0.,0.9,36.5,169.9
6,"Thomas, Michael",NOR,WR,115.1,17.9,81.8,1111.3,9.4,4.9,1.3,1.1,0.7,0.3,1.1,10.7,6.2,0.7,0.3,8.6,0.,2.3,0.,0.,17.1,168.4
7,"Green, A.J.",CIN,WR,142.,27.7,86.8,1238.1,7.4,2.4,1.9,0.9,0.,0.6,1.6,12.4,5.6,0.8,0.3,6.8,0.,0.,0.,0.5,28.6,168.
8,"Baldwin, Doug",SEA,WR,118.,20.8,83.8,1032.9,9.2,2.6,2.9,1.1,1.3,0.7,0.5,11.2,2.1,0.7,0.3,7.6,0.,0.,0.,0.,20.2,159.1
9,"Benjamin, Kelvin",CAR,WR,129.5,20.3,68.7,1047.4,8.5,3.2,2.1,1.3,0.,1.5,0.5,12.8,2.1,0.7,0.3,10.7,0.,28.8,0.,1.,18.2,154.7
10,"Allen, Keenan",LAC,WR,115.8,25.9,79.5,1075.2,7.8,1.8,1.9,0.9,0.8,0.9,1.5,11.,3.3,0.7,0.3,-0.2,0.,8.3,12.6,0.,28.9,154.2
11,"Robinson, Allen",JAC,WR,151.3,30.2,71.8,1050.,7.9,4.5,2.6,0.,0.,0.4,0.4,12.,2.1,0.7,0.3,0.,0.,0.,0.,0.,27.3,153.9
12,"Cooks, Brandin",NEP,WR,120.6,13.2,76.2,1101.2,6.6,2.,1.1,0.,0.5,0.2,2.7,11.6,2.6,0.7,0.3,37.9,0.,48.8,4.3,0.8,14.5,153.5
13,"Pryor, Terrelle",WAS,WR,138.5,14.7,79.7,1180.1,5.2,1.9,0.9,0.3,0.3,0.4,1.4,12.7,3.8,0.8,0.3,2.5,0.,21.,0.,0.,11.9,150.6
14,"Beckham, Odell",NYG,WR,133.3,29.9,74.1,1013.9,8.2,2.8,1.4,0.7,0.8,0.,2.5,11.9,2.,0.7,0.3,6.,0.,41.4,30.2,0.2,26.4,150.4
15,"Hopkins, DeAndre",HOU,WR,171.9,27.5,89.1,1154.8,5.8,1.5,0.9,2.3,0.,0.6,0.4,14.3,2.3,0.8,0.3,0.,0.,0.,0.,0.,25.9,150.1
16,"Adams, Davante",GBP,WR,101.1,20.3,67.1,899.5,9.7,4.8,1.2,2.5,0.2,0.2,0.9,9.8,1.8,0.6,0.2,6.3,0.,21.6,0.,0.,15.3,149.9
17,"Watkins, Sammy",LAR,WR,124.7,11.1,71.2,954.7,6.6,2.1,1.,1.,1.,1.,0.4,11.3,1.9,0.6,0.2,63.1,1.1,69.1,64.9,0.,12.7,147.8
