Rank,Player,Team,Opp,Position,Yds Allowed,Pts Agn,Scks,Int,Fum,DefTD,Safts,Pts
1,"Texans, Houston",HOU,@LAR,D,168.5,12.6,3.4,2.2,0.5,0.,0.2,18.8
2,"Giants, New York",NYG,@SFO,D,263.1,17.4,3.5,1.1,0.8,0.1,0.,14.6
3,"Patriots, New England",NEP,@DEN,D,269.9,14.4,2.7,1.4,0.9,0.1,0.,14.3
4,"Jaguars, Jacksonville",JAC,LAC,D,272.8,19.7,2.3,0.8,0.6,0.2,0.,12.7
5,"Cardinals, Arizona",ARZ,SEA,D,320.,26.8,3.8,0.7,1.1,0.2,0.,12.5
6,"Panthers, Carolina",CAR,MIA,D,318.8,21.2,3.4,1.4,1.,0.,0.2,12.2
7,"Seahawks, Seattle",SEA,@ARZ,D,226.3,15.8,2.7,0.4,0.7,0.,0.1,11.7
8,"Broncos, Denver",DEN,NEP,D,307.6,17.8,1.9,0.9,0.8,0.1,0.,10.8
9,"Jets, New York",NYJ,@TBB,D,279.9,20.5,1.7,0.4,0.5,0.1,0.,10.8
10,"Lions, Detroit",DET,CLE,D,236.7,15.7,1.7,0.7,0.2,0.1,0.,10.7
11,"Rams, Los Angeles",LAR,HOU,D,268.8,24.,2.3,1.1,0.3,0.,0.,10.6
12,"Chargers, San Diego",LAC,@JAC,D,323.9,27.,2.5,1.1,0.4,0.2,0.,10.3
13,"Packers, Green Bay",GBP,@CHI,D,340.2,21.2,2.,1.5,0.7,0.,0.,10.3
14,"Vikings, Minnesota",MIN,@WAS,D,326.7,21.6,2.7,0.5,0.6,0.2,0.,10.1
15,"Bengals, Cincinnati",CIN,@TEN,D,310.7,14.8,2.4,1.,0.3,0.,0.1,10.1
16,"Steelers, Pittsburgh",PIT,@IND,D,340.8,23.6,2.6,0.8,0.9,0.,0.1,10.
17,"Dolphins, Miami",MIA,@CAR,D,336.3,23.,1.4,1.3,0.8,0.1,0.,10.
18,"Falcons, Atlanta",ATL,DAL,D,379.7,25.5,2.4,1.,0.7,0.2,0.1,9.7
19,"Titans, Tennessee",TEN,CIN,D,368.2,23.5,2.4,0.6,0.7,0.1,0.,8.6
20,"Bills, Buffalo",BUF,NOR,D,305.,21.5,1.9,0.9,0.4,0.,0.,8.5
21,"Redskins, Washington",WAS,MIN,D,397.3,24.2,1.9,1.2,0.3,0.,0.,7.9
22,"49ers, San Francisco",SFO,NYG,D,368.6,26.4,2.4,0.7,0.5,0.,0.2,7.7
23,"Browns, Cleveland",CLE,@DET,D,332.2,24.1,1.8,0.7,0.2,0.,0.,7.6
24,"Saints, New Orleans",NOR,@BUF,D,352.4,26.4,2.2,0.7,0.3,0.,0.2,7.2
25,"Buccaneers, Tampa Bay",TBB,NYJ,D,426.3,24.6,1.2,1.,0.2,0.1,0.,6.3
26,"Colts, Indianapolis",IND,PIT,D,405.1,24.,1.8,0.5,0.4,0.1,0.,6.
27,"Cowboys, Dallas",DAL,@ATL,D,433.3,29.,2.1,0.6,0.5,0.,0.,5.1
28,"Bears, Chicago",CHI,GBP,D,404.4,31.5,2.,0.4,0.3,0.1,0.1,4.7
