Rank,Player,Team,Opp,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Johnson, David",ARZ,@SEA,RB,15.7,64.7,0.8,0.6,0.1,0.,0.,0.,0.,4.4,46.1,0.2,0.2,0.1,0.,3.6,0.2,3.,16.9
2,"Bell, Le'Veon",PIT,CLE,RB,19.6,93.,0.5,0.5,0.,0.,0.,0.,0.,4.,30.2,0.1,0.1,0.1,0.,0.,0.1,2.8,16.3
3,"Elliott, Ezekiel",DAL,@PHI,RB,17.5,88.,0.7,0.5,0.1,0.,0.,0.,0.1,2.,18.3,0.,0.1,0.,0.,0.7,0.1,2.4,14.7
4,"Martin, Doug",TBB,NOR,RB,21.9,87.8,0.5,0.4,0.,0.,0.,0.,0.,2.4,20.2,0.,0.1,0.,0.,0.,0.2,4.8,13.3
5,"Gurley, Todd",LAR,SFO,RB,20.3,76.2,0.6,0.5,0.,0.,0.,0.,0.,2.7,21.4,0.,0.1,0.,0.,0.3,0.,3.2,13.2
6,"Howard, Jordan",CHI,@MIN,RB,15.9,81.,0.5,0.5,0.,0.,0.,0.,0.,1.9,19.1,0.1,0.1,0.,0.,0.,0.1,1.9,13.1
7,"Miller, Lamar",HOU,@IND,RB,20.7,78.4,0.5,0.4,0.,0.,0.,0.,0.,2.5,15.3,0.1,0.1,0.,0.,0.,0.1,1.8,12.4
8,"McCoy, LeSean",BUF,@MIA,RB,13.4,67.6,0.5,0.3,0.1,0.,0.,0.,0.,2.7,21.1,0.1,0.1,0.,0.,0.,0.1,3.2,12.4
9,"Ajayi, Jay",MIA,BUF,RB,17.9,79.,0.4,0.3,0.1,0.1,0.,0.,0.,2.3,15.4,0.,0.1,0.,0.,0.,0.,1.5,12.
10,"Gordon, Melvin",LAC,OAK,RB,17.9,67.,0.4,0.4,0.,0.,0.,0.,0.,3.4,29.7,0.1,0.1,0.1,0.,0.,0.3,3.,11.9
11,"Lynch, Marshawn",OAK,@LAC,RB,11.2,50.6,0.6,0.4,0.,0.2,0.,0.,0.,2.5,21.,0.,0.1,0.,1.1,0.,0.,2.,11.1
12,"Hyde, Carlos",SFO,@LAR,RB,14.1,61.3,0.3,0.3,0.1,0.,0.,0.,0.,2.4,18.8,0.2,0.1,0.,0.,0.2,0.2,2.6,11.1
13,"Cook, Dalvin",MIN,CHI,RB,12.7,53.3,0.4,0.3,0.1,0.,0.,0.,0.,2.9,21.2,0.2,0.1,0.,0.,0.,0.1,3.4,10.9
14,"Murray, DeMarco",TEN,JAC,RB,14.5,60.2,0.4,0.3,0.,0.,0.,0.,0.1,2.5,18.4,0.1,0.1,0.,0.,1.,0.1,2.,10.8
15,"Freeman, Devonta",ATL,CAR,RB,11.1,50.3,0.5,0.4,0.,0.,0.,0.,0.,2.9,25.4,0.1,0.1,0.1,0.,0.,0.1,3.3,10.8
16,"Anderson, C.J.",DEN,KCC,RB,13.6,55.2,0.5,0.3,0.1,0.,0.,0.,0.,2.4,19.6,0.1,0.1,0.,0.,2.2,0.2,2.,10.5
17,"McCaffrey, Christian",CAR,@ATL,RB,13.3,54.2,0.5,0.4,0.1,0.,0.,0.,0.,2.5,20.3,0.1,0.,0.,0.,0.,0.1,3.3,10.5
18,"Ingram, Mark",NOR,@TBB,RB,11.2,55.1,0.4,0.3,0.1,0.,0.,0.,0.,2.7,19.8,0.1,0.1,0.,0.,0.,0.1,3.,10.5
19,"Montgomery, Ty",GBP,@DET,RB,11.1,51.2,0.3,0.2,0.,0.,0.,0.1,0.,2.4,19.1,0.3,0.1,0.,0.,3.2,0.1,2.2,10.1
20,"Hunt, Kareem",KCC,@DEN,RB,12.4,53.6,0.3,0.2,0.,0.,0.,0.,0.,1.9,19.5,0.2,0.1,0.,0.,0.2,0.2,3.4,10.
21,"Hill, Jeremy",CIN,@BAL,RB,14.3,52.4,0.6,0.5,0.,0.,0.,0.,0.,1.4,10.3,0.,0.,0.,0.,0.,0.1,3.2,9.9
22,"Crowell, Isaiah",CLE,@PIT,RB,13.4,58.9,0.4,0.3,0.1,0.,0.,0.,0.,2.4,18.6,0.,0.1,0.,0.,0.,0.1,2.6,9.8
23,"Mixon, Joe",CIN,@BAL,RB,18.7,57.7,0.5,0.5,0.,0.,0.,0.,0.,1.2,10.1,0.,0.,0.,0.,4.2,0.1,3.,9.7
24,"Rodgers, Jacquizz",TBB,NOR,RB,15.1,58.8,0.4,0.3,0.,0.,0.,0.,0.,1.8,14.6,0.,0.1,0.,0.,0.,0.,1.4,9.6
25,"Gore, Frank",IND,HOU,RB,15.1,58.,0.2,0.2,0.,0.,0.,0.,0.,2.,16.1,0.2,0.1,0.,0.,0.,0.1,2.8,9.5
26,"Gillislee, Mike",NEP,NYJ,RB,10.6,47.5,0.6,0.5,0.,0.,0.,0.1,0.,0.8,7.4,0.,0.,0.,0.,1.8,0.,1.8,9.5
27,"Fournette, Leonard",JAC,@TEN,RB,8.3,33.3,0.7,0.4,0.1,0.1,0.,0.,0.,2.5,19.9,0.,0.1,0.,0.,0.,0.2,1.9,9.5
28,"Blount, LeGarrette",PHI,DAL,RB,11.1,44.1,0.7,0.6,0.,0.,0.,0.1,0.,0.9,7.1,0.,0.,0.,1.6,0.,0.1,1.8,9.2
29,"Abdullah, Ameer",DET,GBP,RB,11.2,45.3,0.3,0.2,0.,0.,0.,0.,0.,3.2,25.8,0.1,0.1,0.1,0.,36.2,0.1,2.,9.2
30,"Forte, Matt",NYJ,@NEP,RB,12.2,47.9,0.3,0.2,0.,0.,0.1,0.,0.,2.4,18.5,0.1,0.1,0.,0.,0.,0.1,1.2,8.7
31,"Woodhead, Danny",BAL,CIN,RB,10.,42.6,0.1,0.,0.,0.,0.,0.,0.,4.,38.4,0.,0.1,0.,0.,0.,0.,0.5,8.6
32,"Perkins, Paul",NYG,WAS,RB,13.4,53.2,0.1,0.1,0.,0.,0.,0.,0.,2.8,21.8,0.1,0.1,0.,0.,0.6,0.,0.8,8.6
33,"Henry, Derrick",TEN,JAC,RB,10.3,44.3,0.5,0.4,0.1,0.,0.,0.,0.,1.3,11.9,0.,0.,0.,1.6,4.1,0.,2.2,8.3
34,"West, Terrance",BAL,CIN,RB,11.2,44.2,0.3,0.2,0.1,0.,0.,0.,0.,2.7,17.7,0.1,0.1,0.,0.,0.,0.,1.3,8.3
35,"Mack, Marlon",IND,HOU,RB,9.,40.6,0.5,0.5,0.,0.,0.,0.,0.,1.3,9.,0.,0.,0.,0.,19.9,0.,0.3,8.2
36,"Stewart, Jonathan",CAR,@ATL,RB,13.2,50.2,0.5,0.5,0.,0.,0.,0.,0.,0.6,2.9,0.,0.,0.,0.,0.,0.1,1.3,7.8
37,"Bernard, Giovani",CIN,@BAL,RB,9.6,41.1,0.1,0.1,0.1,0.,0.,0.,0.,3.1,27.8,0.,0.1,0.1,0.,0.2,0.1,3.,7.7
38,"Murray, Latavius",MIN,CHI,RB,10.7,38.1,0.4,0.4,0.,0.,0.,0.,0.,2.1,17.7,0.,0.1,0.,0.,0.4,0.1,1.5,7.7
39,"Powell, Bilal",NYJ,@NEP,RB,7.9,39.,0.2,0.1,0.1,0.,0.,0.,0.,2.8,20.7,0.1,0.1,0.,0.,0.,0.1,0.6,7.6
40,"Peterson, Adrian",NOR,@TBB,RB,6.2,21.3,0.1,0.1,0.,0.,0.,0.,0.,2.9,25.9,0.4,0.1,0.1,0.,4.3,0.,0.9,7.6
41,"Sims, Charles",TBB,NOR,RB,7.3,31.5,0.,0.,0.,0.,0.,0.,0.,3.2,31.1,0.2,0.1,0.1,0.,0.,0.1,2.7,7.4
42,"Kelley, Rob",WAS,@NYG,RB,10.1,41.9,0.3,0.2,0.,0.1,0.,0.,0.,1.5,12.1,0.,0.,0.,0.,0.,0.,1.7,7.3
43,"Johnson, Duke",CLE,@PIT,RB,6.3,26.8,0.,0.,0.,0.,0.,0.,0.,4.1,39.3,0.,0.2,0.1,5.,2.7,0.,1.9,7.
