Rank,Player,Team,Opp,Position,PUNTS,PUNT_YDS,PUNT_RETURN_YD,PUNT_INSIDE20,Pts
1,"Hekker, Johnny",LAR,WAS,P,6.2,297.7,13.5,2.9,22.
2,"Pinion, Bradley",SFO,@SEA,P,6.3,274.9,18.7,1.9,18.8
3,"King, Marquette",OAK,NYJ,P,5.3,250.3,20.1,2.3,18.
4,"Wing, Brad",NYG,DET,P,5.8,262.1,21.,1.9,18.
5,"Lechler, Shane",HOU,@CIN,P,5.2,246.3,31.2,1.8,17.
6,"Dixon, Riley",DEN,DAL,P,5.5,248.7,17.4,1.7,17.
7,"Haack, Matt",MIA,@LAC,P,5.3,238.6,22.9,1.9,16.7
8,"Kern, Brett",TEN,@JAC,P,5.1,230.,25.8,2.1,16.7
9,"Koch, Sam",BAL,CLE,P,4.7,217.8,16.3,2.1,16.1
10,"Colquitt, Dustin",KCC,PHI,P,4.5,197.3,9.4,2.3,15.3
11,"Allen, Ryan",NEP,@NOR,P,4.7,208.3,15.,1.7,14.7
12,"Nortman, Brad",JAC,TEN,P,4.5,209.7,19.1,1.6,14.6
13,"Colquitt, Britton",CLE,@BAL,P,4.9,217.5,22.4,1.3,14.5
14,"Huber, Kevin",CIN,HOU,P,4.6,213.4,18.7,1.5,14.5
15,"Palardy, Michael",CAR,BUF,P,4.6,201.,17.3,1.7,14.4
16,"Anger, Bryan",TBB,CHI,P,4.1,186.5,7.1,2.1,14.4
17,"Jones, Donnie",PHI,@KCC,P,4.4,205.8,11.9,1.5,14.
18,"Edwards, Lachlan",NYJ,@OAK,P,4.7,205.7,21.7,1.5,14.
19,"Schmidt, Colton",BUF,@CAR,P,4.8,205.3,19.,1.2,13.5
20,"O'Donnell, Pat",CHI,@TBB,P,4.3,188.8,14.4,1.6,13.4
21,"Quigley, Ryan",MIN,@PIT,P,4.4,182.9,14.1,1.7,13.1
22,"Ryan, Jon",SEA,SFO,P,4.,177.6,15.3,1.4,12.4
23,"Jones, Chris",DAL,@DEN,P,3.7,170.4,8.9,1.6,12.1
24,"Berry, Jordan",PIT,MIN,P,3.9,172.5,14.,1.4,12.
25,"Morstead, Thomas",NOR,NEP,P,3.6,170.5,14.1,1.4,12.
26,"Kaser, Drew",LAC,MIA,P,3.9,182.1,21.6,1.1,12.
27,"Way, Tress",WAS,@LAR,P,3.7,170.,14.3,1.2,11.7
28,"Vogel, Justin",GBP,@ATL,P,3.9,167.7,9.,1.2,11.5
29,"Bosher, Matt",ATL,GBP,P,3.2,146.1,13.7,1.5,11.
30,"Wile, Matt",ARZ,@IND,P,3.8,164.7,16.9,1.,10.5
