Player,Team,Tackle,Assist,Sack,PD,INT,FF,FR
Landon Collins,NYG,99,26,3.,12,3,0,1
Reshad Jones,MIA,88,22,1.5,8,3,1,1
Harrison Smith,MIN,75,24,2.5,8,2,1,0
Keanu Neal,ATL,77,36,0.,10,2,2,1
Jamal Adams,NYJ,58,20,3.,8,3,3,1
John Cyprien,TEN,88,31,1.,3,0,1,1
Kurt Coleman,CAR,59,31,1.,8,3,1,0
Ha'Sean Clinton-Dix,GB,69,19,2.,5,3,1,0
Jabrill Peppers,CLE,68,19,2.,5,1,2,1
Kenny Vaccaro,NO,69,28,1.5,7,2,1,0
Malcolm Jenkins,PHI,60,21,1.,11,3,2,1
Morgan Burnett,GB,72,22,2.,7,1,1,1
Eric Berry,KC,66,16,0.,10,3,1,0
Karl Joseph,OAK,61,20,1.,10,3,2,1
Tre'Davious White,BUF,62,20,1.,13,3,1,0
Tyrann Mathieu,ARI,62,7,1.,12,3,1,0
Tony Jefferson,BAL,69,19,2.,5,1,2,1
Josh Norman,WAS,52,15,0.,18,3,2,0
Rodney McLeod,PHI,69,13,1.,6,2,2,1
Bashaud Breeland,WAS,62,15,1.,12,2,2,1
Logan Ryan,TEN,64,17,1.,13,2,1,0
T.J. Ward,DEN,66,17,2.,6,1,2,1
Sean Davis,PIT,60,19,2.,9,2,1,1
Kam Chancellor,SEA,60,30,0.,8,2,2,1
Glover Quin,DET,58,15,0.,9,3,1,1
Barry Church,JAC,72,26,0.,7,1,1,0
Jalen Ramsey,JAC,59,13,0.,15,3,1,0
Antoine Bethea,ARI,70,20,1.,6,1,1,0
Casey Hayward,LAC,52,8,0.,14,4,0,1
Reggie Nelson,OAK,54,16,0.,12,4,0,2
Earl Thomas,SEA,62,23,0.,9,2,1,1
Jahleel Addae,LAC,66,13,1.,7,1,1,0
Eric Weddle,BAL,53,22,1.,8,2,1,1
Marcus Peters,KC,40,9,0.,18,5,1,0
Tavon Wilson,DET,77,16,1.,2,1,0,0
Byron Jones,DAL,69,18,0.,9,1,1,0
Xavier Rhodes,MIN,54,8,0.,11,4,0,0
Jaquiski Tartt,SF,62,22,2.,9,1,0,0
Malcolm Butler,NE,52,13,0.,16,3,1,1
Ricardo Allen,ATL,66,28,0.,4,2,0,0
Mike Mitchell,PIT,56,22,0.,9,2,2,1
Mike Adams,CAR,60,20,0.,5,2,2,1
Daryl Worley,CAR,63,24,1.,9,1,0,0
Devin McCourty,NE,60,15,0.,7,2,2,1
Vernon Hargreaves,TB,66,7,0.,9,2,1,0
Janoris Jenkins,NYG,45,7,0.5,16,3,1,0
Micah Hyde,BUF,50,14,1.,9,3,1,1
Malik Hooker,IND,56,22,1.,8,1,0,0
Eddie Jackson,CHI,46,15,1.,8,3,1,0
James Bradberry,CAR,60,15,0.,12,2,0,0
Marcus Williams,NO,50,20,2.,6,2,1,1
Ron Parker,KC,60,10,1.,12,1,1,0
Adoree Jackson,TEN,42,8,0.,12,4,1,1
Brent Grimes,TB,46,9,0.,14,3,1,0
Bradley McDougald,SEA,60,20,0.,8,2,0,0
Ronald Darby,PHI,60,11,0.,12,2,0,0
