Player,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Arizona Cardinals,45,14,16,4,319,215.9,93.5,1,1
Denver Broncos,45,13,14,4,277,188.6,124.1,2,1
Kansas City Chiefs,31,14,14,4,316,239.1,118.4,0,3
Philadelphia Eagles,36,12,15,3,337,245.3,101.4,2,2
Miami Dolphins,37,11,15,2,341,235.6,122.2,2,2
New England Patriots,39,11,13,3,271,238.9,91.6,2,1
Seattle Seahawks,40,12,13,2,284,219.9,88.4,2,1
Green Bay Packers,42,7,16,2,355,266.,102.3,1,1
New York Giants,37,10,16,2,304,257.7,93.8,1,1
Carolina Panthers,42,12,15,2,359,261.8,94.1,1,0
Los Angeles Chargers,36,13,13,2,375,239.3,102.9,1,1
Jacksonville Jaguars,34,9,13,3,400,238.8,120.4,1,1
Tampa Bay Buccaneers,39,11,13,3,376,246.5,110.8,0,0
Minnesota Vikings,42,7,14,2,370,249.4,136.8,0,1
Houston Texans,40,9,14,3,299,209.1,101.6,0,0
Washington Redskins,38,13,10,1,366,263.7,121.5,1,2
Pittsburgh Steelers,35,12,16,2,321,251.6,99.1,0,1
Buffalo Bills,39,9,14,3,365,240.4,128.5,0,0
Los Angeles Rams,36,11,13,2,336,227.8,107.5,1,1
Indianapolis Colts,34,8,13,3,374,268.1,115.1,0,1
Baltimore Ravens,33,11,16,2,332,236.1,94.4,0,1
Oakland Raiders,31,12,15,2,371,258.1,110.4,1,1
Tennessee Titans,39,8,10,3,339,254.1,94.6,1,0
Atlanta Falcons,35,11,11,3,355,250.3,105.6,1,0
Dallas Cowboys,34,12,14,2,316,251.8,92.9,1,0
Cincinnati Bengals,31,10,16,2,342,247.2,117.9,0,0
Detroit Lions,29,6,12,1,369,236.,121.6,3,1
San Francisco 49ers,30,8,11,2,455,246.6,156.9,0,0
New Orleans Saints,29,11,9,1,432,278.3,107.5,0,1
Chicago Bears,30,7,9,1,384,232.5,128.8,0,1
Cleveland Browns,28,5,9,1,426,240.3,145.,0,1
New York Jets,24,6,9,1,373,259.8,101.3,0,0
