Player,Team,Tackle,Assist,Sack,PD,INT,FF,FR
J.J. Watt,HOU,55,17,16.5,9,1,4,2
Joey Bosa,LAC,40,22,13.5,2,0,1,0
Cameron Jordan,NO,39,19,10.5,5,1,1,1
Danielle Hunter,MIN,40,25,12.5,3,0,0,0
Olivier Vernon,NYG,45,22,10.5,3,0,1,0
Muhammad Wilkerson,NYJ,36,25,8.5,5,1,2,0
Melvin Ingram,LAC,36,11,9.5,5,0,4,1
Calais Campbell,JAC,40,18,8.5,5,1,1,1
Jason Pierre-Paul,NYG,39,20,8.5,6,0,2,1
Brandon Graham,PHI,44,16,7.5,3,0,3,1
Carlos Dunlap,CIN,36,19,9.,6,0,2,1
Kawann Short,CAR,38,27,7.5,3,0,2,1
Fletcher Cox,PHI,38,22,8.,3,0,2,1
Cliff Avril,SEA,27,14,10.5,4,0,3,1
Everson Griffen,MIN,35,13,9.5,3,0,2,1
Ndamukong Suh,MIA,44,21,7.,5,0,1,0
Cameron Wake,MIA,31,8,10.5,2,0,3,0
Myles Garrett,CLE,26,17,7.5,4,1,4,1
DeForest Buckner,SF,36,25,7.5,2,0,1,1
Cameron Heyward,PIT,34,19,8.,4,0,2,0
Noah Spence,TB,28,13,9.5,4,0,3,0
Akiem Hicks,CHI,35,19,7.,3,0,2,1
Jerry Hughes,BUF,35,16,6.5,4,0,2,1
Ziggy Ansah,DET,35,13,7.,2,0,3,0
Hau'oli Kikaha,NO,35,23,5.5,4,0,2,1
Leonard Williams,NYJ,34,31,6.,1,0,1,1
Trey Flowers,NE,28,22,7.5,2,0,2,1
Derek Wolfe,DEN,36,15,6.5,4,0,1,1
Damon Harrison,NYG,49,30,2.,1,0,1,1
Sheldon Richardson,NYJ,38,25,4.5,2,0,1,1
Stephon Tuitt,PIT,35,14,5.5,3,0,2,1
Solomon Thomas,SF,30,18,5.5,5,0,2,1
Michael Bennett,SEA,33,17,6.5,1,0,1,1
Jonathan Allen,WAS,30,21,5.5,3,0,2,1
Emmanuel Ogbah,CLE,30,27,6.5,3,0,0,0
Yannick Ngakoue,JAC,22,5,8.5,3,0,3,1
Aaron Donald,LAR,28,11,7.,2,0,2,1
Kyle Williams,BUF,40,20,5.,0,0,0,0
Gerald McCoy,TB,27,10,7.5,2,0,1,1
Marcell Dareus,BUF,33,16,5.,3,0,1,1
Taco Charlton,DAL,28,15,6.5,4,0,1,0
Geno Atkins,CIN,24,11,8.5,1,0,1,0
Jurrell Casey,TEN,30,18,5.5,3,0,1,0
Corey Liuget,LAC,28,12,5.5,3,0,2,1
Julius Peppers,CAR,20,10,7.5,3,0,2,1
Malik Jackson,JAC,30,7,6.,5,0,1,0
A'Shawn Robinson,DET,30,11,5.,5,0,1,0
Michael Johnson,CIN,30,13,4.5,3,0,1,1
Johnathan Hankins,IND,32,17,4.,2,0,1,0
Linval Joseph,MIN,35,24,2.5,2,0,0,1
Malcom Brown,NE,33,26,2.5,0,0,1,1
Jared Crick,DEN,30,20,3.,3,0,1,1
William Hayes,MIA,30,10,5.,0,0,1,0
Robert Ayers,TB,22,6,6.5,2,0,1,0
Brandon Williams,BAL,35,18,2.5,2,0,0,0
Andre Branch,MIA,22,11,4.5,2,0,2,1
Grady Jarrett,ATL,25,24,3.5,1,0,0,1
Dontari Poe,ATL,30,13,2.5,2,0,1,1
Takkarist McKinley,ATL,24,10,5.5,2,0,0,0
Chris Baker,TB,21,11,4.,2,0,0,1
William Gholston,TB,28,9,3.5,1,0,1,1
Sheldon Rankins,NO,22,9,5.5,1,0,1,0
Allen Bailey,KC,25,10,4.,2,0,1,0
Mike Daniels,GB,26,10,4.5,1,0,0,0
Brian Robison,MIN,20,6,4.5,3,0,1,1
Frank Clark,SEA,19,9,6.,1,0,0,0
Timmy Jernigan,PHI,18,17,4.5,2,0,0,1
Maliek Collins,DAL,20,5,5.,1,0,1,1
Tyrone Crawford,DAL,21,10,4.,1,0,1,1
Charles Johnson,CAR,20,12,4.5,2,0,0,1
Mario Addison,CAR,19,7,6.,1,0,0,0
Eddie Vanderdoes,OAK,19,13,4.5,1,0,1,0
Domata Peko,DEN,23,22,2.5,1,0,0,1
Henry Anderson,IND,25,16,2.5,4,0,0,0
Chris Long,PHI,20,6,5.5,2,0,0,0
Abry Jones,JAC,30,13,1.5,2,0,0,1
Chris Jones,KC,22,14,3.5,3,0,0,0
Damontre Moore,DAL,21,8,4.,2,0,1,0
Bennie Logan,KC,33,11,1.5,1,0,0,0
Cornelius Washington,DET,25,9,3.5,2,0,0,0
Adolphus Washington,BUF,17,8,4.5,3,0,1,0
Eddie Goldman,CHI,19,7,5.,2,0,0,0
Javon Hargrave,PIT,22,10,3.5,1,0,0,1
Alan Branch,NE,24,15,1.5,2,0,1,0
Jarran Reed,SEA,18,17,2.5,3,0,1,0
Corey Peters,ARI,21,10,3.5,1,0,0,0
Kendall Langford,IND,20,8,3.5,2,0,0,0
Michael Brockers,LAR,25,11,2.,1,0,0,0
Tyson Alualu,PIT,19,9,2.5,1,0,1,1
Ahtyba Rubin,SEA,22,15,1.5,1,0,1,0
DaQuan Jones,TEN,22,14,1.5,1,0,0,1
Jamie Meder,CLE,23,19,1.,1,0,0,0
Terrell McClain,WAS,20,17,2.,1,0,0,0
Caleb Brantley,CLE,19,9,2.5,1,0,0,1
Haloti Ngata,DET,17,10,2.,3,0,1,0
Earl Mitchell,SF,22,13,1.5,1,0,0,0
Kony Ealy,NYJ,15,6,2.5,2,0,1,1
Derek Barnett,PHI,14,8,4.,1,0,0,0
D.J. Reader,HOU,15,20,1.5,1,0,1,0
Vinny Curry,PHI,15,5,4.,1,0,0,0
David Irving,DAL,16,6,2.5,2,0,1,0
Adrian Clayborn,ATL,15,3,4.,1,0,0,0
Mario Edwards Jr.,OAK,20,4,2.5,1,0,0,0
Jordan Phillips,MIA,15,11,2.5,2,0,0,0
Star Lotulelei,CAR,13,10,2.5,1,0,1,0
Denico Autry,OAK,17,3,3.,1,0,0,0
Jihad Ward,OAK,16,14,1.,1,0,1,0
Ricky Jean-Francois,GB,14,18,1.5,2,0,0,0
Jason Bromley,NYG,15,11,2.5,0,0,0,0
Josh Mauro,ARI,22,6,1.,1,0,0,0
Austin Johnson,TEN,15,11,2.,1,0,0,0
Sylvester Williams,TEN,18,8,1.5,1,0,0,0
Danny Shelton,CLE,20,16,0.,0,0,0,0
Arik Armstead,SF,13,8,2.5,1,0,0,0
Wallace Gilberry,CIN,15,6,2.,1,0,0,0
Ziggy Hood,WAS,17,10,1.,1,0,0,0
Romeo Okwara,NYG,14,12,1.,1,0,0,0
Pat Sims,CIN,15,11,1.,0,0,0,0
Christian Covington,HOU,14,7,1.5,1,0,0,0
Rodney Gunter,ARI,14,6,1.5,1,0,0,0
