Player,Team,FGM,FGA,FG%,EPM,EPA
Matt Bryant,ATL,30,34,88.2,47,48
Stephen Gostkowski,NE,29,33,87.9,50,51
Justin Tucker,BAL,32,34,94.1,37,37
Blair Walsh,SEA,31,35,88.6,38,40
Wil Lutz,NO,28,33,84.8,46,48
Caleb Sturgis,PHI,30,35,85.7,39,40
Dan Bailey,DAL,28,31,90.3,42,42
Cairo Santos,KC,29,34,85.3,38,40
Steve Hauschka,BUF,29,34,85.3,37,41
Mason Crosby,GB,25,29,86.2,49,51
Graham Gano,CAR,28,34,82.4,38,43
Dustin Hopkins,WAS,29,34,85.3,34,36
Sebastian Janikowski,OAK,26,31,83.9,43,46
Adam Vinatieri,IND,26,30,86.7,42,43
Nick Novak,HOU,29,35,82.9,33,35
Phil Dawson,ARI,23,26,88.5,50,51
Brandon McManus,DEN,28,33,84.8,34,35
Josh Lambo,LAC,26,32,81.3,40,44
Matt Prater,DET,27,31,87.1,35,38
Ryan Succop,TEN,24,27,88.9,40,41
Kai Forbath,MIN,26,28,92.9,33,34
Randy Bullock,CIN,24,29,82.8,37,39
Aldrick Rosas,NYG,23,29,79.3,39,43
Chris Boswell,PIT,22,27,81.5,40,41
Jason Myers,JAC,24,30,80.,33,36
Nick Folk,TB,22,26,84.6,38,40
Andrew Franks,MIA,22,27,81.5,35,36
Connor Barth,CHI,22,27,81.5,31,33
Robbie Gould,SF,22,27,81.5,30,32
Cody Parkey,CLE,22,28,78.6,28,30
Greg Zuerlein,LAR,21,25,84.,30,32
Chandler Catanzaro,NYJ,20,25,80.,28,32
