Player,Team,Tackle,Assist,Sack,PD,INT,FF,FR
Alec Ogletree,LAR,99,36,2.5,10,1,1,0
Telvin Smith,JAC,99,25,2.5,7,1,1,1
Luke Kuechly,CAR,83,46,3.,8,2,2,1
Kwon Alexander,TB,96,34,3.,8,1,1,1
Bobby Wagner,SEA,81,60,4.,5,1,1,1
Deion Jones,ATL,86,40,1.,9,2,1,0
C.J. Mosley,BAL,75,44,3.5,9,2,2,1
Preston Brown,BUF,81,55,1.5,7,2,1,1
Reuben Foster,SF,81,40,2.,6,2,2,1
Sean Lee,DAL,83,50,1.,5,2,1,1
Christian Kirksey,CLE,88,49,3.,3,0,1,0
Zach Brown,WAS,83,42,3.,6,1,1,0
Khalil Mack,OAK,55,18,11.5,3,1,3,1
Eric Kendricks,MIN,75,41,3.5,8,1,1,1
Von Miller,DEN,60,15,12.5,2,0,2,1
Ryan Shazier,PIT,69,36,4.,6,2,2,1
Derrick Johnson,KC,85,22,3.,5,1,2,1
Mark Barron,LAR,86,30,1.5,7,1,1,1
Jerrell Freeman,CHI,72,39,2.5,6,1,1,1
Jatavis Brown,LAC,75,28,3.5,7,1,2,1
Lavonte David,TB,69,29,4.,5,1,3,2
Jamie Collins,CLE,69,30,4.5,4,1,3,1
Paul Posluszny,JAC,90,35,1.5,5,0,1,0
Jarrad Davis,DET,81,35,1.5,7,1,1,1
Kiko Alonso,MIA,70,40,1.,4,2,1,2
Lawrence Timmons,MIA,73,40,3.,5,1,1,1
Navorro Bowman,SF,82,26,2.5,6,0,2,1
DeMario Davis,NYJ,68,45,3.5,6,1,0,1
Benardrick McKinney,HOU,73,42,4.5,2,0,1,0
Brandon Marshall,DEN,81,28,1.,5,1,2,0
Jordan Hicks,PHI,65,33,1.5,8,2,1,0
Vic Beasley,ATL,36,8,13.5,4,1,1,1
Tahir Whitehead,DET,74,27,2.,6,1,1,1
Vontaze Burfict,CIN,69,26,2.,8,1,2,1
Haason Reddick,ARI,58,27,5.,5,1,2,1
Karlos Dansby,ARI,62,39,1.5,6,2,1,1
Avery Williamson,TEN,70,35,2.5,2,1,1,0
Jaylon Smith,DAL,60,29,3.,6,1,2,1
Chandler Jones,ARI,35,12,11.5,3,0,4,1
Thomas Davis,CAR,60,26,2.5,4,2,2,0
K.J. Wright,SEA,66,40,2.,3,0,1,1
Lorenzo Alexander,BUF,45,15,9.5,5,0,2,0
Deone Bucannon,ARI,66,23,2.5,3,1,1,1
Darron Lee,NYJ,62,33,2.,4,1,1,1
Ryan Kerrigan,WAS,40,11,10.5,5,0,2,1
Markus Golden,ARI,44,12,9.5,1,0,3,1
David Harris,NE,62,31,2.,4,1,1,0
Bruce Irvin,OAK,41,11,6.5,2,1,4,1
Will Compton,WAS,55,44,1.,4,1,1,0
Justin Houston,KC,38,6,9.5,4,0,2,1
Anthony Barr,MIN,50,23,4.,5,0,2,1
Kevin Minter,CIN,66,22,2.,2,0,1,0
De'Vondre Campbell,ATL,55,19,1.,8,2,1,0
Manti Te'o,NO,54,35,1.5,4,1,1,0
Brian Orakpo,TEN,38,11,9.5,4,0,1,0
Leonard Floyd,CHI,40,14,8.5,2,0,1,1
Korey Toomer,LAC,60,20,1.5,4,0,2,1
Reggie Ragland,KC,48,30,2.5,6,1,1,0
Myles Jack,JAC,45,22,4.5,4,1,1,0
Robert Quinn,LAR,30,7,9.5,3,0,3,1
Dont'a Hightower,NE,51,23,3.5,2,0,1,1
Jadeveon Clowney,HOU,43,14,6.5,4,0,1,0
Gerald Hodges,BUF,52,20,2.5,3,1,1,0
Danny Trevathan,CHI,55,24,1.,5,1,0,0
Blake Martinez,GB,52,25,1.5,3,1,0,0
Wesley Woodyard,TEN,48,18,2.5,3,1,1,0
Jake Ryan,GB,58,30,0.,3,0,0,1
Rey Maualuga,MIA,58,25,0.,4,0,1,0
Whitney Mercilus,HOU,34,18,6.,2,0,2,1
Shaq Thompson,CAR,48,23,1.5,6,0,1,1
T.J. Watt,PIT,33,17,4.5,4,1,2,1
Vincent Rey,CIN,50,30,0.,6,1,0,0
Cory James,LAR,52,15,1.,3,0,2,1
Clay Matthews,GB,30,10,6.5,5,1,1,0
Devante Bond,TB,44,11,5.5,2,0,0,0
Edwin Jackson,IND,51,22,2.5,1,0,0,0
Jonathan Casillas,NYG,50,19,1.5,4,0,1,0
Derrick Morgan,TEN,28,9,8.5,3,0,1,0
Terrell Suggs,BAL,28,10,7.,2,0,2,1
Kyle Emanuel,LAC,45,26,2.,2,0,1,0
