Player,Team,Comp,Pass Att,Pass Yard,Pass TD,INT,Rush Att,Rush Yard,Rush TD
Aaron Rodgers,GB,403,610,4455,36,7,58,325,2
Tom Brady,NE,403,610,4760,36,8,29,50,1
Drew Brees,NO,445,644,4961,33,14,17,17,1
Jameis Winston,TB,351,565,4240,30,17,53,184,3
Russell Wilson,SEA,348,535,4122,27,10,85,367,2
Matt Ryan,ATL,367,548,4549,30,11,33,82,0
Philip Rivers,LAC,360,580,4350,31,15,15,27,0
Marcus Mariota,TEN,326,518,3884,26,11,51,322,2
Matthew Stafford,DET,393,595,4285,26,12,40,174,1
Andy Dalton,CIN,349,537,4083,25,11,46,155,2
Ben Roethlisberger,PIT,351,532,4205,28,14,19,26,1
Cam Newton,CAR,306,518,3626,23,12,67,316,4
Dak Prescott,DAL,314,491,3729,23,9,68,315,3
Kirk Cousins,WAS,365,570,4217,24,13,33,88,2
Andrew Luck,IND,300,484,3727,26,12,48,247,2
Derek Carr,OAK,360,580,4120,28,10,31,74,0
Eli Manning,NYG,367,574,4189,28,15,14,25,0
Carson Palmer,ARI,357,576,4150,27,15,4,11,0
Carson Wentz,PHI,350,573,3955,22,14,50,185,2
Tyrod Taylor,BUF,272,438,3110,19,7,81,545,5
Alex Smith,KC,332,503,3720,20,7,63,246,3
Joe Flacco,BAL,368,574,4020,22,13,18,38,2
Sam Bradford,MIN,356,539,3879,21,8,18,46,0
Jay Cutler,MIA,286,440,3256,21,14,32,135,1
Trevor Siemian,DEN,280,458,3255,17,10,11,55,0
Blake Bortles,JAC,223,378,2605,16,10,33,186,1
Mike Glennon,CHI,234,389,2765,15,13,17,64,0
Jared Goff,LAR,264,463,2871,13,11,21,45,0
Brian Hoyer,SF,215,359,2550,15,7,22,55,0
Josh McCown,NYJ,221,374,2430,13,10,35,105,1
DeShone Kizer,CLE,160,276,2015,10,8,50,176,1
Deshaun Watson,HOU,149,253,1745,9,7,57,245,2
Tom Savage,HOU,171,290,1882,10,6,10,11,0
Chad Henne,JAC,107,178,1246,7,6,18,47,0
Matt Barkley,SF,88,146,1052,8,7,4,7,0
Mitchell Trubisky,CHI,85,146,1025,6,4,10,24,0
Sean Mannion,LAR,75,128,856,7,4,11,25,0
Paxton Lynch,DEN,85,147,1056,4,3,16,31,0
Cody Kessler,CLE,68,113,760,5,4,15,37,1
Bryce Petty,NYJ,77,134,886,5,7,7,26,0
Brock Osweiler,CLE,57,95,666,4,3,8,31,0
Scott Tolzien,IND,56,95,616,5,3,3,11,0
Matt Moore,MIA,59,96,656,3,2,4,19,0
Derek Anderson,CAR,33,50,375,2,1,3,6,0
Landry Jones,PIT,29,48,330,2,1,0,0,0
Drew Stanton,ARI,22,34,245,2,1,0,0,0
Nathan Peterman,BUF,21,32,237,2,1,2,4,0
Matt Cassel,TEN,24,43,286,1,1,3,6,0
Case Keenum,MIN,17,28,185,2,0,2,7,0
Patrick Mahomes,KC,22,37,246,1,1,3,9,0
Jimmy Garoppolo,NE,24,38,256,1,0,1,2,0
Christian Hackenberg,NYJ,21,37,246,1,2,1,4,0
Nick Foles,PHI,16,27,205,1,0,0,0,0
Brett Hundley,GB,13,24,164,1,1,0,0,0
Geno Smith,NYG,13,23,152,1,1,2,6,0
Kellen Moore,DAL,13,21,145,0,0,0,1,0
Trevone Boykin,SEA,12,20,136,0,0,1,4,0
Ryan Fitzpatrick,TB,8,13,89,0,1,0,0,0
Chase Daniel,NO,7,12,82,0,0,1,3,0
Ryan Mallett,BAL,4,7,49,0,0,0,0,0
Matt Schaub,ATL,4,6,46,0,0,0,1,0
AJ McCarron,CIN,4,6,45,0,0,0,0,0
