Player,Sack,Int,FR,FF,TD,Assist,Safety,PA,YA,FPts
Arizona Cardinals,39.3,17.6,12.6,,3.6,0,,299.4,5115.8,165.2
Atlanta Falcons,30.3,13.1,8.3,,3,0,,399.8,6172.2,99.8
Baltimore Ravens,36.5,15,12.1,,4.1,0,,320,5541.7,149.5
Buffalo Bills,34.1,16.4,8.4,,2.6,0,,409.4,6123.1,107.7
Carolina Panthers,36.5,17.6,11.1,,3.5,0,,351.9,5519.4,139.5
Chicago Bears,32.7,12.65,8.65,,3.5,0,,402.2,6144.9,114.3
Cincinnati Bengals,35.9,15.9,10.7,,3.1,0,,323.3,5707.9,138.8
Cleveland Browns,33.7,12.7,9.1,,2.6,0,,406.4,6215.6,108.4
Dallas Cowboys,33.7,17.2,12.1,,2.8,0,,366.2,5771.9,130.2
Denver Broncos,40.6,19.6,11.1,,4.6,0,,306.7,5302.2,178
Detroit Lions,33.2,12.2,9.9,,2.4,0,,398.9,6267.5,98.1
Green Bay Packers,31.7,16.7,10.9,,3.3,0,,378.6,5853.6,125.9
Houston Texans,40.9,17.5,11.95,,4.3,0,,289.2,5097.9,175
Indianapolis Colts,32.4,15.7,9.7,,3.4,0,,383.3,6031.9,123.9
Jacksonville Jaguars,37.2,17.9,12.4,,3.8,0,,341.3,5569.1,148.9
Kansas City Chiefs,38.5,19.6,12.2,,3.3,0,,323.7,5524.4,156.8
Los Angeles Chargers,35.3,14.8,11.6,,3.4,0,,361.2,5700.5,130
Los Angeles Rams,37.7,15.6,12.8,,3.5,0,,354,5693.,139.1
Miami Dolphins,32.2,14.3,8.8,,3,0,,405.2,6179.5,107.6
Minnesota Vikings,39.85,18,12.2,,3.4,0,,320.5,5186.4,154.1
New England Patriots,41.6,17.9,12.6,,3.1,0,,333.3,5531.3,150.7
New Orleans Saints,31.4,12.2,9.7,,1.8,0,,433.7,6303.,86.8
New York Giants,36.2,16.45,12,,3.3,0,,354.2,5615.8,141.4
New York Jets,36.9,12.2,9.3,,3.1,0,,388.9,5629.7,112.6
Oakland Raiders,35.8,15.3,9.2,,3.2,0,,397.8,6166.,117.3
Philadelphia Eagles,34.2,16.9,10.5,,3.4,0,,325,5589.3,141.5
Pittsburgh Steelers,37.15,15.9,11.2,,2.8,0,,337,5575.4,135.6
San Francisco 49ers,32.3,13.2,10.3,,2.9,0,,385.6,5962.4,114.8
Seattle Seahawks,40.3,17.6,12.8,,4.3,0,,305.6,5329.,169.3
Tampa Bay Buccaneers,36.3,15.8,10.2,,2.9,0,,365.4,5906.2,128
Tennessee Titans,34.9,14.3,10.7,,3,0,,376.4,5771.8,123.3
Washington Redskins,35,16.1,9.9,,3.2,0,,389,6198.2,121.8
