Player,Team,Pass Att,Pass Cmp,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,FL,FPts
Aaron Rodgers,GB,609.1,383.7,4462.7,38,6.8,65.9,320.5,2.6,,362.2
AJ McCarron,CIN,27.3,17,197.4,1.2,0.4,2.5,5.6,0.05,0,12
Alex Smith,KC,513.5,334.8,3527.9,20.1,13.7,57.3,152.9,2.2,,216.3
Andrew Luck,IND,535.7,323.6,3824.6,29.6,13.3,64.9,311.7,2.9,,287.5
Andy Dalton,CIN,559.8,348.8,4103.2,27.9,12.2,43.1,137.7,1.5,,268.5
Ben Roethlisberger,PIT,540.5,342,4025.4,32.1,11.2,24.5,55.9,1.4,,279.1
Blake Bortles,JAC,574,330.4,3594.1,24.6,15.6,48.3,248.5,2.2,,242.8
Brandon Weeden,HOU,33,19.8,222.1,1.3,1.3,3.2,13.6,0.1,0,13.5
Brett Hundley,GB,23.6,13.6,149,0.6,0.8,2.2,7.3,0,0,7.5
Brian Hoyer,SF,513.5,302.1,3527.9,19.3,14.05,31.1,78,1.2,,191.9
Brock Osweiler,CLE,0,0,0,0,0,0,0,0,0,0
Bryce Petty,NYJ,19.7,11.1,128.8,0.6,0.6,1.7,6.2,0,0,6.9
Cam Newton,CAR,526.2,302.6,3692.7,24.5,13.5,92.3,527.9,5.1,,299.1
Cardale Jones,LAC,17.4,10.3,109.2,0.5,0.7,2.2,4.4,0,0,5.3
Carson Palmer,ARI,613.2,374.9,4271.3,26.4,16.3,17.4,51.1,0.6,,246.9
Carson Wentz,PHI,579.8,335.4,3740.8,23.7,15.3,41.2,161.3,2,,233.3
Case Keenum,MIN,,,,,,,,0,0,
Chad Henne,JAC,41.7,25.6,279.8,1.3,1.05,3.8,15,0.05,,16
Chase Daniel,NO,8.7,6,73,0.6,0.1,1.7,0.5,0,0,5.3
Christian Hackenberg,NYJ,,,,,,,,,,
Cody Kessler,CLE,42.1,24.7,277.1,1.6,1.1,2.5,7.3,0,,15.5
Colt McCoy,WAS,24,15.1,172.8,1.1,0.3,2.4,5.1,0.05,0,10.8
Connor Cook,OAK,23.2,13.1,140.7,0.6,0.9,2.7,7,0.05,0,6.9
Dak Prescott,DAL,486.6,302.8,3638.1,25.55,9.2,57.25,298.5,2.2,,273.1
Derek Anderson,CAR,15.1,10,114.6,0.6,0.7,1.4,-0.4,0,0,5.3
Derek Carr,OAK,602.7,358,4227.8,27.9,13,35.5,72.1,0.8,,260
Deshaun Watson,HOU,210.4,131,1429.4,7.1,5.8,20.6,82.9,0.9,,84.8
DeShone Kizer,CLE,518,316,3441.5,16.2,14,64.6,340.7,1.9,,215.1
Drew Brees,NO,650.9,419.9,4970.3,37.4,14.5,28.1,55.2,1.6,,333
Drew Stanton,ARI,19.3,10.1,100.6,0.5,0.7,2,6.6,0,0,4.9
Eli Manning,NYG,591.5,348.5,4039.7,27.1,15.75,20.9,48.7,0.8,,242.5
Geno Smith,NYG,37.9,21.4,247.9,1.3,1,3.5,15.4,0.05,0,14.8
Jameis Winston,TB,558.7,348.5,4181.5,27.4,14.8,49.1,171.5,2.2,,273.3
Jared Goff,LAR,570.3,318.4,3568.3,20.6,17.45,25.1,103.4,0.9,,196.1
Jay Cutler,MIA,526.9,307.1,3438.8,21.7,14,35,95,1.8,,207
Jimmy Garoppolo,NE,17.4,10.9,141.7,1,0.2,2.5,1.8,0,0,9.1
Joe Flacco,BAL,631.7,378.7,4046.9,22.2,16.9,26.6,64.5,1.3,3,228.4
Josh McCown,NYJ,525.6,303,3333.2,18.1,13.6,35.7,104.1,0.3,,182.7
Kellen Clemens,LAC,25.3,14.6,167.2,0.9,0.9,2.3,7.4,0,0,8.8
Kellen Moore,DAL,26.3,16.1,189.4,1.2,0.8,2.5,5.4,0,0,11.2
Kevin Hogan,CLE,31.3,17.7,194.4,1.1,0.8,3,19.4,0.1,0,12.5
Kirk Cousins,WAS,618.9,394.6,4727.8,26.4,12.8,39.5,147.5,2,,290.1
Landry Jones,PIT,33.5,19.4,217.9,1.3,0.8,3.1,12.3,0.05,0,14
Marcus Mariota,TEN,544.4,329.7,3968.9,26.9,15.2,57.9,307,2.8,,277
Matt Barkley,SF,31.7,19.4,221.6,1.1,1.1,2.3,3.5,0,0,11.5
Matt Cassel,TEN,25.9,13.6,145.7,0.7,0.9,2.5,9.4,0,0,7.3
Matthew Stafford,DET,597.8,373.5,4219.,27,13.4,34.35,117.1,2.2,,268.8
Matt Moore,MIA,14.8,9.5,128,1.1,0.3,2.1,1,0,,8.8
Matt Ryan,ATL,601.7,397.6,4769.5,34.65,12.1,37.9,114.3,1.4,,332.7
