Player,Team,Rec,Rec Yds,Rec Tds,FL,FPts
Adam Shaheen,CHI,,,,,
A.J. Derby,DEN,23.5,164.7,2,,28.5
Alan Cross,TB,4.4,43.2,0.5,0,7.3
Alex Ellis,JAC,5.4,42.3,0.4,0,6.4
Anthony Fasano,MIA,13.4,176.8,1,,23.9
Antonio Gates,LAC,44.8,514.8,4.3,,76.9
Asante Cleveland,LAC,5.5,51.4,0.4,0,7.6
Austin Hooper,ATL,36.3,502.8,4.6,,78.1
Austin Seferian-Jenkins,NYJ,27.9,375,1.5,,46.3
Ben Braunecker,CHI,5,56.7,0.4,,7.8
Benjamin Watson,BAL,26.1,309.8,1.9,,42.3
Ben Koyack,JAC,5.8,52.2,0.4,,7.7
Blake Bell,SF,3.9,43.1,0.25,,7.5
Brandon Williams,IND,5.1,59.5,0.6,,9.3
Brent Celek,PHI,15.7,174.7,0.9,,22.3
Bucky Hodges,MIN,,,,0,
Cameron Brate,TB,43.9,552.5,4.3,,80.9
Charles Clay,BUF,56.4,579,3.6,,79.8
Chris Manhertz,CAR,5.5,65.9,0.7,0,10.8
C.J. Fiedorowicz,HOU,55.3,554.5,3.2,,74.2
C.J. Uzomah,CIN,10.1,113.6,1.2,,18.4
Clay Harbor,NO,5,33.5,0.4,,5.6
Clive Walford,OAK,23.9,258.5,2.5,,40.4
Coby Fleener,NO,52.8,619.8,3.6,,84.3
Cole Wick,DET,15.7,148,0.7,0,18.8
Cooper Helfet,OAK,4.8,47.9,0.4,0,7.1
Cory Harkey,LAR,5.7,49.2,0.6,,8.3
Daniel Brown,CHI,,,,,
Darren Fells,DET,10,105.4,1,,16.5
David Johnson,PIT,8.8,95,0.8,,13.9
David Morgan,MIN,9.4,67.8,0.8,0,11
David Njoku,CLE,46,508,2.8,,66.3
Delanie Walker,TEN,62.9,778.6,6.2,,115.1
Demetrius Harris,KC,13.5,123.9,0.3,,14.6
Derek Carrier,WAS,5.2,39.3,0.3,,5.4
Dion Sims,CHI,20.7,204.6,1.9,,32
D.J. Tialavea,ATL,5.8,69.2,0.7,0,10.9
Dwayne Allen,NE,25.8,316.2,2.8,,48.6
Ed Dickson,CAR,12.3,136.8,0.8,,18.7
Eric Ebron,DET,65.1,748.2,4.2,,100.1
Eric Saubert,ATL,,,,0,
Erik Swoope,IND,20,250.8,2.6,,40.3
Evan Engram,NYG,41.1,444,2.5,,59.1
Garrett Celek,SF,20,224.1,1.4,,30.3
Gavin Escobar,KC,3.7,36.3,0.2,,5
Geoff Swaim,DAL,11.1,112.1,1.2,,17.8
George Kittle,SF,,,,,
Gerald Everett,LAR,21,,,,
Greg Olsen,CAR,79.8,985.1,6.4,,137
Hakeem Valles,ARI,4.4,43.9,0.2,0,5.9
Hunter Henry,LAC,47.8,582.6,4.7,,86.4
Ifeanyi Momah,ARI,4.7,68,0.7,,10.9
Jace Amaro,TEN,10.3,126.4,1,0,18.2
Jack Doyle,IND,67.6,610.5,5.6,,93.7
Jake Butt,DEN,,,,0,
James O'Shaughnessy,NE,5,45.6,0.3,,6.2
Jared Cook,OAK,48.6,517.7,3.8,,74.4
Jason Witten,DAL,69.1,660.5,3.1,,82.9
Jeff Heuerman,DEN,12.5,137.4,0.9,,19.2
Jerell Adams,NYG,5.6,47.7,0.5,,7.6
Jermaine Gresham,ARI,36.9,421.2,3.2,,61.7
Jesse James,PIT,43,429.3,2.7,,58.4
Jimmy Graham,SEA,64,769.5,5.9,,111.1
John Phillips,NO,4.6,35.1,0.4,,5.8
Jonnu Smith,TEN,,,,,
Jordan Leggett,NYJ,8.3,86.6,0.6,0,12.1
Jordan Reed,WAS,79.5,877.3,7.2,,130
Josh Hill,NO,22.7,208.8,0.8,,26.3
Joshua Perkins,ATL,4.4,64,0.7,0,10.3
Julius Thomas,MIA,57.6,573.9,3.7,,79.6
Kyle Rudolph,MIN,74.4,816.5,4.9,,109.4
Lance Kendricks,GB,13,116.3,1,,17.6
Lee Smith,OAK,5,31.4,0.2,,3.5
Levine Toilolo,ATL,19.2,223.8,1.4,,30.8
Logan Paulsen,SF,4.5,44.9,0.4,,6.7
Logan Thomas,BUF,,,,0,
Luke Stocker,TB,12.7,98.4,0.6,,14.1
Luke Willson,SEA,17,191.6,1.6,,28.5
Marcedes Lewis,JAC,27.7,262.2,0.8,,30
MarQueis Gray,MIA,5.1,48.2,0.4,,7.1
Martellus Bennett,GB,65.8,717.2,6,,107.6
Matt LaCosse,NYG,5.2,47.8,0.3,0,6.5
Matt Lengel,NE,5,61.9,0.7,0,10.6
Maxx Williams,BAL,24.2,255.1,2.2,,38.4
Michael Hoomanawanui,NO,5.4,57.4,0.5,,8.2
Michael Roberts,DET,,,,0,
Mychal Rivera,JAC,21.6,207.2,2.1,,33.6
Nick Boyle,BAL,5.3,38.7,0.2,,4.7
Nick O'Leary,BUF,7.4,90,0.25,,12.3
Nick Vannett,SEA,5.6,48.2,0.5,0,7.4
Niles Paul,WAS,5.7,65.5,0.7,,10.7
O.J. Howard,TB,39.6,416.3,3.7,,63.7
Phillip Supernaw,TEN,5.1,54.8,0.4,,8.1
Randall Telfer,CLE,6.7,62.6,0.5,,9.3
Rhett Ellison,NYG,4.2,34.1,0.1,,4.1
Richard Rodgers,GB,19.1,192.5,1.4,,27.2
Rob Gronkowski,NE,69,1014.3,11.3,,169.2
Ross Travis,KC,4.2,44.2,0.3,,6.2
Ryan Griffin,HOU,26.2,246.7,1.9,,35.6
Sean McGrath,LAC,5.5,66.1,0.8,,11.1
Seth DeValve,CLE,13.9,153.8,1.5,,24.4
Stephen Anderson,HOU,5.1,54.4,0.6,,9.1
Temarrick Hemingway,LAR,5.6,92.2,0.8,0,13.6
Travis Kelce,KC,82.3,994.8,5.6,,132.3
Trey Burton,PHI,10.4,103.6,0.9,,15.3
Troy Niklas,ARI,17.3,160.3,1.4,,24.2
Tyler Eifert,CIN,58,878,7.3,,130.7
Tyler Higbee,LAR,41.9,379.7,3.5,,57.6
Tyler Kroft,CIN,9,77,0.7,,11.6
Vance McDonald,SF,32.1,372.1,4.1,,61.6
Vernon Davis,WAS,24.5,237,2.5,,38.8
Virgil Green,DEN,25.9,270,1.5,,35.9
Will Tye,NYG,23.15,292.3,1.7,,39.2
Xavier Grimble,PIT,4.3,45,0.4,,6.9
Zach Ertz,PHI,74.3,812.3,4.3,,106.2
Zach Miller,CHI,57.5,649.8,5.2,,96
