Player,Team,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds,FL,FPts
Aaron Burbridge,SF,0,-0.1,0,3.8,47.2,0.1,,5.7
Aaron Dobson,ARI,0,0,0,5.2,60,0.4,,8.6
Adam Humphries,TB,1.9,14.3,0,33.6,376.2,1.8,,49
Adam Thielen,MIN,0.4,0.7,0,58.2,720.3,3.4,,93.1
A.J. Green,CIN,0,0,0,89.5,1277.2,9.8,,186.8
Albert Wilson,KC,1.7,19,0.2,32,295.9,1,,36.8
Aldrick Robinson,SF,0,0,0,5.4,75.2,0.6,,11.2
Alex Erickson,CIN,0,0,0,4.8,61,0.2,,7.3
Allen Hurns,JAC,0,0,0,42.4,565.7,4,,80.3
Allen Robinson,JAC,0,0,0,75.8,1095.7,7,,151.8
Alshon Jeffery,PHI,0,0,0,63,991.8,7.7,,145.1
Amara Darboh,SEA,0,0,0,,,,0,
Amari Cooper,OAK,1,0.8,0,86.75,1211.1,7.5,,164
Andre Ellington,ARI,20.4,87.4,0.5,25.8,181.1,0.4,0,31.9
Andre Holmes,BUF,0,0,0,19.1,239.2,1.7,,34.3
Andre Roberts,ATL,0,0,0,5.3,62.2,0.4,,8.6
Antonio Brown,PIT,2.6,16.2,0,112.8,1444.4,10,,205.7
ArDarius Stewart,NYJ,0,0,0,46.8,582.7,3.1,,76.3
Arrelious Benn,JAC,0,0,0,4.1,65.7,0.4,,8.4
Bennie Fowler,DEN,0,0,0,21.4,234.6,0.7,,27.3
Brandin Cooks,NE,3.2,16.3,0,89,1240.4,7.7,,170.3
Brandon Coleman,NO,0,0,0,18.9,264.2,2.15,,33.1
Brandon LaFell,CIN,1,1.3,0,45.1,638.6,3.3,,83.1
Brandon Marshall,NYG,0,0,0,64.3,859.5,5.2,,117.2
Brandon Tate,BUF,0.2,2.7,0,5.5,73.7,0.5,,10.6
Braxton Miller,HOU,0.1,0.8,0,10.5,115.1,0.6,,15
Brenton Bersin,CAR,0,0.5,0,4.8,51.8,0.1,,5.3
Breshad Perriman,BAL,0.8,3.8,0,41.2,525.5,2.5,,67.7
Brian Quick,WAS,0,0,0,28.6,332.6,2.3,,47.5
Brice Butler,DAL,0,0,0,18.4,273.2,3,,44.4
Brittan Golden,ARI,0,0,0,5.5,60.4,0.5,,8.6
Bryce Treggs,PHI,0.1,0.1,0,5,65.8,0.3,,8.2
Cameron Meredith,CHI,1.3,14.5,0.1,69.9,836.2,4.3,,111.1
Carlos Henderson,DEN,0,0,0,,,,,
Chad Hansen,NYJ,0,0,0,,,,,
Chad Williams,ARI,0,0,0,,,,,
Charone Peake,NYJ,0,0,0,29.2,353.8,1.8,,46.5
Chester Rogers,IND,0,0,0,5.4,72.2,0.3,,8.6
Chris Conley,KC,0,0,0,52.4,622.7,2.5,,75.9
Chris Godwin,TB,0,0,0,,,,,
Chris Harper,NYJ,0,0,0,5.6,70.1,0.4,,9.2
Chris Hogan,NE,3.1,20.2,0,53.9,846.9,4.7,,114.6
Chris Matthews,BAL,0,0,0,4.6,55.1,0.2,,6.9
Chris Moore,BAL,0.3,1.3,0,4.7,64.4,0.3,,8.1
Cobi Hamilton,PIT,0,0,0,6.7,89.8,0.8,0,14
Cody Core,CIN,0,0,0,5.8,61.4,0.3,,8.1
Cody Latimer,DEN,0,0.1,0,4.2,55.8,0.2,,6.9
Cole Beasley,DAL,0.6,1.2,0,57.5,698,3.9,,92.2
Cooper Kupp,LAR,0,0,0,29.1,356.5,1,,40.2
Cordarrelle Patterson,OAK,1.3,8.4,0,26,221,1.5,,30.4
Corey Coleman,CLE,1.3,5,0,61.8,769.4,3.8,,100.2
Corey Davis,TEN,0,0,0,54.1,806.6,4.2,,106
Corey Fuller,NO,0,0,0,5.1,61.7,0.4,,8.7
Curtis Samuel,CAR,0,0,0,32.6,426.6,3,,60.4
Damiere Byrd,CAR,0,0,0,5.3,73.8,0.4,0,9.5
Daniel Braverman,CHI,0,0,0,4.7,62,0.3,,7.8
Danny Amendola,NE,0.1,0.1,0,37.4,457.1,3.6,,67.6
Darius Jennings,TEN,0,0,0,6,71.5,0.3,0,9
Darrius Heyward-Bey,PIT,0.4,9.4,0,8.2,132.6,1,0,19.7
Davante Adams,GB,0.1,0.3,0,65.7,852.2,6.8,1,126.5
DeAndre Hopkins,HOU,0,0,0,87.1,1216.4,5.5,,154.7
DeAndre Smelter,SF,0,0,0,5.2,69.8,0.4,0,9.4
De'Anthony Thomas,KC,0.4,2,0,5.9,57.9,0.2,,7
Dede Westbrook,JAC,0,0,0,,,,,
Demarcus Ayers,PIT,0.2,1.7,0,4.1,51.4,0.4,0,7.8
Demarcus Robinson,KC,0,0,0,6,72,0.4,,9.7
Demaryius Thomas,DEN,0.1,1,0,85.8,1076.2,5.5,,139.8
Deonte Thompson,CHI,0,0,0,18.5,233.9,1.3,,30.2
DeSean Jackson,TB,0,0,0,50.8,832.1,4.7,,111.9
Devante Parker,MIA,0,0,0,65.4,815.6,4.6,,109.2
Devin Funchess,CAR,0,0,0,23.9,378.6,2.1,,50.7
Dez Bryant,DAL,0,0,0,76,1219.3,9.4,,177.8
Dezmin Lewis,BUF,0,0,0,4,49,0.2,0,6
Donteea Dye,TB,0,0,0,5.5,66.3,0.3,0,8.6
Donte Moncrief,IND,1.2,5.5,0,63.9,879.4,4,,111.5
Dontrelle Inman,LAC,0,0,0,24.9,370.8,1.7,,47.1
Doug Baldwin,SEA,2,11.9,0.5,84.3,1086.9,8.7,,164.3
Dwayne Harris,NYG,0,-0.1,0,6.3,82.9,0.4,,10.2
Eli Rogers,PIT,0.4,3.8,0,32,417.2,2.6,,57.3
Emmanuel Sanders,DEN,1,6.8,0,77.9,1010.4,4.8,,129.3
Eric Decker,TEN,0,0,0,69.9,921.6,5.6,,125.8
Eric Weems,TEN,0.1,0.1,0,6.5,83.9,0.4,0,10.7
Frankie Hammond,NYJ,0,0,0,7.9,92.3,0.4,,11.3
Freddie Martino,TB,0,0,0,5.7,81.8,0.5,,11.1
Geremy Davis,LAC,0,0,0,5,44.4,0.1,0,4.9
Geronimo Allison,GB,0,-0.2,0,15.8,251.6,1.8,,35.6
Golden Tate,DET,3.6,12.9,0,93.6,1067.2,5.5,,140.2
Harry Douglas,TEN,0.1,0.2,0,6.4,83.9,0.5,,10.9
Isaac Fruechte,MIN,0,0,0,5,64.8,0.3,0,8
Isaiah Burse,LAC,0,0,0,4.3,52.3,0.1,0,5.8
Isaiah McKenzie,DEN,0,0,0,,,,,
Jaelen Strong,HOU,0.1,0.7,0,32.4,366.6,1.7,,46.4
Jakeem Grant,MIA,0.1,0.5,0,4,53.2,0.1,,6.2
Jake Lampman,NO,0,0,0,7.2,91.9,0.7,,13.3
Jalin Marshall,NYJ,0,0,0,7.3,68.5,0.6,,10.1
Jamison Crowder,WAS,1.6,5,0,66.9,825.9,6.2,,120.2
Jared Abbrederis,DET,0.2,2.3,0,12.3,141.3,0.3,0,15.4
Jarius Wright,MIN,0.2,1,0,25.7,234.6,0.7,,27.3
Jaron Brown,ARI,0,0,0,4.4,64.7,0.5,,9.3
Jarvis Landry,MIA,2.7,11.4,0,96.5,1064.5,6.1,,143.3
Jeff Janis,GB,0.3,2.9,0,4.8,64.8,0.1,,7.9
Jehu Chesson,KC,0,0,0,,,,,
Jeremy Kerley,SF,0,0,0,46.2,502.5,1.85,,61.4
Jeremy Maclin,BAL,0.8,3.8,0,73.1,911.7,4.2,,115.5
Jeremy Ross,ARI,0.2,0.6,0,5,63.9,0.4,0,8.4
Jermaine Kearse,SEA,0,0,0,34,453.9,2.2,,58
J.J. Nelson,ARI,0.8,8.8,0.1,21.2,352.2,3,,54.9
John Brown,ARI,0.3,0.4,0,54.9,784.5,4,,103.1
Johnny Holton,OAK,0.2,0.6,0,6,86.2,0.2,,10.7
John Ross,CIN,0,0,0,37.9,475.1,2,,60.3
Jonathan Krause,TEN,0,0,0,6.3,80.8,0.4,0,10.5
Jordan Matthews,BUF,0,0,0,68.9,800.3,5.6,,113.4
Jordan Payton,CLE,0,0,0,4.8,65.1,0.3,0,8
Jordan Taylor,DEN,0,0,0,6.3,75.5,0.3,,9.3
Jordy Nelson,GB,0,0,0,94.7,1257.7,11,,192.8
Josh Bellamy,CHI,0.1,0.3,0,4.1,54.1,0.4,,7.5
Josh Doctson,WAS,0,0,0,27.5,437.8,3.4,,63.8
Josh Huff,TB,0.5,1,0,5.5,51.6,0.2,,5.9
Josh Malone,CIN,0,0,0,,,,0,
Josh Reynolds,LAR,0,0,0,,,,,
JuJu Smith-Schuster,PIT,0,0,0,28.2,360.3,2,,48.4
Julio Jones,ATL,0.1,0.9,0,92.7,1358.4,10.8,,200.1
Justin Hardy,ATL,0,0,0,29.3,400.9,2.2,,52.7
Justin Hunter,PIT,0,0,0,4.3,74.8,0.6,,11
Kalif Raymond,DEN,0,0,0,5,65.5,0.3,0,8.2
Kamar Aiken,IND,0,0,0,10.5,119.6,0.9,,17.3
Kasen Williams,SEA,0.1,-0.4,0,5.2,66.8,0.5,0,9.4
Keenan Allen,LAC,0.3,3.6,0.1,80.9,948.6,6.3,,132.5
Kelvin Benjamin,CAR,0.1,-0.6,0,66.7,965.9,5.3,,128.5
Kendall Wright,CHI,0.6,4.5,0,39.8,522.2,3.1,,71
Kenny Britt,CLE,0,0,0,60.5,843.3,5.8,,118.6
Kenny Golladay,DET,0,0,0,44.2,581.7,3.5,,79
Kenny Stills,MIA,0,0,0,29.5,473.8,4.4,,73.9
Keshawn Martin,DET,0,0,0,6.1,78.7,0.4,,10.4
Kevin White,CHI,0.9,2,0,42,520.2,2.4,,67
Laquon Treadwell,MIN,0,0,0,17.8,244.6,1.7,,34.8
Larry Fitzgerald,ARI,0.6,1.1,0,96.9,1068.4,5.7,,140.3
Leonte Carroo,MIA,0,0,0,5.2,73.4,0.4,,9.6
Mack Hollins,PHI,0,0,0,,,,0,
Malcolm Mitchell,NE,0.1,0.2,0,29.5,392.4,2.5,,54.5
Mario Alford,CLE,0,0,0,5.9,69.3,0.4,,8.8
Markus Wheaton,CHI,0.3,2.8,0,23.2,318.1,1.2,,38.8
Marqise Lee,JAC,1.8,7.2,0,34,448.6,2.1,1,58.3
Marquise Goodwin,SF,0,0,0,26.2,380.9,2.4,,52.9
Martavis Bryant,PIT,1,4,0,57.9,821.9,5.3,,114.4
Marvin Jones,DET,0.9,0.2,0,53.1,734.4,4.5,,99.5
Matt Slater,NE,0.5,0.8,0,0,1.3,0,0,-0.5
Maurice Harris,WAS,0,0,0,5.5,55.6,0.3,,7.1
Michael Campanaro,BAL,0.3,0.7,0,5,51.9,0.2,,6.4
Michael Crabtree,OAK,0,0,0,86.2,1070.2,7.2,,141.6
Michael Floyd,MIN,0,0,0,16.7,223,1.3,,30.2
Michael Thomas,NO,0,0,0,90.9,1082.3,7.6,,154.3
Mike Evans,TB,0,0,0,90.9,1350.,9.4,,193
Mike Wallace,BAL,0.8,8.8,0,63.2,826.8,4.3,,108.5
Mike Williams,LAC,0,0,0,33.1,400,2.5,,54.7
Mohamed Sanu,ATL,0.8,3.6,0,53.7,628.5,4,,85.6
Myles White,NYJ,0,-0.1,0,7.5,93.6,0.5,0,12.1
Neal Sterling,JAC,0,0,0,6.2,68.2,0.3,0,8.7
Nelson Agholor,PHI,3.1,12.7,0.2,37.4,447,2.1,,60
Nick Williams,MIA,0,0,0,6.1,78.1,0.5,,10.9
Odell Beckham Jr.,NYG,0.4,3,0,98.9,1359.4,10.9,1,199.9
Paul McRoberts,LAR,0,0,0,5.4,51.8,0.1,0,5.2
Paul Richardson,SEA,0.5,2.8,0,20.9,286.6,1.4,,37.1
Paul Turner,PHI,0,0,0,5.8,74.2,0.1,,8.3
Pharoh Cooper,LAR,0,0,0,7.3,64.9,0.2,,7.9
Phillip Dorsett,IND,0.9,5.2,0,24.8,362.4,1.5,,45
Philly Brown,BUF,0.9,0.1,0,25.7,293.1,2.9,,46.3
Pierre Garcon,SF,0,0,0,62.8,835.9,4.6,,110.6
Quan Bray,IND,0.1,0.5,0,6.6,83.3,0.3,0,9.8
Quinton Patton,NYJ,0.2,1.7,0,5.9,52.7,0.4,0,7.5
Randall Cobb,GB,4.6,38.7,0.1,74.1,867.7,4.7,,118.6
Rashad Greene,JAC,0,0,0,4.6,39.7,0.3,0,5.5
Rashad Ross,BUF,0,0,0,6,70.3,0.1,0,7.2
Rashard Higgins,CLE,0.1,-0.1,0,4.2,55.7,0.2,,7
Ricardo Louis,CLE,0.1,-0.2,0,20.3,243.7,0.7,,26.1
Rishard Matthews,TEN,0.4,2.6,0,52.7,819.3,5,,111.5
