Player,Sack,Int,FR,FF,TD,Assist,Safety,PA,YA,FPts
Arizona Cardinals,38,14,11,,3.8,0,0.6,350,,121.1
Atlanta Falcons,35,14,10,,3.8,0,0.6,383,,133.8
Baltimore Ravens,34,15.5,10,,3.1,0,0.6,344,,127.8
Buffalo Bills,39,14,9,,3.3,0,0.6,372,,147.7
Carolina Panthers,40,15,10,,3.4,0,0.6,362,,137.9
Chicago Bears,39,11,8,,2.8,0,0.5,406,,89.6
Cincinnati Bengals,37,16,8,,2.7,0,0.6,349,,133.9
Cleveland Browns,32,13,8,,2.8,0,0.5,406,,88.8
Dallas Cowboys,33,11,10,,3,0,0.6,364,,118.2
Denver Broncos,40,15,11,,4,0,0.7,326,,150.6
Detroit Lions,34,12,8,,2.8,0,0.6,372,,112.3
Green Bay Packers,39,16,8,,2.9,0,0.6,370,,126.4
Houston Texans,42,14,11,,3.9,0,0.8,329,,155.2
Indianapolis Colts,32,12,9,,3.2,0,0.6,386,,120.8
Jacksonville Jaguars,39,13,9,,3.9,0,0.6,369,,127.8
Kansas City Chiefs,35,17,11,,4.1,0,0.7,313,,114.1
Los Angeles Chargers,36,15,10,,3.5,0,0.7,386,,235.2
Los Angeles Rams,35,13,10,,3.5,0,0.6,371,,114.9
Miami Dolphins,34,15,10,,3.3,0,0.6,383,,124.3
Minnesota Vikings,41,14,11,,4,0,0.6,331,,139.8
New England Patriots,38,14,10,,3,0,0.7,321,,137.9
New Orleans Saints,32,11,11,,2.8,0,0.5,426,,101.3
New York Giants,37,16,10,,3.5,0,0.7,347,,113.9
New York Jets,34,11,10,,2.8,0,0.5,392,,107.4
Oakland Raiders,33,15,11,,3,0,0.6,379,,116
Philadelphia Eagles,35,15,11,,4,0,0.6,371,,121.9
Pittsburgh Steelers,38,14,10,,3,0,0.6,351,,142.9
San Francisco 49ers,32,12,9,,2.5,0,0.5,425,,96.8
Seattle Seahawks,41,13,10,,3.9,0,0.7,296,,117.4
Tampa Bay Buccaneers,38,15,11,,3.3,0,0.6,381,,126.2
Tennessee Titans,38,13,8,,3,0,0.6,386,,104.5
Washington Redskins,35,14,10,,2.9,0,0.6,387,,122.6
