Player,Team,FG,FGA,XPT,FPts
Adam Vinatieri,IND,28,32,42,131
Aldrick Rosas,NYG,2,2,2,4
Andrew Franks,MIA,24,28,36,111
Blair Walsh,SEA,28,33,40,128
Brandon McManus,DEN,28,33,34,122
Cairo Santos,KC,28,33,36,125
Caleb Sturgis,PHI,28,33,37,124
Chandler Catanzaro,NYJ,26,30,30,112
Chris Boswell,PIT,28,32,39,130
Cody Parkey,CLE,,,,
Connor Barth,CHI,24,28,32,112
Dan Bailey,DAL,29,33,44,140
Dustin Hopkins,WAS,28,33,38,129
Graham Gano,CAR,28,33,40,127
Greg Zuerlein,LAR,24,28,29,108
Jake Elliott,CIN,26,31,38,121
Jason Myers,JAC,26,31,35,120
Josh Lambo,LAC,27,32,39,124
Justin Tucker,BAL,31,35,34,140
Kai Forbath,MIN,27,32,34,118
Mason Crosby,GB,28,33,46,134
Matt Bryant,ATL,29,34,45,139
Matt Prater,DET,28,32,36,127
Nick Folk,TB,24,28,36,113
Nick Novak,HOU,28,32,31,123
Phil Dawson,ARI,26,31,43,131
Randy Bullock,CIN,,,,
Robbie Gould,SF,25,28,31,109
Ryan Succop,TEN,24,29,40,117
Sebastian Janikowski,OAK,27,32,41,130
Stephen Gostkowski,NE,30,35,51,148
Steven Hauschka,BUF,,,,
Will Lutz,NO,27,32,47,135
Zane Gonzalez,CLE,24,28,28,106
