Player,Team,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds,FL,FPts
Aaron Jones,GB,40,148,1,4,35,0,0,24.3
Aaron Ripkowski,GB,16,60,1,6,47,0,0,16.7
Adrian Peterson,NO,159.5,710,6,19,131,0,1,118.1
Akeem Hunt,HOU,3,19,0,2,14,0,0,3.3
Alex Collins,SEA,7,29,0,0,2,0,0,3.1
Alfred Blue,HOU,37,146,0,5,32,0,0,17.8
Alfred Morris,DAL,46,185,1,3,16,0,0,26.1
Alvin Kamara,NO,31,142,1,36,323,2,1,62.5
Ameer Abdullah,DET,172,733,4,33,262,2,1,133.5
Andre Ellington,ARI,25,95,0,15,165,1,0,32
Andy Janovich,DEN,,,,,,,0,
Anthony Sherman,KC,1,3,0,1,9,0,0,1.2
Benny Cunningham,CHI,22,92,0,14,98,0,0,19
Bilal Powell,NYJ,171,763,4,53,379,1,2,140.2
Branden Oliver,LAC,68,249,1,14,113,0,1,40.2
Brandon Bolden,NE,,,,,,,,
Brandon Wilds,CLE,8,29,0.05,1,6,0,0,3.5
Brian Hill,ATL,15,62,0,2,18,0,0,8
Cameron Artis-Payne,CAR,8,32,0,0,2,0,0,3.4
Carlos Hyde,SF,218,897,6,31,223,1,2,150
Charcandrick West,KC,25,90,0,6,44,0,0,13.4
Charles Sims,TB,55,197,1,34,284,1,1,58.1
Chris Ivory,JAC,61,255,1,7,56,0,0,37.1
Chris Johnson,ARI,57,222,1,3,16,0,0,29.8
Chris Thompson,WAS,51,249,1,48,338,2,1,74.7
Christian McCaffrey,CAR,151,648,3,50,460,3,1,144.8
C.J. Anderson,DEN,180,777,5,25,198,1,1,131.5
C.J. Prosise,SEA,52,225,2,42,384,2,1,82.9
C.J. Spiller,KC,5,18,0,1,12,0,0,3
Corey Grant,JAC,,,0.4,,,,,
Dalvin Cook,MIN,208,855,6,38,309,2,2,160.4
Damien Williams,MIA,29,96,1,14,120,1,0,33.6
Daniel Lasco,NO,,,,,,0,,
Danny Woodhead,BAL,85,345,2,66,507,3,1,113.2
Dan Vitale,CLE,,,,,,0,0,
Darren McFadden,DAL,142,591,4,20,148,0,1,95.9
Darren Sproles,PHI,81,357,2,49,396,2,1,97.3
David Johnson,ARI,293,1208.,13,74,773,5,3,300.1
DeAndre Washington,OAK,85,416,2,21,160,1,1,73.6
De'Angelo Henderson,DEN,3,14,0,0,0,0,0,1.4
DeMarco Murray,TEN,237,1009.,6,46,338,2,2,178.7
Derek Watt,LAC,,,,,,0,0,
Derrick Henry,TEN,146,650,5,16,161,1,1,115.1
Devontae Booker,DEN,84,334,2,18,149,1,1,64.3
Devonta Freeman,ATL,209,906,8,54,430,2,2,191.6
Dion Lewis,NE,66,271,2,18,148,0,1,51.9
Donnel Pumphrey,PHI,54,220,1,17,135,1,1,45.5
D'Onta Foreman,HOU,86,353,2,10,69,0,1,52.2
Doug Martin,TB,206,801,4.8,20,156,1,2,127.7
Duke Johnson,CLE,95,422,2,57,508,2,1,115
Dwayne Washington,DET,10,33,0,3,17,0,0,5
Eddie Lacy,SEA,171,733,6,22,172,1,1,130.5
Elijah McGuire,NYJ,33,131,0,7,50,0,0,18.1
Ezekiel Elliott,DAL,204,1016.,8,24,229,1,2,174.5
Fitzgerald Toussaint,PIT,14,53,0,2,10,0,0,6.3
Fozzy Whittaker,CAR,10,43,0,6,44,0,0,8.7
Frank Gore,IND,224,819,4,32,222,1,2,130.1
Giovani Bernard,CIN,95,381,2,37,292,1,1,83.3
Isaiah Crowell,CLE,226,1005.,7,38,290,1,2,175.5
Jacquizz Rodgers,TB,96,411,2,13,91,0,1,60.2
Jalen Richard,OAK,67,337,2,26,199,1,1,69.6
Jalston Fowler,TEN,2,5,0,2,15,0,0,2
Jamaal Charles,DEN,93,389,3,32,277,2,1,94.6
Jamaal Williams,GB,107,404,3,10,72,0,1,63.6
James Conner,PIT,59,226,2,7,57,0,0,40.3
James Develin,NE,,,,,,0,0,
James White,NE,50,192,1.45,48,472,4,1,94.4
Jamize Olawale,OAK,8,32,0,8,54,0,0,8.6
Javorius Allen,BAL,46,159,1,10,68,0,0,28.7
Jay Ajayi,MIA,280,1234.,7,35,261,2,2,199.5
Jay Prosch,HOU,,,,,,0,0,
Jeremy Hill,CIN,101,403,4,6,41,0,1,66.4
Jeremy Langford,CHI,46,153,2,7,50,0,0,32.3
Jeremy McNichols,TB,20,82,0,6,48,0,0,13
Jerick McKinnon,MIN,64,247,0.75,21,131,1,1,47.8
Joe Banyard,BUF,6,23,0,1,4,0,0,2.7
Joe Mixon,CIN,187,798,5,36,294,1,2,141.2
Joe Williams,SF,71,268,1,10,84,0,1,39.2
John Kuhn,NO,10,32,2,10,66,1,0,27.8
Jonathan Stewart,CAR,193,773,6,10,73,0,1,118.6
Jonathan Williams,BUF,107,447,4,13,96,0,1,76.3
Jordan Howard,CHI,267,1270.,7,29,268,1,2,197.8
Josh Ferguson,IND,,,,,,0,,
Juwan Thompson,DEN,,,0.2,,,0,,
Ka'Deem Carey,CHI,12,45,0,2,16,0,0,6.1
Kapri Bibbs,SF,7,27,0,1,11,0,0,3.8
Kareem Hunt,KC,117,465,3,27,223,1,1,90.8
Keith Smith,DAL,,,,,,0,0,
Kenjon Barner,LAC,19,74,0,2,15,0,0,8.9
Kenneth Farrow,LAC,19,66,0,4,26,0,0,9.2
Kenyan Drake,MIA,53,236,1,11,94,0,0,39
Kerwynn Williams,ARI,16,89,0,4,40,0,0,12.9
Khalfani Muhammad,TEN,5,20,0,0,0,0,0,2
Knile Davis,PIT,7,24,0,0,2,0,0,2.6
Kyle Juszczyk,SF,7,24,0,23,196,1,0,28
Lamar Miller,HOU,269,1093.,6,35,240,1,2,171.3
Lance Dunbar,LAR,16,59,0,9,59,0,0,11.8
Latavius Murray,MIN,99,392,3,13,93,0,1,64.5
LeGarrette Blount,PHI,191,790,8,6,42,0,1,129.2
Leonard Fournette,JAC,243,1026.,7,33,269,2,2,179.5
LeSean McCoy,BUF,229,1123.,9,50,393,2,2,215.6
Le'Veon Bell,PIT,296,1336.,8,80,669,2,3,256.5
Lorenzo Taliaferro,BAL,14,48,0,6,46,0,0,9.4
Mack Brown,WAS,,,,,,0,,
Malcolm Brown,LAR,36,122,0,9,71,0,0,19.3
Mark Ingram,NO,152,721,5,43,296,2,1,141.7
Marlon Mack,IND,35,143,1,10,79,0,0,28.2
Marshawn Lynch,OAK,221,923,9,27,191,1,2,169.4
Matt Asiata,DET,,,,,,0,,
Matt Forte,NYJ,165,634,5,30,233,1,1,120.7
Melvin Gordon,LAC,281,1076.,8,47,418,2,2,205.4
Mike Gillislee,NE,173,784,9,14,115,1,1,147.9
Mike Tolbert,BUF,27,104,1,8,63,0,0,22.7
Orleans Darkwa,NYG,30,111,1,3,22,0,0,19.3
Patrick DiMarco,BUF,3,10,0,5,40,0,0,5
Paul Perkins,NYG,195,763,4,24,187,1,1,123
Peyton Barber,TB,,,,,,0,,
Raheem Mostert,SF,,,0.2,,,0,,
Rex Burkhead,NE,92,366,3,14,111,0,1,63.7
Robert Kelley,WAS,174,728,5,15,105,0,1,111.3
Robert Turbin,IND,72,259,4,25,179,1,1,71.8
Roosevelt Nix,PIT,,,,,,0,0,
Samaje Perine,WAS,135,559,4,12,92,0,1,87.1
Shane Vereen,NYG,70,285,1,44,349,2,1,79.4
Shaun Draughn,NYG,10,34,0,2,15,0,0,4.9
Tarik Cohen,CHI,22,92,0,6,50,0,0,14.2
Terrance West,BAL,203,774,6,32,218,1,2,137.2
Terron Ward,ATL,15,62,0.05,3,27,0,0,8.9
Tevin Coleman,ATL,137,589,6,37,369,2,1,141.8
Theo Riddick,DET,73,251,2,67,533,4,1,112.4
Thomas Rawls,SEA,120,460,4,11,89,0,1,76.9
Tim Hightower,SF,109,404,4,16,126,0,1,75
T.J. Yeldon,JAC,55,215,1,39,265,1,1,58
Todd Gurley,LAR,283,1019.,8,40,301,1,2,182
Travaris Cadet,NO,1,5,0,6,43,0,0,4.8
Ty Montgomery,GB,164,755,5,45,364,2,1,151.9
Wayne Gallman,NYG,68,261,2,5,34,0,0,41.5
Wendell Smallwood,PHI,51,204,1,7,50,0,0,31.4
Zach Zenner,DET,51,184,2,11,93,0,0,39.7
Aaron Green,LAR,2,7,0,1,9,0,0,1.6
Andre Williams,LAC,5,18,0,0,0,0,0,1.8
