Player,Team,Rec,Rec Yds,Rec Tds,FL,FPts
Adam Shaheen,CHI,16,186,2,0,30.6
A.J. Derby,DEN,21,235,2,0,35.5
Anthony Fasano,MIA,13,128,1,0,18.8
Antonio Gates,LAC,43,449,5,0,74.9
Austin Hooper,ATL,44,551,5,0,85.1
Austin Seferian-Jenkins,NYJ,40,452,3,0,63.2
Ben Braunecker,CHI,,,,,
Benjamin Watson,BAL,37,378,3,0,55.8
Ben Koyack,JAC,12,127,0.7,0,18.7
Blake Bell,SF,1,13,0,0,1.3
Brandon Williams,IND,,,,,
Brent Celek,PHI,10,104,0,0,10.4
Bucky Hodges,MIN,3,36,0,0,3.6
Cameron Brate,TB,44,500,5,0,80
Charles Clay,BUF,48,508,4,0,74.8
C.J. Fiedorowicz,HOU,,,,,
C.J. Uzomah,CIN,8,79,0,0,7.9
Clay Harbor,NO,5,,,,
Clive Walford,OAK,19,195,1,0,25.5
Coby Fleener,NO,51,624,5,0,92.4
Cole Wick,DET,2,21,0,0,2.1
Cory Harkey,LAR,,,,,
Daniel Brown,CHI,7,69,0,0,6.9
Darren Fells,DET,11,119,1,0,17.9
David Johnson,PIT,,,,,
David Morgan,MIN,,,,0,
David Njoku,CLE,43.5,462,3,0,64.2
Delanie Walker,TEN,62,756,6,0,111.6
Demetrius Harris,KC,15,151,1,0,21.1
Derek Carrier,WAS,,,,,
Dion Sims,CHI,22,202,2,0,32.2
Dwayne Allen,NE,30,354,4,0,59.4
Ed Dickson,CAR,7,80,0,0,8
Eric Ebron,DET,66,732,4,1,95.2
Eric Saubert,ATL,3,29,0,0,2.9
Erik Swoope,IND,27,338,3,0,51.8
Evan Engram,NYG,42,451,4,0,69.1
Garrett Celek,SF,14,155,1,0,21.5
Gavin Escobar,KC,2,17,0,0,1.7
Geoff Swaim,DAL,4,39,0,0,3.9
George Kittle,SF,24,292,2,0,41.2
Gerald Everett,LAR,21,223,1,0,28.3
Greg Olsen,CAR,79,998,5,1,127.8
Hunter Henry,LAC,53,654,7,0,107.4
Ifeanyi Momah,ARI,,,,,
Jack Doyle,IND,61,603,6,0,96.3
Jake Butt,DEN,7,85,1,0,14.5
James O'Shaughnessy,NE,,,,,
Jared Cook,OAK,42,479,3.9,0,71.9
Jason Witten,DAL,63,605,3,1,76.5
Jeff Heuerman,DEN,4,43,0,0,4.3
Jerell Adams,NYG,9,84,0,0,8.4
Jermaine Gresham,ARI,36,359,2,0,47.9
Jesse James,PIT,48,425,3.35,0,66.5
Jimmy Graham,SEA,62,814,7,0,123.4
John Phillips,NO,,,,,
Jonnu Smith,TEN,9,108,1,0,16.8
Jordan Leggett,NYJ,11,120,0,0,12
Jordan Reed,WAS,75,800,6,1,114
Josh Hill,NO,20,191,2,0,31.1
Joshua Perkins,ATL,,,,0,
Julius Thomas,MIA,43,445,6,0,80.5
Kyle Rudolph,MIN,71,720,7,1,112
Lance Kendricks,GB,16,162,1,0,22.2
Lee Smith,OAK,1,11,0,0,1.1
Levine Toilolo,ATL,12,138,1,0,19.8
Logan Paulsen,SF,,,,,
Logan Thomas,BUF,7,93,0,0,9.3
Luke Stocker,TB,1,8,0,0,0.8
Luke Willson,SEA,13,149,1,0,20.9
Marcedes Lewis,JAC,21,198,1,0,25.8
MarQueis Gray,MIA,1,9,0,0,0.9
Martellus Bennett,GB,58,661,6,0,102.1
Maxx Williams,BAL,26,265,1,0,32.5
Michael Hoomanawanui,NO,2,22,0,0,2.2
Michael Roberts,DET,8,80,0,0,8
Mychal Rivera,JAC,18,173,1,0,23.3
Nick Boyle,BAL,,,,,
Nick O'Leary,BUF,9,99,0,0,9.9
Nick Vannett,SEA,2,24,0,0,2.4
Niles Paul,WAS,6,73,0,0,7.3
O.J. Howard,TB,40,442,4,0,68.2
Phillip Supernaw,TEN,,,,,
Randall Telfer,CLE,8,74,0,0,7.4
Rhett Ellison,NYG,,,,,
Richard Rodgers,GB,10,97,0,0,9.7
Rob Gronkowski,NE,63,996,10,0,159.6
Ross Travis,KC,,,,,
Ryan Griffin,HOU,26,250,2,0,37
Sean McGrath,LAC,,,,,
Seth DeValve,CLE,19,212,1,0,27.2
Stephen Anderson,HOU,12,124,1,0,18.4
Temarrick Hemingway,LAR,3,30,0,0,3
Travis Kelce,KC,83,1081.,5,1,136.1
Trey Burton,PHI,22,214,1,0,27.4
Troy Niklas,ARI,9,90,1,0,15
Tyler Eifert,CIN,58,686,7,0,110.6
Tyler Higbee,LAR,33,348,2,0,46.8
Tyler Kroft,CIN,5,48,0,0,4.8
Vance McDonald,SF,25,300,2,0,42
Vernon Davis,WAS,28,338,2,0,45.8
Virgil Green,DEN,22,227,1,0,28.7
Will Tye,NYG,13,109,0,0,10.9
Xavier Grimble,PIT,20,231,2,0,35.1
Zach Ertz,PHI,71,747,4,1,96.7
Zach Miller,CHI,37,374,3,0,55.4
Rico Gathers,DAL,8,89,1,0,14.9
