Player,Team,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds,FL,FPts
Aaron Burbridge,SF,0,0,0,7,93,0,0,9.3
Aaron Dobson,ARI,0,0,0,,,,,
Adam Humphries,TB,1,5,0,32,355,2,0,48
Adam Thielen,MIN,2,11,0,64,835,5,1,112.6
A.J. Green,CIN,0,0,0,93,1334.,8,1,179.4
Albert Wilson,KC,1,4,0,35,353,2,0,47.7
Aldrick Robinson,SF,0,0,0,14,221,1,0,28.1
Alex Erickson,CIN,0,0,0,,,,,
Allen Hurns,JAC,0,1,0,50,664,4,0,90.5
Allen Robinson,JAC,0,0,0,77,1002.,8,1,146.2
Alshon Jeffery,PHI,1,3,0,75,1066.,6,1,140.9
Amara Darboh,SEA,0,0,0,4,42,0,0,4.2
Amari Cooper,OAK,1,3,0,84,1181.,7,1,158.4
Andre Holmes,BUF,0,0,0,9,144,1,0,20.4
Andre Roberts,ATL,0,0,0,12,143,1,0,20.3
Antonio Brown,PIT,3,13,0,114,1427.,12,1,216
ArDarius Stewart,NYJ,1,3,0,45,566,3,0,74.9
Arrelious Benn,JAC,0,0,0,,,,,
Bennie Fowler,DEN,0,0,0,6,79,0,0,7.9
Brandin Cooks,NE,8,31,0,79,1070.,7,1,150.1
Brandon Coleman,NO,0,0,0,26,311,3,0,49.1
Brandon LaFell,CIN,0,0,0,30,384,2,0,50.4
Brandon Marshall,NYG,0,0,0,68,847,6,1,118.7
Brandon Tate,BUF,,,0,,,,,
Braxton Miller,HOU,2,7,0,37,427,2,0,55.4
Brenton Bersin,CAR,0,,0,,,0.1,,
Breshad Perriman,BAL,2,7,0,48,695,4,0,94.2
Brian Quick,WAS,0,0,0,8,102,0,0,10.2
Brice Butler,DAL,0,0,0,11,152,1,0,21.2
Brittan Golden,ARI,0,0,0,,,,,
Bryce Treggs,PHI,,,0,,,,,
Cameron Meredith,CHI,0,1,0,66,856,5,1,113.7
Carlos Henderson,DEN,0,0,0,26,338,2,0,45.8
Chad Hansen,NYJ,0,0,0,15,179,1,0,23.9
Chad Williams,ARI,0,0,0,11,139,0,0,13.9
Charone Peake,NYJ,0,0,0,38,460,2,0,58
Chester Rogers,IND,0,0,0,18,240,1,0,30
Chris Conley,KC,0,0,0,46,536,3,0,71.6
Chris Godwin,TB,0,0,0,17,214,1,0,27.4
Chris Harper,NYJ,0,0,0,,,,,
Chris Hogan,NE,1,6,0,30,416,3,0,60.2
Chris Matthews,BAL,0,0,0,,,,,
Chris Moore,BAL,1,6,0,15,164,0,0,17
Cobi Hamilton,PIT,0,0,0,,,,0,
Cody Core,CIN,0,0,0,5,60,0,0,6
Cody Latimer,DEN,0,0,0,8,96,0,0,9.6
Cole Beasley,DAL,1,3,0,65,699,4,1,92.2
Cooper Kupp,LAR,1,2,0,35,407,2,0,52.9
Cordarrelle Patterson,OAK,3,16,0,19,205,1,0,28.1
Corey Coleman,CLE,3,13,0,65,790,5,1,108.3
Corey Davis,TEN,0,0,0,52,726,4.6,0,102.6
Corey Fuller,NO,0,0,0,,,,,
Curtis Samuel,CAR,12,43,0,32,409,2,0,57.2
Daniel Braverman,CHI,0,0,0,,62,0.3,,
Danny Amendola,NE,0,0,0,6,70,1.8,0,7
Darrius Heyward-Bey,PIT,0,0,0,2,45,0,0,4.5
Davante Adams,GB,0,2,0,68,869,7,1,127.1
DeAndre Hopkins,HOU,0,0,0,87,1132.,7,1,153.2
De'Anthony Thomas,KC,0,0,0,2,14,0,0,1.4
Dede Westbrook,JAC,0,0,0,19,245,1,0,30.5
Demarcus Robinson,KC,0,0,0,13,159,1,0,21.9
Demaryius Thomas,DEN,0,0,0,92,1152.,7,1,155.2
Deonte Thompson,CHI,0,0,0,3,38,0,0,3.8
DeSean Jackson,TB,1,6,0,56,943,6,1,128.9
Devante Parker,MIA,0,0,0,65,875,6,1,121.5
Devin Funchess,CAR,0,0,0,42,612,5,0,91.2
Dez Bryant,DAL,0,0,0,74,1086.,10,1,166.6
Donte Moncrief,IND,1,2,0,61,671,8,1,113.3
Dontrelle Inman,LAC,0,0,0,14,185,1,0,24.5
Doug Baldwin,SEA,1,3,0,87,1039.,8,1,150.2
Dwayne Harris,NYG,0,0,0,2,21,0,0,2.1
Eli Rogers,PIT,0,2,0,33,430,2,0,55.2
Emmanuel Sanders,DEN,1,2,0,79,1027.,6,1,136.9
Eric Decker,TEN,0,0,0,60,794,7,1,119.4
Frankie Hammond,NYJ,0,0,0,,,,,
Freddie Martino,TB,0,0,0,1,11,0,0,1.1
Geronimo Allison,GB,0,0,0,10,140,1,0,20
Golden Tate,DET,6,17,0,90,1025.,5,1,132.2
Harry Douglas,TEN,0,0,0,1,12,0,0,1.2
Isaiah McKenzie,DEN,0,0,0,2,32,0,0,3.2
Jaelen Strong,HOU,0,0,0,22,255,1,0,31.5
Jakeem Grant,MIA,,,0,,,,,
Jake Lampman,NO,0,0,0,,,,,
Jalin Marshall,NYJ,0,0,0,14,171,1,0,23.1
Jamison Crowder,WAS,2,7,0,75,917,5,1,120.4
Jarius Wright,MIN,0,0,0,9,107,0,0,10.7
Jaron Brown,ARI,0,0,0,18,235,1,0,29.5
Jarvis Landry,MIA,5,16,0,91,1013.,4,1,124.9
Jeff Janis,GB,1,5,0,4,45,0,0,5
Jehu Chesson,KC,0,0,0,6,75,0,0,7.5
Jeremy Kerley,SF,0,0,0,44,513,2,0,63.3
Jeremy Maclin,BAL,0,0,0,69,822,4,1,104.2
Jermaine Kearse,SEA,0,0,0,25,311,1,0,37.1
J.J. Nelson,ARI,4,28,0,39,619,5,0,94.7
John Brown,ARI,2,9,0,61,865,5,1,115.4
Johnny Holton,OAK,1,4,0,2,19,0,0,2.3
John Ross,CIN,5,21,0,44,571,3,0,77.2
Jordan Matthews,BUF,0,2,0,62,753,5,1,103.5
Jordan Payton,CLE,0,0,0,5,51,0,0,5.1
Jordan Taylor,DEN,0,0,0,,,,,
Jordy Nelson,GB,0,0,0,87,1192.,11,1,185.2
Josh Bellamy,CHI,0,0,0,2,23,0.2,0,2.3
Josh Doctson,WAS,0,0,0,49,664,4,0,90.4
Josh Huff,TB,0,0,0,3,37,0,0,3.7
Josh Malone,CIN,0,0,0,2,22,0,0,2.2
Josh Reynolds,LAR,0,0,0,10,128,1,0,18.8
JuJu Smith-Schuster,PIT,0,0,0,20,255,1,0,31.5
Julio Jones,ATL,0,0,0,97,1505.,9,1,202.5
Justin Hardy,ATL,0,0,0,18,186,2,0,30.6
Justin Hunter,PIT,0,0,0,,,,,
Kamar Aiken,IND,0,0,0,23,269,2,0,38.9
Keenan Allen,LAC,0,0,0,84,978,6,1,131.8
Kelvin Benjamin,CAR,0,0,0,63,863,7,1,126.3
Kendall Wright,CHI,1,2,0,42,480,3,0,66.2
Kenny Britt,CLE,0,1,0,61,893,5,1,117.4
Kenny Golladay,DET,0,0,0,32,407,2,0,52.7
Kenny Stills,MIA,0,0,0,40,638,5,0,93.8
Keshawn Martin,DET,0,0,0,3,39,0,0,3.9
Kevin White,CHI,1,2,0,49,601,2.7,0,78.3
Laquon Treadwell,MIN,1,2,0,40,466,3,0,64.8
Larry Fitzgerald,ARI,0,0,0,96,947,6,1,128.7
Leonte Carroo,MIA,0,0,0,8,100,0,0,10
Mack Hollins,PHI,0,0,0,7,83,0,0,8.3
Malcolm Mitchell,NE,0,0,0,19,250,3,0,43
Mario Alford,CLE,0,0,0,,,,,
Markus Wheaton,CHI,0,0,0,24,310,2,0,43
Marqise Lee,JAC,4,19,0,55,694,3,1,87.3
Marquise Goodwin,SF,0,0,0,35,548,3,0,72.8
Martavis Bryant,PIT,0,0,0,57,894,8,1,137.4
Marvin Jones,DET,,,0,,,,,
Maurice Harris,WAS,0,0,0,,,,,
Michael Campanaro,BAL,0,0,0,6,70,0,0,7
Michael Crabtree,OAK,0,0,0,84,937,7.1,1,133.7
Michael Floyd,MIN,0,0,0,7,85,1,0,14.5
Michael Thomas,NO,0,0,0,93,1186.,9,1,170.6
Mike Evans,TB,0,0,0,90,1279.,10,1,187.9
Mike Wallace,BAL,4,16,0,61,827,5,1,112.3
Mike Williams,LAC,0,0,0,26,360,2,0,48
Mohamed Sanu,ATL,0,0,0,56,633,4,1,85.3
Nelson Agholor,PHI,1,6,0,53,561,3,1,72.7
Nick Williams,MIA,0,0,0,3,42,0.25,0,4.2
Odell Beckham Jr.,NYG,1,8,0,98,1347.,11,1,199.5
Paul Richardson,SEA,1,2,0,33,434,2,0,55.6
Paul Turner,PHI,0,0,0,,,,,
Pharoh Cooper,LAR,1,5,0,6,71,0,0,7.6
Phillip Dorsett,IND,1,6,0,29,407,1.75,0,53.3
Philly Brown,BUF,,,0,,,,,
Pierre Garcon,SF,0,0,0,76,948,5,1,122.8
Quan Bray,IND,,,0,,,0.3,0,
Randall Cobb,GB,6,23,0,67,771,6,1,113.4
Rashard Higgins,CLE,0,0,0,17,188,1,0,24.8
Ricardo Louis,CLE,0,0,0,25,281,1,0,34.1
Rishard Matthews,TEN,0,0,0,54,744,6,1,108.4
Robby Anderson,NYJ,2,11,0,59,792,4,1,102.3
Robert Woods,LAR,0,0,0,43,482,2,0,60.2
Rod Streater,BUF,0,0,0,9,140,1,0,20
Roger Lewis,NYG,0,0,0,6,77,0,0,7.7
Russell Shepard,CAR,2,9,0,16,192,1.4,0,26.1
Ryan Grant,WAS,0,0,0,4,49,0,0,4.9
Sammie Coates,PIT,1,3,0,3,46,0,0,4.9
Sammy Watkins,LAR,0,0,0,67,988,6,1,132.8
Seth Roberts,OAK,0,0,0,34,434,4,0,67.4
Shane Wynn,JAC,,,0,,,,,
Stefon Diggs,MIN,2,8,0,82,920,4,1,114.8
Sterling Shepard,NYG,2,12,0,57,647,5,1,93.9
Tajae Sharpe,TEN,0,0,0,5,59,0,0,5.9
Tanner McEvoy,SEA,0,0,0,,,,,
Tavon Austin,LAR,26,132,1,40,387,2,1,67.9
Taylor Gabriel,ATL,5,30,0,38,591,5,0,92.1
Taywan Taylor,TEN,0,1,0,20,255,2,0,37.6
Ted Ginn,NO,2,13,0,50,710,5,0,102.3
Terrance Williams,DAL,0,0,0,42,622,4,0,86.2
Terrelle Pryor,WAS,,,0,,,,,
TJ Jones,DET,,,0,,,,,
Tommylee Lewis,NO,0,0,0,6,69,0,0,6.9
Torrey Smith,PHI,0,0,0,44,637,4,0,87.7
Travis Benjamin,LAC,1,3,0,23,314,2,0,43.7
Trent Taylor,SF,0,0,0,5,64,0,0,6.4
Trevor Davis,GB,0,0,0,,62,,,
T.Y. Hilton,IND,0,0,0,85,1292.,7,1,169.2
Tyler Boyd,CIN,0,0,0,31,334,2,0,45.4
Tyler Lockett,SEA,5,38,0,46,628,4,0,90.6
Tyreek Hill,KC,28,218,2,79,772,6,1,145
Tyrell Williams,LAC,0,0,0,62,924,6,1,126.4
Victor Cruz,CHI,0,1,0,7,81,0,0,8.2
Walter Powell,BUF,0,0,0,,,,,
Wendall Williams,HOU,0,0,0,,,,0,
Will Fuller,HOU,,,0,,,,,
Willie Snead,NO,0,0,0,77,973,5,1,125.3
Zay Jones,BUF,1,10,0,40,595,3,0,78.5
Jace Billingsley,DET,0,0,0,4,52,0,0,5.2
Lucky Whitehead,NYJ,0,0,0,7,87,1,0,14.7
Rashawn Scott,MIA,0,0,0,1,9,0,0,0.9
