Player,Sack,Int,FR,FF,TD,Safety,PA,YA,FPts
Arizona Cardinals,37,14,10.1,,3.4,,402,,97
Atlanta Falcons,35.5,11.3,10.8,,3.5,,361,,106
Baltimore Ravens,39,16.4,11,,4,,343,,126
Buffalo Bills,31,14.9,8.6,,2.9,,388,,94
Carolina Panthers,46,12.3,11.8,,3.5,,356,,121
Chicago Bears,42,11.2,11.3,,3.3,,377,,106
Cincinnati Bengals,37,13.1,7.1,,2.8,,379,,96
Cleveland Browns,34,10.6,8,,2.1,,390,,84
Dallas Cowboys,36.5,11.2,10.8,,2.9,,358,,104
Denver Broncos,40,14.5,10.3,,4.4,,357,,118
Detroit Lions,33,14.2,10.2,,3.9,,373,,104
Green Bay Packers,40,12.2,10.2,,3,,367,,107
Houston Texans,41,14.1,10.5,,4.1,,350,,120
Indianapolis Colts,29,12.4,9.1,,2.3,,389,,86
Jacksonville Jaguars,48,16.9,11.4,,4.8,,323,,145
Kansas City Chiefs,32,13.2,11.6,,4.3,,381,,102
Los Angeles Chargers,42,15.95,10.9,,4,,338,,129
Los Angeles Rams,47,16.2,10.7,,4.5,,369,,125
Miami Dolphins,32,11.2,8.6,,3,,391,,86
Minnesota Vikings,41,15.4,10.1,,4,,327,,130
New England Patriots,40,13.5,9.1,,3.2,,358,,111
New Orleans Saints,36,15.9,9,,3.7,,371,,108
New York Giants,32,13.1,9.8,,2.6,,390,,91
New York Jets,31,12.2,9.5,,1.9,,393,,86
Oakland Raiders,32,9.7,10.3,,2.2,,365,,93
Philadelphia Eagles,38,16.5,11.5,,4.4,,336,,128
Pittsburgh Steelers,46,14.6,9.2,,3.6,,351,,122
San Francisco 49ers,32,11.7,9.7,,2.8,,376,,93
Seattle Seahawks,38,13.5,10.2,,3.7,,374,,106
Tampa Bay Buccaneers,33,13.1,11.9,,3.5,,402,,95
Tennessee Titans,37,12.8,9.6,,2.8,,362,,106
Washington Redskins,37,13.5,8.7,,2.8,,381,,98
