Player,Team,FG,FGA,XPT,FPts
Adam Vinatieri,IND,28,32.6,36.9,135
Aldrick Rosas,NYG,23,29.1,35.5,114
Brandon McManus,DEN,26,32.2,35.2,124
Brett Maher,DAL,26,32.6,38.5,128
Caleb Sturgis,LAC,26,32.1,39.9,133
Chandler Catanzaro,TB,27,32.6,37.3,130
Chris Boswell,PIT,30,36.5,44.7,149
Cody Parkey,CHI,22,28,34.6,111
Daniel Carlson,MIN,27,33.1,40.1,133
Dustin Hopkins,WAS,27,33.1,34.3,127
Graham Gano,CAR,29,34.9,37.6,138
Greg Zuerlein,LAR,32,39.2,45.5,159
Harrison Butker,KC,31,37.4,40.3,149
Jake Elliott,PHI,30,37.1,42.3,149
Jason Myers,NYJ,24,29.9,33.2,116
Jason Sanders,MIA,23,28.6,35.6,114
Josh Lambo,JAC,28,34.3,37.6,138
Justin Tucker,BAL,32,38.5,33.2,149
Ka'imi Fairbairn,HOU,26,32.7,40.6,132
Mason Crosby,GB,27,32.6,45.1,137
Matt Bryant,ATL,31,36.8,38.7,146
Matt Prater,DET,30,35.2,37.2,143
Mike Nugent,OAK,23,29.1,37.8,117
Phil Dawson,ARI,26,31.7,31.8,124
Randy Bullock,CIN,23,28.6,34.2,114
Robbie Gould,SF,30,35.7,41.8,146
Ryan Succop,TEN,28,33.8,38.4,137
Sebastian Janikowski,SEA,26,31.6,37.3,127
Stephen Gostkowski,NE,32,37.7,50,163
Steven Hauschka,BUF,25,29.9,30.2,117
Wil Lutz,NO,30,36.8,43.8,148
Zane Gonzalez,CLE,20,26.9,31.7,103
