Player,Team,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds,FL,FPts
Aaron Jones,GB,,391,3.2,15,114,0.5,,72.7
Adrian Peterson,WAS,,708,6.1,15,117,0.6,,122.7
Alex Collins,BAL,,939,6.6,29,215,0.8,,159.8
Alfred Blue,HOU,,339,1.1,9,64,0.2,,48.1
Alfred Morris,SF,,779,5.4,10,66,0.2,,118.1
Alvin Kamara,NO,,761,6.5,81,784,4.5,,220.5
Ameer Abdullah,DET,,134,0.7,12,85,0.5,,29.1
Andy Janovich,DEN,,21,0.4,4,27,0.1,,7.8
Anthony Sherman,KC,,10,0.1,3,19,0,,3.5
Austin Ekeler,LAC,,320,2,30,274,1.7,,81.6
Benny Cunningham,CHI,,50,0.3,9,70,0.2,,15
Bilal Powell,NYJ,,461,2.9,27,201,0.6,,87.2
Boston Scott,NO,,117,0.7,9,65,0.2,,23.6
Brian Hill,ATL,,0,0,1,11,0,,1.1
Cameron Artis-Payne,CAR,,151,0.7,3,21,0.1,,22
Carlos Hyde,CLE,,650,4.2,24,160,0.6,,109.8
Chase Edmonds,ARI,,254,1.6,17,122,0.35,,49
Chris Carson,SEA,,641,4.5,26,214,1.3,,120.3
Chris Ivory,BUF,,496,3,19,151,0.6,,86.3
Chris Thompson,WAS,,265,1.8,52,470,3.2,,103.5
Christian McCaffrey,CAR,,690,4.2,70,599,3.9,,177.5
Christine Michael,IND,,54,0.3,2,14,0,,8.6
C.J. Anderson,CAR,,606,4,15,112,0.6,,99.4
CJ Ham,MIN,,5,0,1,9,0,,1.4
C.J. Prosise,SEA,,80,0.5,23,217,0.65,,36.3
Corey Clement,PHI,,406,3.6,17,153,0.8,,82.3
Corey Grant,JAC,,216,1.6,12,99,0.35,,43.5
Dalvin Cook,MIN,,1041,6.8,45,369,1.8,,192.6
Damien Williams,KC,,68,0.3,12,85,0.3,,18.9
Darren Sproles,PHI,,194,1.3,28,242,1.3,,59.2
David Fluellen,TEN,,16,0.1,1,5,0,,2.7
David Johnson,ARI,,1049,7.6,71,693,2.6,,235.4
DeAndre Washington,OAK,,143,1,20,134,0.6,,37.3
Derek Watt,LAC,,10,0.1,2,12,0.1,,3.4
Derrick Coleman,ARI,,,0,,,,,
Derrick Henry,TEN,,900,7.2,19,162,0.8,,154.2
Devontae Booker,DEN,,458,2.7,35,300,1.1,,98.6
Devonta Freeman,ATL,,965,8.5,44,367,1.8,,195
Dion Lewis,TEN,,614,3.5,41,300,1.7,,122.6
D'Onta Foreman,HOU,,272,1.7,7,60,0.2,,44.6
Doug Martin,OAK,,446,3.5,13,100,0.3,,77.4
Duke Johnson,CLE,,249,1.6,55,499,2.2,,97.6
Elijah McGuire,NYJ,,208,0.9,16,138,0.6,,43.6
Ezekiel Elliott,DAL,,1410,10.6,45,427,1.9,,258.7
Frank Gore,MIA,,394,2.4,19,134,0.7,,71.4
Giovani Bernard,CIN,,396,2.4,38,342,1.35,,96.6
Isaiah Crowell,NYJ,,696,4.4,26,188,0.8,,119.6
Ito Smith,ATL,,80,0.3,5,39,0.2,,14.9
Jacquizz Rodgers,TB,,164,0.9,7,54,0.1,,27.8
Jalen Richard,OAK,,200,1,21,168,0.8,,47.6
Jamaal Williams,GB,,648,4.4,28,231,1.2,,121.5
James Conner,PIT,,256,1.5,5,33,0.1,,38.5
James Develin,NE,,5,0.05,1,9,0,,2
James White,NE,,244,2.2,48,385,2.6,,91.7
Jamize Olawale,DAL,,12,0.1,3,20,0.1,,4.4
Javorius Allen,BAL,,321,2.1,27,176,0.8,,67.1
Jay Ajayi,PHI,,987,5.3,26,198,0.9,,155.7
Jaylen Samuels,PIT,,32,0.3,9,61,0.3,,12.9
J.D. McKissic,SEA,,12,0.1,6,46,0.2,,7.6
Jeremy Hill,NE,,190,1.7,3,22,0.1,,32
Joe Mixon,CIN,,904,6.6,38,327,1.1,,169.3
John Kelly,LAR,,202,1.1,15,109,0.2,,38.9
Jonathan Stewart,NYG,,170,1.3,6,38,0.1,,29.2
Jordan Howard,CHI,,1046,7.5,28,205,0.5,,173.1
Jordan Wilkins,IND,,390,2.5,15,115,0.6,,69.1
Justin Davis,LAR,,10,0.1,0,0,0,,1.6
Kalen Ballage,MIA,,200,1.2,12,96,0.4,,39.2
Kareem Hunt,KC,,1090,7.8,49,398,1.9,,207
Keith Smith,OAK,,,,,,,,
Kenneth Dixon,BAL,,363,2.5,28,186,0.9,,75.3
Kenyan Drake,MIA,,814,5.4,42,317,1.1,,150.9
Kerryon Johnson,DET,,722,5.2,30,225,1.1,,132.5
Kyle Juszczyk,SF,,28,0.1,33,303,1.2,,40.9
Lamar Miller,HOU,,813,4.1,36,301,2,,148
Latavius Murray,MIN,,450,3.6,22,162,0.4,,84.6
LeGarrette Blount,DET,,385,3.4,7,46,0.1,,64.1
Leonard Fournette,JAC,,1225,9.6,42,349,1.4,,223.4
LeSean McCoy,BUF,,762,5.2,38,287,1.2,,143.3
Le'Veon Bell,PIT,,1279,9.2,81,630,2.2,,259.3
Malcolm Brown,LAR,,84,0.4,3,19,0.15,,13.3
Marcus Murphy,BUF,,154,0.9,15,109,0.3,,33.5
Mark Ingram,NO,,706,6,36,259,1.2,,139.7
Mark Walton,CIN,,145,0.7,4,35,0.1,,22.8
Marlon Mack,IND,,581,3.8,32,278,1.4,,117.1
Marshawn Lynch,OAK,,748,6.2,26,185,0.5,,133.5
Matt Breida,SF,,654,4.1,29,223,1.1,,118.9
Melvin Gordon,LAC,,1044,7.5,56,469,2.6,,211.9
Michael Burton,CHI,,5,0,2,12,0,,1.7
Mike Davis,SEA,,82,0.3,10,83,0.2,,19.5
Mike Gillislee,NO,,203,1.7,3,19,0.1,,33
Nick Chubb,CLE,,479,3.3,15,111,0.4,,81.2
Nyheim Hines,IND,,262,1.5,23,200,1.2,,62.4
Patrick DiMarco,BUF,,11,0.05,3,19,0,,3.6
Peyton Barber,TB,,706,5.2,19,141,0.2,,117.1
Phillip Lindsay,DEN,,145,0.8,15,112,0.3,,32.3
Raheem Mostert,SF,,176,0.9,7,55,0.1,,29.1
