Player,Team,Rec,Rec Yds,Rec Tds,FL,FPts
A.J. Derby,MIA,11,100,0.7,,14.2
Alan Cross,TB,2,15,0.1,,2.1
Antonio Gates,LAC,27,270,2.7,,43.2
Antony Auclair,TB,2,23,0.1,,2.9
Austin Hooper,ATL,44,489,3.5,,69.9
Austin Seferian-Jenkins,JAC,45,466,4.3,,72.4
Benjamin Watson,NO,44,421,3.8,,64.9
Blake Jarwin,DAL,21,223,1.3,,30.1
Bucky Hodges,PIT,2,14,0.1,,2
Cameron Brate,TB,41,504,4,,74.4
Charles Clay,BUF,47,502,2.9,,67.6
Chris Herndon IV,NYJ,23,251,2,,37.1
Chris Manhertz,CAR,2,16,0.1,,2.2
C.J. Uzomah,CIN,5,43,0.2,,5.5
Cole Hikutini,MIN,2,15,0.1,,2.1
Dallas Goedert,PHI,30,330,2.9,,50.4
Dalton Schultz,DAL,8,75,0.5,,10.5
Daniel Brown,CHI,8,75,0.5,,10.5
Darrell Daniels,SEA,2,16,0.1,,2.2
Darren Fells,CLE,3,32,0.2,,4.4
David Morgan,MIN,11,114,0.8,,16.2
David Njoku,CLE,47,546,4.4,,81
Delanie Walker,TEN,65,729,4.9,,102.3
Demetrius Harris,KC,15,160,1.2,,23.2
Derek Carrier,OAK,4,37,0.1,,4.3
Dion Sims,CHI,8,79,0.4,,10.3
Dwayne Allen,NE,11,120,1,,18
Ed Dickson,SEA,18,212,1.7,,31.4
Eric Ebron,IND,45,500,3.8,,72.8
Eric Saubert,ATL,5,49,0.4,,7.3
Eric Tomlinson,NYJ,12,138,1,,19.8
Erik Swoope,IND,9,99,0.6,,13.5
Evan Engram,NYG,62,689,4.9,,98.3
Gabe Holmes,ARI,2,25,0.1,,3.1
Garrett Celek,SF,20,244,2,,36.4
Geoff Swaim,DAL,8,75,0.6,,11.1
George Kittle,SF,44,500,3.7,,72.2
Gerald Everett,LAR,26,306,2.7,,46.8
Greg Olsen,CAR,61,759,4.9,,105.3
Hakeem Valles,DET,15,150,1.1,,21.6
Hayden Hurst,BAL,36,342,2.7,,50.4
Ian Thomas,CAR,12,127,1,,18.7
Jack Doyle,IND,59,541,5,,84.1
Jacob Hollister,NE,9,99,0.6,,13.5
Jake Butt,DEN,24,262,2.1,,38.8
James O'Shaughnessy,JAC,8,83,0.6,,11.9
Jared Cook,OAK,45,545,3,,72.5
Jeff Heuerman,DEN,23,249,1.9,,36.3
Jeremy Sprinkle,WAS,4,41,0.2,,5.3
Jermaine Gresham,ARI,22,205,1.2,,27.7
Jesse James,PIT,24,216,2,,33.6
Jimmy Graham,GB,59,655,6.8,,106.3
Jonnu Smith,TEN,26,281,2.1,,40.7
Jordan Akins,HOU,20,215,2,,33.5
Jordan Leggett,NYJ,12,127,0.9,,18.1
Jordan Reed,WAS,62,646,5.2,,95.8
Josh Hill,NO,11,97,1,,15.7
Khari Lee,BUF,5,44,0.2,,5.6
Kyle Rudolph,MIN,60,583,6.4,,96.7
Lance Kendricks,GB,14,142,1.2,,21.4
Lee Smith,OAK,8,70,0.6,,10.6
Levine Toilolo,DET,8,75,0.5,,10.5
Logan Paulsen,ATL,8,77,0.5,,10.7
Logan Thomas,BUF,12,128,0.6,,16.4
Luke Stocker,TEN,2,15,0.1,,2.1
Luke Willson,DET,33,335,3,,51.5
Mark Andrews,BAL,18,193,1.4,,27.7
MarQueis Gray,MIA,5,53,0.3,,7.1
Maxx Williams,BAL,8,70,0.5,,10
Michael Hoomanawanui,NO,3,29,0.2,,4.1
Michael Roberts,DET,15,155,1.4,,23.9
Mike Gesicki,MIA,44,439,4.1,,68.5
Nick Boyle,BAL,18,153,1,,21.3
Nick Vannett,SEA,27,288,2.6,,44.4
Niles Paul,JAC,8,79,0.5,,10.9
O.J. Howard,TB,38,469,4.3,,72.7
Rhett Ellison,NYG,15,139,0.7,,18.1
Richard Rodgers,PHI,6,67,0.6,,10.3
Ricky Seals-Jones,ARI,38,456,3.4,,66
Rico Gathers,DAL,23,248,1.7,,35
Rob Gronkowski,NE,69,1045,8.9,,157.9
Ross Travis,IND,2,16,0.1,,2.2
Ryan Griffin,HOU,32,335,2.3,,47.3
Ryan Hewitt,IND,2,14,0.1,,2
Sean Culkin,LAC,3,36,0.2,,4.8
Seth DeValve,CLE,12,137,0.9,,19.1
Temarrick Hemingway,LAR,2,15,0.1,,2.1
Travis Kelce,KC,79,977,6.5,,136.7
Trey Burton,CHI,56,638,4.8,,92.6
Tyler Conklin,NE,3,32,0.2,,4.4
Tyler Eifert,CIN,39,466,4.4,,73
Tyler Higbee,LAR,23,245,1.7,,34.7
Tyler Kroft,CIN,26,283,2.3,,42.1
Vance McDonald,PIT,35,397,3.3,,59.5
Vernon Davis,WAS,30,374,2.2,,50.6
Virgil Green,LAC,20,225,1.6,,32.1
Will Dissly,SEA,12,118,0.9,,17.2
Xavier Grimble,PIT,5,41,0.3,,5.9
Zach Ertz,PHI,79,871,6.8,,127.9
