Player,Sack,Int,FR,FF,TD,Safety,PA,YA,FPts
Arizona Cardinals,35,13,12,17,4,0,340,4783,109
Atlanta Falcons,35,12,16,22,3.75,0,329,5346,115
Baltimore Ravens,39,19,15,21,5,0,294,4908,137
Buffalo Bills,33,15,9.3,14,2,0,329,5019,95
Carolina Panthers,49,12,16,22,4,0,342,5265,129
Chicago Bears,53,13,16,22,3,1,344,5286,129
Cincinnati Bengals,37,15,8,10,2,0,340,5220,95
Cleveland Browns,33,14,9,13,2,0,384,5300,91
Dallas Cowboys,37,13,17,23,4,0,328,5147,121
Denver Broncos,42,16,11,15,5,0,339,4267,126
Detroit Lions,33,13,13,18,5,0,340,5155,115
Green Bay Packers,48,12,14,20,4,1,335,5212,124
Houston Texans,43,15,11,16,5,1,361,5073,125
Indianapolis Colts,28,14,12,17,4,0,388,5546,104
Jacksonville Jaguars,52,18,15,21,5,1,281,4675,148
Kansas City Chiefs,26,16,15,21,5,0,371,6045,118
Los Angeles Chargers,46,16,14,19,5,0,284,5232,136
Los Angeles Rams,53,15,14,19,5,1,325,5221,141
Miami Dolphins,34,13,11,16,4,0,347,5035,106
Minnesota Vikings,40,15,11,15,5,0,293,4706,122
New England Patriots,41,14,10,13,4,0,281,5562,113
New Orleans Saints,33,18,11,15,5,0,344,5478,121
New York Giants,30,15,12,16,2,0,368,5895,96
New York Jets,34,15,12,17,3,0,358,5371,106
Oakland Raiders,34,13,14,20,4,0,398,5679,112
Philadelphia Eagles,33,16,17,24,6,0,286,5086,135
Pittsburgh Steelers,50,16,11,16,5,0,310,5169,134
San Francisco 49ers,31,14,12,16,3.4,0,378,5232,107
Seattle Seahawks,34,13,14,19,4,0,323,5136,112
Tampa Bay Buccaneers,25,13,16,22,4,0,365,6034,107
Tennessee Titans,40,16,13,18,5,0,331,4788,128
Washington Redskins,41,16,11,15,5,0,378,5295,125
