Player,Team,FG,FGA,XPT,FPts
Adam Vinatieri,IND,30,35,38.3,128.3
Aldrick Rosas,NYG,21.1,29.3,30.5,93.8
Brandon McManus,DEN,26.9,34.7,33.6,114.3
Brett Maher,DAL,25.6,30.8,39.5,116.3
Caleb Sturgis,LAC,22.8,26,36.3,104.7
Chandler Catanzaro,TB,22.7,28,29.9,98
Chris Boswell,PIT,32.2,35.4,41.4,138
Cody Parkey,CHI,18.1,20.5,29.4,83.7
Daniel Carlson,MIN,29.9,35.8,36.6,126.3
Dustin Hopkins,WAS,24.6,30.1,35.4,109.2
Graham Gano,CAR,28.8,31.8,37.4,123.8
Greg Zuerlein,LAR,34.7,37.1,43.1,147.2
Harrison Butker,KC,34.8,39.4,42.3,146.7
Jake Elliott,PHI,31.4,36.1,42.4,136.6
Jason Myers,NYJ,6.3,8.4,14.8,33.7
Jason Sanders,MIA,21.1,25.3,29.9,93.2
Josh Lambo,JAC,27.8,30.4,37.1,120.5
Justin Tucker,BAL,31.8,34.1,39.4,134.8
Ka'imi Fairbairn,HOU,26.8,33.5,36.6,117
Mason Crosby,GB,22.2,27.3,43.6,110.2
Matt Bryant,ATL,32.2,36,38.1,134.7
Matt Prater,DET,28.7,33.4,37.3,123.4
Mike Nugent,OAK,22.7,27.6,35.1,103.2
Phil Dawson,ARI,27.5,34,31.6,114.1
Randy Bullock,CIN,19.1,21.3,28.3,85.6
Robbie Gould,SF,35.6,37.3,38.2,145
Ryan Succop,TEN,27.9,32.8,35.4,119.1
Sebastian Janikowski,SEA,23.7,28.6,36.349999999999994,106.5
Stephen Gostkowski,NE,35.6,40.2,46,152.8
Steven Hauschka,BUF,21.6,27.15,25.7,90.5
Wil Lutz,NO,29.6,35.1,44,132.8
Zane Gonzalez,CLE,19.8,26.4,32.6,92
