Player,Team,Rec,Rec Yds,Rec Tds,FL,FPts
Adam Shaheen,CHI,10,116,2.1,0.2,24.2
A.J. Derby,MIA,10,103,1,0.4,16.3
Alan Cross,TB,,,,0,
Antonio Gates,LAC,38,391,3.5,0.5,60.1
Antony Auclair,TB,4,40,0.2,0.1,5.2
Austin Hooper,ATL,45,467,3,0.2,64.7
Austin Seferian-Jenkins,JAC,53,577,4.5,1.1,84.7
Ben Braunecker,CHI,1,9,0,0.1,0.9
Benjamin Watson,NO,51,560,4.2,0.3,81.2
Blake Jarwin,DAL,39,378,3.5,0.5,58.8
Bucky Hodges,PIT,5,47,0.4,0,7.1
Cameron Brate,TB,51,564,4.1,0.4,81
Charles Clay,BUF,64,656,2.8,0.2,82.4
Chris Herndon IV,NYJ,22,190,1.3,0.5,26.8
Chris Manhertz,CAR,4,38,0.2,0,5
C.J. Uzomah,CIN,5,50,0.3,0.1,6.8
Dallas Goedert,PHI,38,362,3.5,0.6,57.2
Dalton Schultz,DAL,10,94,0.9,0.5,14.8
Daniel Brown,CHI,5,44,0.1,0.1,5
Darrell Daniels,SEA,3,30,0.1,0.1,3.6
Darren Fells,CLE,16,166,1.2,0.5,23.8
David Morgan,MIN,26,235,1.5,0.3,32.5
David Njoku,CLE,44,566,5.6,0.5,90.2
Delanie Walker,TEN,68,786,4.45,2.2,102.6
Demetrius Harris,KC,16,152,1,0.2,21.2
Derek Carrier,OAK,5,36,0,0.1,3.6
Dion Sims,CHI,8,87,0.6,0.1,12.3
Durham Smythe,MIA,11,101,0.7,0.5,14.3
Dwayne Allen,NE,26,277,2.7,0.3,43.9
Ed Dickson,SEA,21,274,1.6,0.2,37
Eric Ebron,IND,53,593,3.65,0.9,80.3
Eric Saubert,ATL,4,37,0.3,0,5.5
Eric Tomlinson,NYJ,4,55,0.4,0.1,7.9
Erik Swoope,IND,5,95,0.3,0.1,11.3
Evan Engram,NYG,67,732,5.1,0.4,103.8
Gabe Holmes,ARI,,,,0,
Garrett Celek,SF,35,457,5.1,0.4,76.3
Geoff Swaim,DAL,14,142,1.2,0.4,21.4
George Kittle,SF,54,672,3.5,0.4,88.2
Gerald Everett,LAR,14,144,1.5,1.4,23.4
Greg Olsen,CAR,60,722,4,0.3,96.2
Hakeem Valles,DET,,,,0,
Hayden Hurst,BAL,51,421,2.8,0.3,58.9
Ian Thomas,CAR,9,93,0.8,0.4,14.1
Jack Doyle,IND,63,667,4.5,2.2,93.7
Jacob Hollister,NE,2,20,0,0.1,2
Jake Butt,DEN,30,300,2.2,0.6,43.2
James O'Shaughnessy,JAC,4,38,0.3,0.1,5.6
Jared Cook,OAK,59,706,1.9,1.3,82
Jeff Heuerman,DEN,32,333,2.8,0.4,50.1
Jeremy Sprinkle,WAS,4,39,0.5,0.1,6.9
