Player,Team,Rec,Rec Yds,Rec Tds,Rush Att,Rush Yds,Rush Tds,FL,FPts
Adam Humphries,TB,61,599,2.3,2,9,0,1,74.6
Adam Thielen,MIN,93,1153,4.5,1,12,0,2.6,143.5
A.J. Green,CIN,94,1212,6.2,0,0,0,2.3,158.4
Albert Wilson,MIA,50,558,2.7,3,16,0.2,0.3,74.8
Alex Erickson,CIN,5,64,0.3,2,6,0,0.4,8.8
Allen Hurns,DAL,54,676,3.6,0,0,0,0.3,89.2
Allen Robinson,CHI,64,891,3.8,0,0,0,0.3,111.9
Alshon Jeffery,PHI,45,610,5.5,0,0,0,0.3,94
Amara Darboh,NE,,,,0,0,0,0,
Amari Cooper,OAK,81,1020,6.7,1,3,0,0.4,145.5
Andre Holmes,BUF,23,272,2.2,0,0,0,0.2,48.2
Andre Roberts,NYJ,3,33,0.1,0,0,0,0.7,3.9
Andy Jones,DET,,,,0,0,0,0,
Anthony Miller,CHI,36,499,2,2,12,0.05,0.6,63.7
Antonio Brown,PIT,111,1577,10,1,2,0,0.2,217.9
Antonio Callaway,CLE,52,686,2.7,2,14,0.05,0.9,86.8
ArDarius Stewart,NYJ,3,34,0,3,16,0,0.1,5
Auden Tate,CIN,4,50,0.3,0,1,0,0.1,6.9
Austin Carr,NO,5,67,0.4,0,1,0,0,9.2
Bradley Marquez,DET,,,0.2,0,0,0,0,
Brandin Cooks,LAR,56,802,5.6,8,35,0.1,0.5,117.9
Brandon LaFell,OAK,15,169,0.9,0,0,0,0.1,22.3
Brandon Marshall,SEA,50,567,2.35,0,0,0,0.3,69.3
Bruce Ellington,HOU,38,395,1.7,5,29,0,0.4,52.6
Calvin Ridley,ATL,55,751,4.1,2,15,0.05,0.5,101.8
Cameron Meredith,NO,49,597,3.2,1,7,0,2.7,79.6
Chad Hansen,NE,,,0.3,0,0,0,0,
Chad Williams,ARI,39,480,2,5,73,0,0.5,67.3
Charone Peake,NYJ,7,57,0.1,0,0,0,0.1,6.3
Chester Rogers,IND,48,663,2.5,3,9,0,0.3,69.35
Chris Conley,KC,44,561,1.9,0,0,0,0.2,67.5
Chris Godwin,TB,42,584,1.5,0,0,0,0.4,67.4
Chris Hogan,NE,50,757,6.2,5,24,0,0.4,115.3
Chris Moore,BAL,31,330,3,4,-4,0,0.2,50.6
Christian Kirk,ARI,56,696,3.1,2,12,0,0.6,89.4
Cody Core,CIN,4,50,0,0,0,0,0.1,5
Cody Latimer,NYG,35,426,2,0,0,0,0.4,54.6
Cole Beasley,DAL,43,433,4.1,0,2,0,0.3,68.1
Cooper Kupp,LAR,65,821,5.3,0,0,0,1.3,113.9
Cordarrelle Patterson,NE,38,425,2,15,137,0.8,0.3,73
Corey Davis,TEN,76,846,4.5,0,0,0,2.4,111.6
Courtland Sutton,DEN,54,724,3.9,2,7.5,0,0.8,97.3
Curtis Samuel,CAR,29,312,1.8,8,120,0.1,0.3,54.6
DaeSean Hamilton,DEN,14,181,1,2,15,0,0.8,25.6
Damiere Byrd,CAR,6,72,1.1,1,6,0,0.1,14.4
Danny Amendola,MIA,47,474,1.7,1,5,0,0.5,58.1
Dante Pettis,SF,29,399,1.7,2,14,0.1,0.7,52.1
Darrius Heyward-Bey,PIT,2,35,0.2,1,19,0.1,0.1,7.8
Davante Adams,GB,90,1043,10,0,0,0,0.4,164.3
DeAndre Hopkins,HOU,94,1325,9.4,0,0,0,1.1,188.9
De'Anthony Thomas,KC,6,53,0.6,1,5,0,0,9.4
Dede Westbrook,JAC,54,670,4,0,0,0,0.3,91
Demarcus Robinson,KC,8,85,0.3,0,0,0,0,10.3
Demaryius Thomas,DEN,91,1097,6,0,0,0,1.7,145.7
Deonte Thompson,DAL,,,,,,0,0,
DeSean Jackson,TB,56,742,2.3,3,31,0,0.4,91.1
Devante Parker,MIA,57,692,2.6,0,0,0,0.3,84.8
Devin Funchess,CAR,49,699,6.,0,0,0,0.3,107.7
D.J. Chark,JAC,38,523,3.7,2,9.,0.05,0.6,76.9
D.J. Moore,CAR,45,620,3.9,2,17,0.05,0.5,87.7
Donte Moncrief,JAC,44,588,3.8,0,-1,0,0.3,81.5
Doug Baldwin,SEA,80,958,7.4,3,-4,0,0.3,139.8
Dwayne Harris,OAK,0,4,0.4,0,0,0,0.4,2.8
Eli Rogers,PIT,11,118,0.6,0,1,0,1.2,15.5
Emmanuel Sanders,DEN,71,877,3.9,0,1,0,0.4,111.2
Equanimeous St. Brown,GB,5,58,0.5,0,1,0,0,8.9
Freddie Martino,TB,4,71,0.1,0,0,0,0.1,7.7
Geremy Davis,LAC,4,64,0.4,0,0.5,0,0,8.9
Geronimo Allison,GB,62,728,3.5,0,0,0,2,93.8
Golden Tate,DET,99,1038,4.8,7,19,0.05,1.6,135.1
Isaiah McKenzie,DEN,2,14,0,0,2,0,0.9,1.6
Jakeem Grant,MIA,25,303,2.1,5,19,0,2.3,44.8
James Washington,PIT,28,378,2.2,2,14,0.05,0.5,53
Jamison Crowder,WAS,75,858,3.5,6,24,0.05,3.8,109.8
Jarius Wright,CAR,5,61,0.5,0,0.5,0,0.1,9.2
Jaron Brown,SEA,25,364,4.3,0,0,0,0.3,62.2
Jarvis Landry,CLE,109,1135,5.1,2,-1,0,3.7,144
Javon Wims,CHI,4,54,0.2,0,1,0,0.1,6.7
Jaydon Mickens,JAC,3,36,1.1,0,0,0,0.7,10.2
J.D. McKissic,SEA,4,27,0.2,5,21,0.2,0.1,7.2
Jeremy Kerley,BUF,31,299,1,0,0,0,1.9,35.9
Jermaine Kearse,NYJ,50,570,2.9,0,0,0,0.3,74.4
J.J. Nelson,ARI,34,550,2.7,4,59,0.15,1.7,78.9
J'Mon Moore,GB,15,168,1.1,2,13,0.05,0.5,25.3
John Brown,BAL,59,659,3.8,2,23,0,0.2,93.4
John Ross,CIN,43,539,2.5,4,36,0,1,72.5
Jordan Lasley,BAL,5,49,0.3,0,1,0,0,6.8
Jordan Taylor,DEN,3,35,0.1,0,0,0,0.1,4.1
Jordy Nelson,OAK,65,694,5.4,0,0,0,0.7,101.8
Josh Bellamy,CHI,8,132,0.4,1,4,0,0.1,16
Josh Doctson,WAS,49,679,5.8,1,-17,0,0.5,101
Josh Gordon,CLE,79,1081,4,1,5,0,0.6,132.6
Josh Malone,CIN,4,39,0.5,1,1,0,0.1,7
Josh Reynolds,LAR,24,324,2.1,0,0,0,0.5,45
JuJu Smith-Schuster,PIT,65,924,7.3,0,0,0,0.2,136.2
Julian Edelman,NE,66,808,3.9,8,45,0.05,1.4,109.3
Julio Jones,ATL,97,1390,5.5,1,19,0,0.2,173.9
Justin Hardee,NO,0,0,0,0,0,0,0,0
Justin Hardy,ATL,15,194,2.1,0,0,0,0.2,32
Justin Hunter,PIT,5,59,1.25,0,0,0,0.1,19.1
Justin Watson,TB,5,64,0.3,0,1,0,0.1,8.3
Keelan Cole,JAC,49,712,4.5,0,0,0,1.3,98.2
Keenan Allen,LAC,95,1243,5.2,2,9,0,0.3,156.4
Keke Coutee,HOU,21,287,1.7,2,16,0,0.7,40.5
Kelvin Benjamin,BUF,53,667,3.6,0,0,0,0.4,88.3
Kendrick Bourne,SF,9,138,0.1,0,0,0,0.1,14.4
Kenny Golladay,DET,47,772,3.3,2,14,0,0.4,98.4
Kenny Stills,MIA,55,701,5.1,0,0,0,2.2,100.7
Kevin White,CHI,30,345,1.2,2,17,0,0.5,43.4
Laquon Treadwell,MIN,45,529,2.6,0,0,0,0.3,68.5
Larry Fitzgerald,ARI,104,1017,4.3,0,0,0,1.6,127.5
Mack Hollins,PHI,25,312,2,0,0,0,0.4,43.2
Marcus Johnson,IND,5,59,0.2,0,1,0,0.2,7.2
Marquez Valdes-Scantling,GB,5,58,0.5,0,1,0,0,8.9
Marquise Goodwin,SF,69,981,3.6,3,33,0,0.4,123
Marvin Hall,ATL,1,27,0.4,0,0.5,0,0.1,5.2
Marvin Jones,DET,66,878,6.5,0,1,0,0.4,126.9
Matt Slater,NE,,,,,,0,0,
Maurice Harris,WAS,3,40,0.4,0,0,0,0.1,6.4
Michael Campanaro,TEN,,,0.1,,,0,0,
Michael Crabtree,BAL,85,829,7,0,0,0,0.2,124.9
Michael Gallup,DAL,51,657,4.5,2,18,0.05,0.6,95.1
Michael Thomas,NO,104,1218,6.4,0,0,0,0.3,160.2
Mike Evans,TB,93,1176,5,0,0,0,0.4,147.6
Mike Thomas,LAR,5,107,0,0,0,0,0.2,10.7
Mike Wallace,PHI,36,621,4.1,2,14,0,0.4,88.1
Mike Williams,LAC,34,452,2.3,0,1.5,0,0.3,59.3
Mohamed Sanu,ATL,63,677,4.1,3,10,0,0.4,93.3
Nelson Agholor,PHI,62,724,5.3,5,28,0,0.4,107
Noah Brown,DAL,3,27,0.1,0,0,0,0,3.3
Odell Beckham Jr.,NYG,109,1229,7.1,2,19,0,1,167.4
Paul Richardson,WAS,49,741,3.6,0,1,0,0.5,95.8
Pharoh Cooper,LAR,5,39,0,0,2,0,0.7,4.1
Phillip Dorsett,NE,36,500,2.5,2,10,0,0.3,66
Pierre Garcon,SF,70,933,3.55,0,0,0,0.4,111.9
Quincy Enunwa,NYJ,57,709,4,1,11,0,0.4,96
Randall Cobb,GB,66,639,3.9,9,23,0.1,0.3,90.2
Rashad Greene,JAC,,,0.3,0,0,0,0,
Rashard Higgins,CLE,11,121,0.9,0,1,0,0.4,17.6
Ray-Ray McCloud,BUF,4,43,0.2,0,2,0,0,5.7
Richie James,SF,5,69,0.3,0,1,0,0.1,8.8
Rishard Matthews,TEN,51,698,5.1,1,-2,0,0.4,100.2
Robby Anderson,NYJ,66,816,6,3,17,0,0.4,119.3
Robert Woods,LAR,66,863,4.7,2,11,0,1.3,115.6
Russell Gage,ATL,4,62,0.3,0,1,0,0,8.1
Russell Shepard,NYG,,,,,,0,0,
Ryan Grant,IND,47,578,4.2,0,0,0,0.3,83
Ryan Switzer,PIT,6,48,0.1,2,2,0,0.4,5.6
Sammie Coates,HOU,22,316,1.6,3,8,0,0.4,42
Sammy Watkins,KC,54,679,6.4,0,0,0,0.2,106.3
Seth Roberts,OAK,60,616,2.5,0,0,0,1.2,76.6
Shelton Gibson,PHI,4,50,0.2,0,0.5,0,0.1,6.9
Stefon Diggs,MIN,90,1092,7.4,7,14,0.1,0.3,155.6
Sterling Shepard,NYG,79,874,3.3,5,15,0,0.4,108.7
Tajae Sharpe,TEN,11,130,0.4,0,0,0,0.1,15.4
Tanner McEvoy,MIA,,,,,,0,0,
Tavon Austin,DAL,7,44,0.2,16,85,0.3,0.7,15.9
Taylor Gabriel,CHI,37,460,1.5,7,42,0.1,0.3,60.4
Taywan Taylor,TEN,33,424,2.3,8,43,0.1,0.3,61.1
Ted Ginn,NO,51,695,3.8,11,60,0.05,0.8,98.9
Terrance Williams,DAL,39,456,1.4,2,12,0,0.4,55.2
Terrelle Pryor,NYJ,42,470,1.8,4,8,0.2,0.4,61
