PlayerID,Name,Team,Pos,Tackles,Sack,FF,FR,Int,Int TD,Fum TD,Pass Def
1,Tre'Davious White,Buf,CB,65.1,0.1,0.9,0.6,3,0.3,0.1,16.3
2,William Jackson,Cin,CB,55.6,0.9,0.5,0.3,1.7,0.2,0,16.2
3,Darius Slay,Det,CB,61.7,0.5,0.5,0.3,3,0.3,0,16.1
4,Marcus Peters,LAR,CB,54.9,0.1,1.5,1,3,0.3,0.1,16
5,Kyle Fuller,Chi,CB,68.1,0.1,0.6,0.4,1.9,0.2,0,15.9
6,Stephon Gilmore,NE,CB,56,0.1,0.5,0.3,3.6,0.4,0,15.8
7,A.J. Bouye,Jax,CB,71.5,0.5,0.6,0.4,3.3,0.3,0,15.8
8,Marshon Lattimore,NO,CB,67.7,0.1,1.1,0.7,3,0.3,0.1,15.8
9,Robert Alford,Atl,CB,64.1,0.1,0.5,0.3,1.6,0.2,0,15.8
10,Janoris Jenkins,NYG,CB,57,0.3,1.2,0.8,2.8,0.3,0.1,15.7
11,Shaquill Griffin,Sea,CB,67.7,0.9,0.5,0.3,1.6,0.2,0,15.6
12,Casey Hayward,LAC,CB,55.3,0.1,0.5,0.3,3,0.3,0,15.6
13,Ken Crawley,NO,CB,72.5,0.1,0.5,0.3,1.7,0.2,0,15.5
14,Adoree' Jackson,Ten,CB,70.5,0.1,1.5,1,1.9,0.2,0.1,15.4
15,Josh Norman,Wsh,CB,67.8,0.2,1.5,1,1.7,0.2,0.1,15.1
16,Ronald Darby,Phi,CB,70.6,0.1,0.5,0.3,2.4,0.2,0,15.1
17,Trumaine Johnson,NYJ,CB,71.6,0.1,0.5,0.3,2.5,0.2,0,15
18,Brent Grimes,TB,CB,56.3,0.1,0.5,0.3,2.7,0.3,0,14.9
19,Rashaan Melvin,Oak,CB,69.6,0.1,1.4,0.9,2.2,0.2,0.1,14.8
20,Jalen Ramsey,Jax,CB,63.1,0.1,0.5,0.3,3,0.3,0,14.6
21,Trae Waynes,Min,CB,68.2,0.5,0.5,0.3,2.4,0.2,0,14.5
22,Chidobe Awuzie,Dal,CB,68,0.2,1.4,0.9,2.2,0.2,0.1,14.5
23,Bradley Roby,Den,CB,57.2,0.8,1.3,0.9,1.6,0.2,0.1,14.2
24,Dre Kirkpatrick,Cin,CB,60.6,0.5,0.5,0.3,1.7,0.2,0,14
25,Johnathan Joseph,Hou,CB,63.4,0.1,0.6,0.4,1.5,0.1,0,13.9
26,Xavien Howard,Mia,CB,62.9,0.6,0.7,0.5,2.6,0.3,0,13.8
27,Vontae Davis,Buf,CB,56.5,0.3,0.5,0.3,2,0.2,0,13.7
28,Joe Haden,Pit,CB,54.1,0.6,0.5,0.3,1.9,0.2,0,13.6
29,Artie Burns,Pit,CB,63.8,0.1,0.5,0.3,1.4,0.1,0,13.5
30,Malcolm Butler,Ten,CB,63.6,0.6,1.4,0.9,2.1,0.2,0.1,13.5
