PlayerID,Name,Team,Pos,Tackles,Sack,FF,FR,Int,Int TD,Fum TD,Pass Def
1,A'Shawn Robinson,Det,DT,52,1.2,0.7,0.5,0.2,0,0,5.4
2,Chris Jones,KC,DT,33.1,3.6,1.6,1,0.2,0,0.1,5
3,Brent Urban,Bal,DT,50.5,4.5,0.4,0.2,0,0,0,4.5
4,Muhammad Wilkerson,GB,DT,55.7,5.6,0.8,0.5,0.3,0,0.1,4.2
5,Malik Jackson,Jax,DT,40.8,6,1.4,0.9,0,0,0.1,4
6,David Irving,Dal,DT,28.5,3.8,1.2,0.8,0,0,0.1,4
7,Denico Autry,Ind,DT,28.6,2.9,0.3,0.2,0,0,0,3.9
8,Cameron Heyward,Pit,DT,52.2,8.2,1.3,0.9,0,0,0.1,3.6
9,Jurrell Casey,Ten,DT,59.1,5.7,0.5,0.3,0,0,0,3.3
10,DeForest Buckner,SF,DT,61.2,3.7,0.5,0.4,0,0,0,3
11,Adam Gotsis,Den,DT,33.5,1.3,0.2,0.1,0,0,0,3
12,Ndamukong Suh,LAR,DT,55.5,4.5,0.8,0.5,0,0,0.1,2.9
13,Gerald McCoy,TB,DT,44.3,5.9,0.7,0.5,0,0,0,2.5
14,Jordan Phillips,Mia,DT,24.8,1.5,0.2,0.2,0.2,0,0,2.5
15,Aaron Donald,LAR,DT,54,9.7,2.1,1.4,0,0,0.1,2.5
16,Willie Henry,Bal,DT,17.6,1.7,0.2,0.1,0,0,0,2.5
17,Olsen Pierre,Ari,DT,39.5,5.1,1,0.7,0,0,0.1,2.3
18,Shelby Harris,Den,DT,30.7,3.8,0.2,0.1,0,0,0,2.2
19,Trevon Coley,Cle,DT,44.8,1.9,0.3,0.2,0,0,0,2.1
20,Jarran Reed,Sea,DT,47.5,1.6,0.6,0.4,0,0,0,2.1
21,Kawann Short,Car,DT,50.8,6.8,1.8,1.1,0,0,0.1,2.1
22,Fletcher Cox,Phi,DT,46.1,6.2,1.3,0.8,0,0,0.1,2
23,Nazair Jones,Sea,DT,17.8,1.5,0.1,0.1,0.1,0,0,2
24,Sheldon Day,SF,DT,32.5,2.7,0.3,0.2,0,0,0,1.9
25,Austin Johnson,Ten,DT,31,1.4,0.2,0.1,0,0,0,1.9
26,Henry Anderson,NYJ,DT,35.9,1.8,0.5,0.3,0,0,0,1.9
27,Dontari Poe,Car,DT,34.1,1.5,0.5,0.3,0,0,0,1.8
28,Earl Mitchell,SF,DT,33,0.8,0.1,0.1,0,0,0,1.8
29,Haloti Ngata,Phi,DT,24,1.6,0.2,0.2,0.1,0,0,1.7
30,Derek Wolfe,Den,DT,45.7,3.7,0.4,0.2,0,0,0,1.7
31,Damon Harrison,NYG,DT,65.5,1.4,0.5,0.3,0,0,0,1.7
32,Kenny Clark,GB,DT,57,3.7,0.7,0.5,0,0,0,1.6
33,Sheldon Richardson,Min,DT,49.5,2.4,1.2,0.8,0.2,0,0.1,1.6
34,Corey Liuget,LAC,DT,25.5,1.9,0.4,0.3,0,0,0,1.5
35,Ricky Jean Francois,Det,DT,31.1,2.4,0.2,0.2,0,0,0,1.4
36,Brandon Williams,Bal,DT,46.3,1.7,0.6,0.4,0,0,0,1.4
37,Star Lotulelei,Buf,DT,29.4,2.1,0.5,0.3,0,0,0,1.4
38,Roy Robertson-Harris,Chi,DT,24.3,2.4,0.2,0.1,0,0,0,1.4
39,Maurice Hurst,Oak,DT,33.9,1.9,0.4,0.2,0,0,0,1.3
40,Darius Philon,LAC,DT,31.6,2.7,0.5,0.3,0,0,0,1.3
41,Robert Nkemdiche,Ari,DT,21.5,0.7,0.9,0.6,0,0,0.1,1.3
42,Davon Godchaux,Mia,DT,42.7,0.8,0.9,0.6,0,0,0.1,1.3
43,Adolphus Washington,Buf,DT,22.9,1,0.2,0.1,0,0,0,1.2
44,Kyle Williams,Buf,DT,46.6,3.6,0.3,0.2,0,0,0,1.2
45,Abry Jones,Jax,DT,24.1,0.9,0.3,0.2,0,0,0,1.2
46,Deadrin Senat,Atl,DT,30.7,1.8,0.3,0.2,0,0,0,1.2
47,Vita Vea,TB,DT,30.6,1.6,0.3,0.2,0,0,0,1.2
48,Vernon Butler,Car,DT,19.9,1.1,0.2,0.1,0,0,0,1.2
49,P.J. Hall,Oak,DT,29.8,1.6,0.3,0.2,0,0,0,1.2
50,Dalvin Tomlinson,NYG,DT,51.6,1,0.3,0.2,0,0,0,1.1
51,B.J. Hill,NYG,DT,27.6,1.5,0.3,0.2,0,0,0,1.1
52,Corey Peters,Ari,DT,34.5,1.5,0.3,0.2,0,0,0,1.1
53,Taven Bryan,Jax,DT,26,1.6,0.3,0.2,0,0,0,1
54,Justin Jones,LAC,DT,25.7,1.5,0.3,0.2,0,0,0,1
55,Daron Payne,Wsh,DT,42.6,1.2,0.4,0.3,0,0,0,1
56,Lawrence Guy,NE,DT,36.8,1.5,0.2,0.1,0,0,0,1
57,Jonathan Allen,Wsh,DT,41.6,2.9,0.3,0.2,0,0,0,1
58,D.J. Reader,Hou,DT,41.2,2,0.3,0.2,0,0,0,0.9
59,Dean Lowry,GB,DT,16,1.3,0.1,0.1,0,0,0,0.9
60,Nathan Shepherd,NYJ,DT,24.1,1.4,0.3,0.2,0,0,0,0.9
61,Akiem Hicks,Chi,DT,54.9,6.6,0.7,0.5,0,0,0,0.9
62,Marcell Dareus,Jax,DT,41.3,4.1,0.2,0.1,0,0,0,0.9
63,Jonathan Bullard,Chi,DT,21.1,1.1,0.4,0.2,0,0,0,0.9
64,Vincent Taylor,Mia,DT,19,0.5,0.1,0.1,0,0,0,0.9
65,Sheldon Rankins,NO,DT,36.3,3.4,1.1,0.7,0.3,0,0.1,0.9
66,Mike Daniels,GB,DT,50.8,5.1,0.7,0.4,0.1,0,0,0.8
67,Tyeler Davison,NO,DT,27.9,0.7,0.5,0.3,0,0,0,0.8
68,Anthony Lanier II,Wsh,DT,5.2,0.9,0.2,0.1,0,0,0,0.8
69,Damion Square,LAC,DT,14.7,0.6,0.1,0,0,0,0,0.8
70,Allen Bailey,KC,DT,42.5,2.6,0.6,0.4,0,0,0,0.8
71,Harrison Phillips,Buf,DT,20.7,1.2,0.2,0.1,0,0,0,0.8
72,Danny Shelton,NE,DT,41.1,1.4,0.3,0.2,0,0,0,0.8
73,Sylvester Williams,Det,DT,32,1.4,0.1,0.1,0,0,0,0.8
74,Domata Peko Sr.,Den,DT,30.1,1.1,0.1,0.1,0,0,0,0.7
75,David Onyemata,NO,DT,32.9,1.3,0.3,0.2,0,0,0,0.7
76,Hassan Ridgeway,Ind,DT,21.7,2,0.2,0.1,0,0,0,0.7
77,Justin Ellis,Oak,DT,32,0.4,0.1,0.1,0,0,0,0.6
78,Destiny Vaeao,Phi,DT,16.1,1.1,0.4,0.3,0,0,0,0.6
79,Tim Settle,Wsh,DT,15.9,0.9,0.2,0.1,0,0,0,0.6
80,Leonard Williams,NYJ,DT,56.8,3.5,0.6,0.4,0.3,0,0,0.6
81,DaQuan Jones,Ten,DT,36.8,2,0.4,0.2,0,0,0,0.6
82,Jamie Meder,Cle,DT,28,0.9,0.2,0.1,0,0,0,0.6
83,Grady Jarrett,Atl,DT,57.1,4.3,0.4,0.3,0,0,0,0.5
84,Beau Allen,TB,DT,23.9,0.5,0.1,0.1,0,0,0,0.5
85,Derrick Nnadi,KC,DT,23.1,0.6,0.2,0.1,0,0,0,0.5
86,Tim Jernigan,Phi,DT,18.3,1.9,0.2,0.1,0.1,0,0,0.5
87,Larry Ogunjobi,Cle,DT,46.3,1.6,0.3,0.2,0,0,0,0.5
88,Terrell McClain,Atl,DT,34.4,1.9,0.8,0.5,0,0,0.1,0.5
89,Javon Hargrave,Pit,DT,28.2,1.4,0.3,0.2,0,0,0,0.5
90,Jaleel Johnson,Min,DT,16,0.9,0.1,0.1,0,0,0,0.5
91,Jalyn Holmes,Min,DT,13.4,0.9,0.1,0.1,0,0,0,0.5
92,Steve McLendon,NYJ,DT,39.3,1.8,0.5,0.3,0,0,0,0.5
93,Shamar Stephen,Sea,DT,33.4,1,0.2,0.2,0,0,0,0.5
94,Ryan Glasgow,Cin,DT,30.1,0.7,0.2,0.2,0,0,0,0.5
95,Brandon Mebane,LAC,DT,33.1,0.6,0.1,0.1,0,0,0,0.5
96,Stacy McGee,Wsh,DT,24.4,0.9,0.4,0.2,0,0,0,0.5
97,Josh Tupou,Cin,DT,12.7,0.7,0.1,0.1,0,0,0,0.5
98,Bennie Logan,Ten,DT,33.7,1,0.2,0.2,0,0,0,0.5
99,Geno Atkins,Cin,DT,39.3,7.3,0.3,0.2,0,0,0,0.5
100,Rodney Gunter,Ari,DT,27.8,1.6,0.2,0.1,0,0,0,0.5
101,Malcom Brown,NE,DT,59.3,3.5,0.3,0.2,0,0,0,0.5
102,Grover Stewart,Ind,DT,36.8,0.7,0.2,0.1,0,0,0,0.5
103,Maliek Collins,Dal,DT,29.2,3.1,0.4,0.3,0,0,0,0.5
104,Al Woods,Ind,DT,44.9,1.1,0.1,0.1,0,0,0,0.4
105,Brandon Dunn,Hou,DT,18,0.3,0.1,0,0,0,0,0.4
106,Christian Covington,Hou,DT,16,1.1,0.2,0.2,0,0,0,0.4
107,Joel Heath,Hou,DT,25.5,1.9,0.2,0.1,0,0,0,0.4
108,Mitch Unrein,TB,DT,26.3,1,0.2,0.1,0,0,0,0.4
109,L.T. Walton,Pit,DT,6.8,0.4,0.1,0,0,0,0,0.4
110,Michael Pierce,Bal,DT,49.5,1.3,0.1,0.1,0,0,0,0.4
111,Zach Kerr,Den,DT,10.8,0.7,0.1,0.1,0,0,0,0.4
112,Tyson Alualu,Pit,DT,13.5,0.8,0.1,0.1,0,0,0,0.4
113,Bilal Nichols,Chi,DT,10.2,0.6,0.1,0.1,0,0,0,0.4
114,Akeem Spence,Mia,DT,32.2,2,0.5,0.3,0,0,0,0.4
115,Linval Joseph,Min,DT,69.8,3,0.7,0.5,0,0,0,0.4
116,Brian Price,Oak,DT,6.7,0.1,0,0,0,0,0,0.4
117,Ethan Westbrooks,LAR,DT,13.6,1,0.2,0.1,0,0,0,0.3
118,Eddie Goldman,Chi,DT,41.7,2.7,0.1,0.1,0,0,0,0.3
119,Tanzel Smart,LAR,DT,7,0.1,0,0,0,0,0,0.3
120,Ziggy Hood,Wsh,DT,8.3,0.3,0.1,0.1,0,0,0,0.3
121,Adam Butler,NE,DT,16.2,2.2,0.2,0.1,0,0,0,0.3
122,Eddie Vanderdoes,Oak,DT,15.5,0.4,0.2,0.1,0,0,0,0.3
123,Xavier Williams,KC,DT,31.5,0.6,0.4,0.3,0,0,0,0.3
124,Matt Ioannidis,Wsh,DT,22.3,2.7,0.7,0.4,0,0,0,0.3
125,Jarvis Jenkins,KC,DT,13.6,0.7,0.1,0.1,0,0,0,0.3
126,Andrew Billings,Cin,DT,22.5,0.4,0.1,0.1,0,0,0,0.3
127,Tom Johnson,Sea,DT,18.9,1.6,0.2,0.1,0.1,0,0,0.3
128,Treyvon Hester,Oak,DT,13.7,0.3,0.5,0.3,0,0,0,0.2
129,Kyle Love,Car,DT,10.6,0.9,0.1,0.1,0,0,0,0.2
130,D.J. Jones,SF,DT,3.8,0.1,0,0,0,0,0,0.2
131,Quinton Jefferson,Sea,DT,5,0.4,0,0,0,0,0,0.1
132,Mike Pennel,NYJ,DT,7,0.1,0.1,0.1,0,0,0,0.1
133,Datone Jones,Dal,DT,1.8,0.1,0,0,0,0,0,0.1
134,Jack Crawford,Atl,DT,6,0.5,0.1,0,0,0,0,0.1
135,Michael Bennett,Jax,DT,1,0.1,0,0,0,0,0,0.1
136,Carlos Watkins,Hou,DT,1.4,0,0,0,0,0,0,0.1
137,Folorunso Fatukasi,NYJ,DT,2.3,0.1,0,0,0,0,0,0.1
138,Jullian Taylor,SF,DT,1.4,0.1,0,0,0,0,0,0.1
139,Justin Zimmer,Atl,DT,1.4,0.1,0,0,0,0,0,0.1
140,Frostee Rucker,Oak,DT,1.1,0.1,0,0,0,0,0,0
141,Angelo Blackson,Hou,DT,0.6,0,0,0,0,0,0,0
142,Sebastian Joseph-Day,LAR,DT,0.7,0,0,0,0,0,0,0
143,Dan McCullers,Pit,DT,0.7,0,0,0,0,0,0,0
144,Lawrence Thomas,NYJ,DT,0.6,0,0,0,0,0,0,0
145,Patrick Ricard,Bal,DT,0.8,0,0,0,0,0,0,0
146,Montravius Adams,GB,DT,0.6,0,0,0,0,0,0,0
147,Eli Ankou,Jax,DT,0.8,0.1,0,0,0,0,0,0
148,Jonathan Babineaux,Atl,DT,0,0,0,0,0,0,0,0
149,Kedric Golston,Wsh,DT,0,0,0,0,0,0,0,0
150,Tony Dewayne McDaniel,NO,DT,0,0,0,0,0,0,0,0
151,Alan Branch,NE,DT,0,0,0,0,0,0,0,0
