PlayerID,Name,Team,Pos,1.39 Att,1.39 Make,40.49 Att,40.49 Make,XP Att,XP Make
1,Chris Boswell,Pit,K,19.7,19,10.9,9,41.7,40.7
2,Greg Zuerlein,LAR,K,20.5,19.4,11.4,9.2,42,39.9
3,Stephen Gostkowski,NE,K,18.8,17.7,10.5,8.4,50.5,47.8
4,Matt Bryant,Atl,K,18.3,17.7,10.2,8.4,42.2,40.9
5,Matt Prater,Det,K,18.4,18,10.3,8.6,38.2,37.6
6,Justin Tucker,Bal,K,18.6,18.4,10.4,9,32.3,32
7,Robbie Gould,SF,K,18.2,17.5,10.1,8.3,38.3,37.1
8,Harrison Butker,KC,K,19,17.9,10.6,8.4,37.9,35.9
9,Jake Elliott,Phi,K,17.5,16.8,9.8,8,41.1,39.6
10,Graham Gano,Car,K,18.3,17.2,10.2,8.2,37.9,36
11,Wil Lutz,NO,K,16.8,15.8,9.4,7.5,46.1,43.5
12,Daniel Carlson,Min,K,17.7,16.3,9.9,7.7,40.5,37.7
13,Adam Vinatieri,Ind,K,16.5,15.8,9.2,7.5,39.8,38.3
14,Ryan Succop,Ten,K,17,16,9.5,7.6,38.9,36.9
15,Mason Crosby,GB,K,16.5,15.1,9.2,7.1,44.5,40.8
16,Josh Lambo,Jax,K,16.8,15.8,9.4,7.5,36.7,34.8
17,Dustin Hopkins,Wsh,K,18.2,16.4,10.1,7.7,37.4,33.9
18,Chandler Catanzaro,TB,K,17.8,16.4,9.9,7.7,34.9,32.4
19,Cody Parkey,Chi,K,16.8,15.7,9.4,7.4,37.2,34.9
20,Sebastian Janikowski,Sea,K,16.9,15.5,9.4,7.3,37.8,34.8
21,Caleb Sturgis,LAC,K,16.7,15.1,9.3,7.1,40.3,36.6
22,Brett Maher,Dal,K,15.8,14.8,8.8,7,39,36.6
23,Zane Gonzalez,Cle,K,16.8,15.1,9.4,7.1,38,34.3
24,Stephen Hauschka,Buf,K,16.2,15.6,9,7.4,29.8,28.8
25,Aldrick Rosas,NYG,K,17.6,15.6,9.8,7.3,36.2,32.2
26,Randy Bullock,Cin,K,16,14.9,8.9,7.1,34.8,32.7
27,Brandon McManus,Den,K,17.3,15.6,9.6,7.3,33.4,30.1
28,Mike Nugent,Oak,K,16.8,14.9,9.3,7,36.8,32.9
29,Ka'imi Fairbairn,Hou,K,15.7,14.4,8.8,6.7,37.8,34.7
30,Phil Dawson,Ari,K,16,14.7,8.9,6.9,33.8,31.3
31,Jason Sanders,Mia,K,16,14.5,8.9,6.8,33.2,30.2
32,Jason Myers,NYJ,K,15.7,14.3,8.8,6.7,30.2,27.5
33,Nick Novak,LAC,K,0,0,0,0,0,0
34,Nick Folk,TB,K,0,0,0,0,0,0
35,Dan Carpenter,Buf,K,0,0,0,0,0,0
36,Connor Barth,Chi,K,0,0,0,0,0,0
37,Dan Bailey,FA,K,0,0,0,0,0,0
38,Kai Forbath,Min,K,0,0,0,0,0,0
39,Blair Walsh,Sea,K,0,0,0,0,0,0
40,Giorgio Tavecchio,Atl,K,0,0,0,0,0,0
