PlayerID,Name,Team,Pos,Tackles,Sack,FF,FR,Int,Int TD,Fum TD,Pass Def
1,Deion Jones,Atl,LB,129.3,0.6,0.8,0.5,2.1,0.2,0.1,10.8
2,Alec Ogletree,NYG,LB,113.5,1.1,1.5,1,1.1,0.1,0.1,9.5
3,Luke Kuechly,Car,LB,143.8,1.9,1.3,0.8,1.9,0.2,0.1,8.6
4,Blake Martinez,GB,LB,145.1,1.3,0.8,0.5,1,0.1,0.1,8
5,C.J. Mosley,Bal,LB,120.2,1.3,1.8,1.2,2,0.2,0.1,7.5
6,Telvin Smith,Jax,LB,127.1,1.4,1.3,0.8,1.9,0.2,0.1,7.4
7,Eric Kendricks,Min,LB,123.1,2.5,0.7,0.4,0.7,0.1,0,7.3
8,Danny Trevathan,Chi,LB,131.1,1.9,0.7,0.5,0.9,0.1,0,7.3
9,T.J. Watt,Pit,LB,61.1,7.1,1.2,0.8,0.5,0,0.2,7.1
10,Kwon Alexander,TB,LB,132.8,1.5,1.4,0.9,2,0.2,0.1,7
11,Jordan Hicks,Phi,LB,107.3,1.4,0.7,0.4,2.2,0.3,0,6.8
12,Zach Cunningham,Hou,LB,95.1,1.6,1.1,0.7,0.5,0.1,0.1,6.6
13,Anthony Barr,Min,LB,90.3,2,1.1,0.7,0.5,0.1,0.1,5.8
14,Derrick Johnson,Oak,LB,96.6,1.4,0.8,0.5,0.6,0.1,0.1,5.8
15,Justin Houston,KC,LB,62.9,10.5,1,0.7,0.4,0,0.1,5.7
16,De'Vondre Campbell,Atl,LB,87,1.5,1,0.7,0.5,0.1,0.1,5.7
17,Nigel Bradham,Phi,LB,89.5,1.6,1,0.7,0.6,0.1,0.1,5.6
18,Mark Barron,LAR,LB,111.3,1.1,0.7,0.4,1.7,0.2,0,5.5
19,Wesley Woodyard,Ten,LB,111.4,3.7,0.7,0.4,0.9,0.1,0,5.4
20,Myles Jack,Jax,LB,95.6,2.4,0.8,0.5,0.7,0.1,0,5.3
21,Vontaze Burfict,Cin,LB,97.7,1.7,1.1,0.7,1.2,0.1,0.1,5.2
22,Bobby Wagner,Sea,LB,142.4,2,0.7,0.4,0.9,0.1,0,5.1
23,Brandon Marshall,Den,LB,105.7,1.6,1.1,0.7,0.5,0.1,0.1,4.9
24,Lavonte David,TB,LB,117,1.9,2.5,1.6,0.8,0.1,0.2,4.6
25,Tahir Whitehead,Oak,LB,109.8,1,0.6,0.4,0.7,0.1,0,4.4
26,K.J. Wright,Sea,LB,106.8,1.3,1,0.6,0.5,0.1,0.1,4.3
27,Tremaine Edmunds,Buf,LB,113.6,1.6,0.7,0.5,0.7,0.1,0,4.2
