PlayerID,Name,Team,Pos,Punt,Avg,Blocks,In20,Punt TB
1,Andy Lee,Ari,P,79.2,46.9,0.2,30.2,6.5
2,Sam Koch,Bal,P,76.4,46,0.4,29.2,5.4
3,Dustin Colquitt,KC,P,70.8,45.4,0.2,30.9,5.8
4,Chris Jones,Dal,P,74.6,45.2,0.5,30.1,4.3
5,Marquette King,Den,P,76.7,46.4,0.5,27.8,5.6
6,Brett Kern,Ten,P,73.5,46.2,0.5,27.4,3.9
7,Matt Haack,Mia,P,79.7,45.1,0.2,28.5,5
8,Kevin Huber,Cin,P,78.7,46,0.3,28.5,5.5
9,Lachlan Edwards,NYJ,P,82.5,45.2,0.4,28.4,4.3
10,Bryan Anger,TB,P,73.7,46,0.5,26.1,5.3
11,Johnny Hekker,LAR,P,65.3,46.5,0.2,25.4,3.4
12,Johnny Townsend,Oak,P,75,45.4,0.3,27.1,4.8
13,Logan Cooke,Jax,P,75,45.4,0.3,27.1,4.8
14,Sam Martin,Det,P,71.2,46,0.2,25,5.4
15,Tress Way,Wsh,P,73.1,46,0.4,24.9,5.7
16,Colton Schmidt,Buf,P,83,44.5,0.1,27.7,4.9
17,Matt Bosher,Atl,P,68.1,46,0.7,26.5,3.6
18,Michael Dickson,Sea,P,73.1,45.4,0.3,26.4,4.6
19,Thomas Morstead,NO,P,66.9,46.7,0.1,24.1,4.7
20,Drew Kaser,LAC,P,72.7,46,0.2,25.8,5.5
21,Michael Palardy,Car,P,71.6,45.3,0.2,25.8,4.4
22,Rigoberto Sanchez,Ind,P,72.9,45.2,0.5,25.7,4
23,Pat O'Donnell,Chi,P,74.5,45,0.4,25.5,4.6
24,Cameron Johnston,Phi,P,68.8,45.4,0.3,24.9,4.4
25,Britton Colquitt,Cle,P,73.9,45.3,0.3,24.9,3.6
26,JK Scott,GB,P,67.7,45.4,0.3,24.5,4.3
27,Jordan Berry,Pit,P,64.8,44,0.3,25.2,3.4
28,Riley Dixon,NYG,P,72.9,45.6,0.7,24,4.2
29,Bradley Pinion,SF,P,71.6,44.2,0.1,24.7,3.2
30,Ryan Quigley,Min,P,70.4,44.4,0.7,24.5,4.3
31,Ryan Allen,NE,P,59.7,45.2,0.3,22.5,4.6
32,Shane Lechler,Hou,P,0,0,0,0,0
33,Donnie Jones,Phi,P,0,0,0,0,0
34,Jon Ryan,Buf,P,0,0,0,0,0
35,Brad Nortman,Jax,P,0,0,0,0,0
36,Drew Butler,Ari,P,0,0,0,0,0
37,Jeff Locke,SF,P,0,0,0,0,0
38,Brad Wing,NYG,P,0,0,0,0,0
39,Jacob Schum,GB,P,0,0,0,0,0
40,Matt Darr,Mia,P,0,0,0,0,0
