PlayerID,Name,Team,Pos,Pass Att,Pass Cmp,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds
1,Le'Veon Bell,Pit,RB,0,0,0,0,0,305.6,1314.1,9.9,79.5,638.2,3
2,Todd Gurley II,LAR,RB,0,0,0,0,0,283.6,1274.4,10.5,67.2,584,2.6
3,David Johnson,Ari,RB,0,0,0,0,0,266,1087.2,8.5,76.4,731.2,3
4,Ezekiel Elliott,Dal,RB,0,0,0,0,0,323.9,1403.6,11.4,47.1,393.6,1.4
5,Alvin Kamara,NO,RB,0,0,0,0,0,186,842.6,7.6,74.1,702.4,2.8
6,Saquon Barkley,NYG,RB,0,0,0,0,0,250.2,1098.8,7.2,59.9,530.4,2.7
7,Melvin Gordon,LAC,RB,0,0,0,0,0,267.7,1040.1,6.5,60.1,498.1,2.3
8,Dalvin Cook,Min,RB,0,0,0,0,0,259.6,1101,6.6,54,500.2,2
9,Christian McCaffrey,Car,RB,0,0,0,0,0,198.2,793.2,5.2,71.3,619.4,2.8
10,Leonard Fournette,Jax,RB,0,0,0,0,0,309.9,1202.2,10.1,39.7,325.4,1
11,Kareem Hunt,KC,RB,0,0,0,0,0,236.2,998.7,8,55.3,445.6,1.9
12,LeSean McCoy,Buf,RB,0,0,0,0,0,243.8,1098,5.9,55.8,438,1.5
13,Devonta Freeman,Atl,RB,0,0,0,0,0,223.2,938.9,8.6,42.1,360.8,1.9
14,Joe Mixon,Cin,RB,0,0,0,0,0,226.9,891.9,5.9,42.4,341.8,1.2
15,Royce Freeman,Den,RB,0,0,0,0,0,235.3,994.1,6.2,35.4,283.6,0.8
16,Jordan Howard,Chi,RB,0,0,0,0,0,239.2,1022.9,7.3,29.1,233.1,1
17,Kenyan Drake,Mia,RB,0,0,0,0,0,194.3,848.4,5.6,43.2,329.8,1.2
18,Alex Collins,Bal,RB,0,0,0,0,0,239.2,1022.2,5.8,30.1,235.7,0.7
19,Derrick Henry,Ten,RB,0,0,0,0,0,218.6,921.7,7,23.7,204.3,0.8
20,Marshawn Lynch,Oak,RB,0,0,0,0,0,181.8,788.9,6.4,30.9,241.9,0.9
21,Mark Ingram II,NO,RB,0,0,0,0,0,152.6,696.5,6.1,35.6,262.2,1.4
22,Rex Burkhead,NE,RB,0,0,0,0,0,149.3,628.7,5.5,36.1,312.9,1.6
23,Dion Lewis,Ten,RB,0,0,0,0,0,132,573.6,3.7,46.2,374.1,1.6
24,Lamar Miller,Hou,RB,0,0,0,0,0,208.3,808.2,4.8,31.4,242.6,1.1
25,Alfred Morris,SF,RB,0,0,0,0,0,193.3,829.2,6.2,26.4,213.9,0.7
26,Jay Ajayi,Phi,RB,0,0,0,0,0,224.4,959.3,5.3,21.5,167.4,0.7
27,Duke Johnson Jr.,Cle,RB,0,0,0,0,0,75.7,318.6,2,59.3,542.1,1.6
28,Tevin Coleman,Atl,RB,0,0,0,0,0,142.1,590.2,4.4,35.8,332.2,1.6
29,Isaiah Crowell,NYJ,RB,0,0,0,0,0,177.8,743.2,4.6,29.4,230.3,0.8
30,Tarik Cohen,Chi,RB,0,0,0,0,0,79.7,327.6,2.5,55,443.2,1.8
31,Chris Thompson,Wsh,RB,0,0,0,0,0,72.8,319.5,2,54.8,474.1,1.9
32,Kerryon Johnson,Det,RB,0,0,0,0,0,166.4,676.4,4.2,29.6,240.1,0.9
33,Marlon Mack,Ind,RB,0,0,0,0,0,148.3,596.6,4.3,29.7,245.9,1.1
34,James White,NE,RB,0,0,0,0,0,48.6,196.3,1.9,54.1,445.6,2.8
35,Carlos Hyde,Cle,RB,0,0,0,0,0,194.2,775.5,6.4,15.3,109.4,0.6
36,Matt Breida,SF,RB,0,0,0,0,0,126.2,527.8,3.8,33.9,286,1.1
37,Peyton Barber,TB,RB,0,0,0,0,0,176.9,718.2,4,23.4,182.2,0.7
38,Rashaad Penny,Sea,RB,0,0,0,0,0,153.7,655.1,4.3,24.8,206.1,0.9
39,Chris Carson,Sea,RB,0,0,0,0,0,166.5,679.9,4.2,22,176.3,0.9
