PlayerID,Name,Team,Pos,Pass Att,Pass Cmp,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,Rec,Rec Yds,Rec Tds
1,Antonio Brown,Pit,WR,0,0,0,0,0,0,0,0,110.7,1583.7,8.6
2,Julio Jones,Atl,WR,0,0,0,0,0,2,12.4,0.1,94.5,1488.8,7.8
3,DeAndre Hopkins,Hou,WR,0,0,0,0,0,0,0,0,94.3,1320.3,9.2
4,Keenan Allen,LAC,WR,0,0,0,0,0,2.1,12.7,0,101.3,1305.4,7.9
5,Michael Thomas,NO,WR,0,0,0,0,0,0,0,0,100.3,1270,8.5
6,Odell Beckham Jr.,NYG,WR,0,0,0,0,0,3.5,20.6,0.1,98.8,1292.9,7.8
7,A.J. Green,Cin,WR,0,0,0,0,0,0,0,0,89.7,1298.4,8
8,Davante Adams,GB,WR,0,0,0,0,0,0,0,0,86.1,1085,9.5
9,Larry Fitzgerald,Ari,WR,0,0,0,0,0,0,0,0,103.8,1058.7,5.5
10,T.Y. Hilton,Ind,WR,0,0,0,0,0,0,0,0,75.1,1248.4,7
11,Adam Thielen,Min,WR,0,0,0,0,0,2.1,12.9,0,82.3,1142.1,6.5
12,Mike Evans,TB,WR,0,0,0,0,0,0,0,0,76,1064.2,8.4
13,Tyreek Hill,KC,WR,0,0,0,0,0,18.2,122.7,0.6,80,1036.2,4.8
14,Demaryius Thomas,Den,WR,0,0,0,0,0,0,0,0,88.2,1026.6,6.2
15,Stefon Diggs,Min,WR,0,0,0,0,0,8.3,47.2,0.2,82.7,1044.6,5.8
16,Doug Baldwin,Sea,WR,0,0,0,0,0,4.1,22.5,0.1,80.2,1032.1,6.3
17,Amari Cooper,Oak,WR,0,0,0,0,0,1.8,11.3,0,80.2,1061.6,5.8
18,Allen Robinson,Chi,WR,0,0,0,0,0,0,0,0,72.5,1044.4,7.5
19,Golden Tate,Det,WR,0,0,0,0,0,5.3,28.2,0.1,89,990.8,4.2
20,Jarvis Landry,Cle,WR,0,0,0,0,0,1.9,10.3,0,89.3,892.8,5
21,Marvin Jones Jr.,Det,WR,0,0,0,0,0,0,0,0,61.8,988.1,7.4
22,Josh Gordon,Cle,WR,0,0,0,0,0,1.9,11.7,0,62.8,992.7,6.3
23,JuJu Smith-Schuster,Pit,WR,0,0,0,0,0,0,0,0,71.5,918.4,6.1
24,Chris Hogan,NE,WR,0,0,0,0,0,5.2,32.2,0.2,60.7,913.8,7.1
25,Corey Davis,Ten,WR,0,0,0,0,0,0,0,0,71.8,907,5.8
26,Brandin Cooks,LAR,WR,0,0,0,0,0,8.2,46.8,0.3,63.7,947.6,5.3
27,Michael Crabtree,Bal,WR,0,0,0,0,0,0,0,0,77.3,827.7,5.9
28,Emmanuel Sanders,Den,WR,0,0,0,0,0,0,0,0,70.1,910.2,5.1
29,Robert Woods,LAR,WR,0,0,0,0,0,2.1,12.7,0.1,70.4,889.4,4.9
30,Marquise Goodwin,SF,WR,0,0,0,0,0,3.9,23.8,0.1,58.7,947.5,5.7
31,Pierre Garcon,SF,WR,0,0,0,0,0,0,0,0,72.5,927.7,4.2
32,Sammy Watkins,KC,WR,0,0,0,0,0,0,0,0,60.6,953.6,5.5
33,Sterling Shepard,NYG,WR,0,0,0,0,0,4.2,26.2,0.1,71.4,822.8,5.1
34,Robby Anderson,NYJ,WR,0,0,0,0,0,3.9,24.2,0.1,65.3,929.2,4.4
35,Devin Funchess,Car,WR,0,0,0,0,0,0,0,0,61,880.7,6.2
36,Cooper Kupp,LAR,WR,0,0,0,0,0,0,0,0,66.5,835.8,5.9
37,Jordy Nelson,Oak,WR,0,0,0,0,0,3.6,22.5,0.1,68.5,807,5.5
38,Jamison Crowder,Wsh,WR,0,0,0,0,0,7.3,41.1,0.2,70.7,840.9,4.1
39,Kenny Stills,Mia,WR,0,0,0,0,0,0,0,0,60.1,901.7,4.8
40,Kelvin Benjamin,Buf,WR,0,0,0,0,0,0,0,0,63,897.3,4.2
41,Will Fuller V,Hou,WR,0,0,0,0,0,4.5,28,0.1,55.6,792.6,5.7
42,Mohamed Sanu,Atl,WR,0,0,0,0,0,4.1,23.4,0.1,64.5,741.3,5.1
43,Randall Cobb,GB,WR,0,0,0,0,0,11.4,67.8,0.3,64.4,699.6,4.6
44,Josh Doctson,Wsh,WR,0,0,0,0,0,0,0,0,54.9,783,6.2
45,Nelson Agholor,Phi,WR,0,0,0,0,0,8.4,49.8,0.2,61,723.2,5
46,Alshon Jeffery,Phi,WR,0,0,0,0,0,0,0,0,52.2,769.9,6.5
