Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
1,"Collins, Landon",NYG,DB,85.,25.8,2.2,11.4,3.6,0.4,0.4,0.2,0.,0.,119.6
2,"Jones, Reshad",MIA,DB,86.,29.5,1.6,7.3,3.,0.4,0.4,0.2,0.,0.,116.4
3,"Baker, Budda",ARZ,DB,85.,22.4,1.4,11.8,2.,1.7,1.1,0.2,3.2,0.,116.1
4,"Neal, Keanu",ATL,DB,83.3,31.,0.,7.5,0.8,3.5,2.5,0.,0.,0.,113.9
5,"Coleman, Kurt",NOR,DB,75.,29.3,1.2,14.,3.6,0.7,0.7,0.,0.,0.,113.4
6,"Geathers, Clayton",IND,DB,72.,20.9,0.,12.7,3.4,1.5,0.6,0.,0.,0.,104.
7,"Byard, Kevin",TEN,DB,72.,19.9,0.,11.4,5.,0.,0.,0.,0.,0.,103.4
8,"Smith, Harrison",MIN,DB,75.,20.7,2.6,7.8,2.5,0.,0.,0.,0.,0.,100.6
9,"Hyde, Micah",BUF,DB,71.,19.,0.,12.3,3.8,0.,0.,0.,39.,0.,100.5
10,"Berry, Eric",KCC,DB,65.,15.2,0.9,13.3,5.7,1.1,0.,0.3,0.,0.,99.4
11,"Burnett, Morgan",PIT,DB,72.,23.4,4.,6.2,1.3,1.8,0.3,0.,0.,0.,98.6
12,"Poyer, Jordan",BUF,DB,61.,30.6,0.9,10.9,5.1,0.,0.,0.2,0.,0.,98.4
13,"Amos, Adrian",CHI,DB,79.,12.,0.,5.3,1.5,1.4,1.4,0.2,0.,0.,96.
14,"Tartt, Jaquiski",SFO,DB,74.,19.3,0.5,7.,2.3,0.,0.,0.2,0.,0.,95.8
15,"James, Derwin",LAC,DB,63.,15.,0.9,13.3,5.4,0.,0.,0.2,0.,12.,95.5
16,"McDougald, Bradley",SEA,DB,69.,23.4,0.,8.7,2.2,0.9,0.,0.,0.,0.,94.7
17,"Jenkins, Malcolm",PHI,DB,68.,23.4,0.6,7.8,2.4,0.9,0.9,0.3,0.,0.,94.6
18,"Johnson, John",LAR,DB,66.,24.,0.3,12.,1.6,0.,0.,0.2,0.,0.,93.6
19,"Adams, Jamal",NYJ,DB,69.,22.4,1.4,7.1,0.6,1.5,1.5,0.,0.,0.,92.9
20,"Bethea, Antoine",ARZ,DB,65.,11.9,1.2,9.3,4.9,1.2,0.,0.,14.4,0.,92.5
21,"Davis, Sean",PIT,DB,67.,23.1,0.7,7.3,2.3,0.7,0.3,0.,0.,0.,92.1
22,"Vaccaro, Kenny",TEN,DB,69.3,16.4,1.1,9.4,1.6,1.,0.,0.,57.3,25.6,92.1
23,"Quin, Glover",DET,DB,67.,26.1,0.5,5.6,1.5,2.9,0.,0.2,0.,0.,92.1
24,"Lattimore, Marshon",NOR,DB,54.,12.9,0.5,20.,5.,0.7,0.,0.2,0.,0.,91.7
25,"Jones, Byron",DAL,DB,65.2,21.6,0.,9.2,2.,2.,0.,0.2,0.,0.,91.2
26,"Ramsey, Jalen",JAC,DB,58.,11.6,0.,17.8,4.5,0.6,0.,0.2,0.,0.,91.2
27,"Jefferson, Tony",BAL,DB,68.,25.5,2.3,4.6,1.5,0.,0.,0.,0.,0.,90.6
28,"Mathieu, Tyrann",HOU,DB,66.,14.4,1.1,7.7,3.2,1.9,0.,0.2,0.,0.,90.3
29,"Brice, Kentrell",GBP,DB,62.,16.7,0.3,11.9,3.3,0.,0.,0.,16.8,0.,89.2
30,"Evans, Justin",TBB,DB,65.,14.4,0.,9.3,3.8,0.,0.,0.1,0.,0.,89.1
31,"Jackson, Kareem",HOU,DB,60.,20.,0.1,12.,3.,0.7,0.,0.,0.,0.,88.8
32,"Church, Barry",JAC,DB,63.,19.7,1.2,7.4,3.2,0.2,0.,0.2,0.,0.,88.
33,"Peters, Marcus",LAR,DB,61.,8.3,0.,11.6,2.8,3.4,1.9,0.1,0.,0.,87.7
34,"Sendejo, Andrew",MIN,DB,57.,26.1,0.3,10.2,3.3,0.,0.,0.,0.,0.,87.1
35,"Ward, Denzel",CLE,DB,59.3,15.6,0.,12.2,3.,1.3,0.,0.,25.1,69.3,86.7
36,"McCourty, Devin",NEP,DB,70.,15.,0.8,5.4,1.1,0.4,0.2,0.,-0.2,10.5,86.5
37,"Ryan, Logan",TEN,DB,65.1,17.2,0.,10.3,1.3,0.,0.,0.,0.,0.,86.5
38,"Grimes, Brent",TBB,DB,54.,8.6,0.,19.1,3.8,0.7,0.7,0.2,0.,0.,86.3
39,"Darby, Ronald",PHI,DB,58.,10.,0.,18.9,2.1,0.,0.,0.,0.,0.,86.1
40,"Weddle, Eric",BAL,DB,52.,19.1,1.1,9.3,5.6,1.5,0.5,0.2,0.,1.4,85.2
41,"Parker, Ron",KCC,DB,68.7,12.3,0.3,5.5,2.,0.,0.,0.,0.,0.,84.8
42,"Farley, Matthias",IND,DB,55.1,30.,0.,9.5,1.8,0.8,0.8,0.,0.,0.,84.8
43,"Thomas, Earl",SEA,DB,57.,34.2,0.,7.6,1.1,0.3,0.3,0.1,0.,0.,84.5
44,"Wilson, Tavon",DET,DB,60.,14.7,2.,7.9,2.9,0.9,0.6,0.,0.,0.,84.4
45,"Mills, Jalen",PHI,DB,55.,13.1,0.6,15.5,3.2,0.,0.,0.2,0.,0.,84.1
46,"Harris, Erik",OAK,DB,62.,12.5,0.4,8.4,2.5,0.5,0.4,0.,0.,0.,82.8
47,"Griffin, Shaq",SEA,DB,56.4,11.3,1.5,15.7,1.7,0.,0.,0.,0.,0.,82.7
48,"Jackson, Eddie",CHI,DB,61.,17.4,0.2,5.6,2.,1.4,1.4,0.1,4.4,0.,82.3
49,"Conte, Chris",TBB,DB,62.,13.,0.,7.9,1.4,2.1,0.5,0.2,4.8,0.,81.7
50,"Stewart, Darian",DEN,DB,57.2,13.7,0.,7.3,4.1,1.,0.7,0.,0.,0.,81.2
