Rank,Player,Team,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Belichick, Bill",NEP,HC,15.,1.,495.,7.6,309.8
2,"Lynn, Anthony",LAC,HC,12.,4.,478.,8.2,289.5
3,"Payton, Sean",NOR,HC,11.,5.,473.,6.3,282.4
4,"Zimmer, Mike",MIN,HC,13.,3.,452.,5.3,279.6
5,"Harbaugh, John",BAL,HC,11.,5.,455.,4.9,273.
6,"Marrone, Doug",JAC,HC,12.,4.,437.,5.4,268.1
7,"Quinn, Dan",ATL,HC,10.,6.,433.,4.9,258.
8,"Pederson, Doug",PHI,HC,11.,5.,421.,5.1,256.
9,"McVay, Sean",LAR,HC,10.,6.,403.,2.6,242.3
10,"Tomlin, Mike",PIT,HC,8.,8.,419.,0.9,241.8
11,"Reid, Andy",KCC,HC,9.,7.,393.,3.3,233.5
12,"Garrett, Jason",DAL,HC,10.,6.,368.,1.3,224.4
13,"Patricia, Matt",DET,HC,8.,8.,377.,-0.6,220.3
14,"Carroll, Pete",SEA,HC,6.,10.,384.,-0.2,215.9
15,"Rivera, Ron",CAR,HC,6.,10.,383.,-0.6,215.3
16,"McCarthy, Mike",GBP,HC,7.,9.,375.,-2.4,214.8
17,"Gruden, Jon",OAK,HC,8.,8.,362.,-1.1,212.7
18,"Gruden, Jay",WAS,HC,8.,8.,361.,-0.8,212.3
19,"Shanahan, Kyle",SFO,HC,8.,8.,359.,0.5,211.7
20,"Koetter, Dirk",TBB,HC,7.,9.,367.,-0.5,211.4
21,"Lewis, Marvin",CIN,HC,5.,11.,384.,-3.4,211.
22,"Reich, Frank",IND,HC,9.,7.,346.,0.9,209.3
23,"Vrabel, Mike",TEN,HC,7.,9.,355.,-1.8,205.
24,"Joseph, Vance",DEN,HC,5.,11.,370.,-1.,204.7
25,"McDermott, Sean",BUF,HC,9.,7.,335.,-1.1,203.2
26,"Bowles, Todd",NYJ,HC,7.,9.,338.,-2.4,196.3
27,"Campbell, Dan",MIA,HC,4.,12.,351.,-5.7,189.8
28,"O'Brien, Bill",HOU,HC,4.,12.,341.,-6.8,184.5
29,"Shurmer, Pat",NYG,HC,4.,12.,340.,-5.4,184.4
30,"Wilks, Steve",ARZ,HC,7.,9.,308.,-3.2,181.
31,"Nagy, Matt",CHI,HC,6.,10.,292.,-2.9,169.1
32,"Jackson, Hue",CLE,HC,1.,15.,299.,-11.8,150.
