Rank,Player,Team,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Tucker, Justin",BAL,K,36.8,36.8,36.4,38.,0.,5.2,12.,12.7,6.5,1.7,166.7
2,"Gould, Robbie",SFO,K,30.7,33.3,33.,35.,0.,6.4,10.1,13.3,3.1,2.,143.1
3,"Lutz, Wil",NOR,K,49.8,51.8,28.2,32.8,0.4,7.6,5.8,10.2,4.1,4.6,139.
4,"Boswell, Chris",PIT,K,40.1,42.2,30.7,33.5,0.,7.2,12.1,8.7,2.8,2.8,138.2
5,"Butker, Harrison",KCC,K,35.8,36.5,35.2,41.,0.,8.6,16.,7.4,3.3,5.8,138.2
6,"Elliott, Jake",PHI,K,37.8,42.1,29.8,33.8,0.,8.,7.2,10.5,4.2,4.,134.3
7,"Prater, Matt",DET,K,34.8,35.5,30.4,35.3,1.1,7.1,7.5,7.8,7.,4.8,133.4
8,"Gano, Graham",CAR,K,32.8,35.7,29.9,33.,0.,7.8,9.6,10.8,1.7,3.1,127.5
9,"Vinatieri, Adam",IND,K,32.7,33.8,29.4,34.,0.,8.,7.8,7.9,5.7,4.5,126.8
10,"Bryant, Matt",ATL,K,34.8,35.5,27.4,31.,0.5,6.3,7.3,6.8,6.6,3.7,125.7
11,"Zuerlein, Greg",LAR,K,35.,36.9,27.,29.1,0.4,6.6,9.8,6.1,4.1,2.,124.3
12,"Succop, Ryan",TEN,K,34.2,36.3,27.3,31.4,0.4,6.6,6.7,11.1,2.4,4.1,119.8
13,"Hauschka, Steven",BUF,K,28.1,30.2,29.5,33.4,0.,8.,11.2,6.4,3.9,3.9,119.1
14,"Gostkowski, Stephen",NEP,K,39.,42.1,26.6,30.6,0.4,10.,6.8,7.8,1.7,4.,118.2
15,"Lambo, Josh",JAC,K,37.8,40.3,25.3,29.2,0.,3.1,10.,9.,3.1,3.9,117.
16,"Dawson, Phil",ARZ,K,26.9,30.5,30.4,37.,1.2,5.8,10.3,9.2,3.9,6.5,115.6
17,"Myers, Jason",NYJ,K,30.3,31.8,30.1,37.8,0.6,8.3,6.3,12.5,2.5,7.7,115.
18,"Hopkins, Dustin",WAS,K,36.1,38.6,27.9,34.7,0.5,12.8,7.1,5.5,1.9,6.8,108.6
19,"Carlson, Daniel",MIN,K,32.1,37.1,26.1,31.3,0.4,7.2,9.9,5.5,3.2,5.3,106.3
20,"Maher, Brett",DAL,K,38.4,39.3,23.6,30.3,0.9,6.3,6.9,6.9,2.6,6.7,101.1
21,"McManus, Brandon",DEN,K,28.5,28.9,25.3,31.1,0.,6.,11.,5.6,2.6,5.8,97.5
22,"Catanzaro, Chandler",TBB,K,27.5,28.6,24.5,30.2,0.6,6.5,6.,9.6,1.8,5.8,96.7
23,"Sanders, Jason",MIA,K,34.8,36.6,19.1,21.6,0.,7.4,6.7,4.6,0.4,2.4,90.3
24,"Bailey, Dan",FA,K,33.5,34.8,18.3,23.1,1.1,2.6,4.9,4.,5.7,4.8,89.7
25,"Crosby, Mason",GBP,K,37.,39.2,19.1,23.3,0.4,6.1,6.9,4.2,1.4,4.2,88.6
26,"Bullock, Randy",CIN,K,31.,33.7,18.9,21.8,0.,7.,7.2,4.1,0.7,2.8,84.7
27,"Nugent, Mike",OAK,K,28.9,32.9,19.4,23.4,0.,4.8,6.7,6.5,1.4,4.,84.4
28,"Parkey, Cody",CHI,K,27.4,30.4,18.6,21.4,0.3,5.5,5.1,6.5,1.1,2.8,83.5
29,"Rosas, Aldrick",NYG,K,21.7,25.7,18.4,23.9,0.2,8.1,3.4,4.3,2.4,5.5,69.7
30,"Gonzalez, Zane",CLE,K,24.2,25.4,16.,19.9,0.,5.3,4.3,4.7,1.7,3.9,68.6
31,"Fairbairn, Ka'imi",HOU,K,22.2,24.5,17.5,24.,0.2,3.6,6.3,4.8,2.6,6.6,65.
32,"Janikowski, Sebastian",SEA,K,29.7,30.3,13.6,18.4,0.,3.9,4.7,5.1,0.,4.8,61.3
33,"Sturgis, Caleb",LAC,K,23.1,27.4,15.9,22.6,0.,7.7,4.,2.5,1.7,6.7,56.8
34,"Rose, Nick",FA,K,23.,27.1,10.1,12.8,0.,5.2,3.6,1.1,0.1,2.7,46.6
35,"Aguayo, Roberto",FA,K,18.4,18.4,10.9,13.,0.,4.,5.9,1.,0.,2.1,46.
36,"Ficken, Sam",FA,K,7.5,10.,0.2,2.6,0.,0.2,0.,0.,0.,2.4,0.8
37,"Koehn, Marshall",FA,K,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
