Rank,Player,Team,Position,Rush,Rush Yds,Rush TDs,0-9 RushTDs,10-19 RushTDs,20-29 RushTDs,30-39 RushTDs,40-49 RushTDs,50+ RushTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rec,Rec Yds,Rec TDs,>= 50yds,>= 100yds,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Gurley, Todd",LAR,RB,295.2,1276.1,11.3,9.4,0.6,0.5,0.,0.,0.8,13.8,2.6,0.9,0.3,63.5,641.2,3.5,2.6,1.3,1.9,0.8,1.,37.7,278.5
2,"Elliott, Ezekiel",DAL,RB,329.8,1527.7,12.2,7.5,2.9,0.3,0.5,0.,1.1,14.1,10.4,1.,0.4,39.7,419.7,1.9,1.7,0.8,0.,0.,0.7,28.7,278.2
3,"Johnson, David",ARZ,RB,285.8,1192.8,12.4,10.1,0.7,1.,0.,0.,0.7,14.2,2.4,0.8,0.3,71.6,730.5,2.3,2.9,1.5,2.7,18.5,3.1,35.,274.4
4,"Bell, Le'Veon",PIT,RB,266.,1149.,8.1,6.9,1.2,0.,0.,0.,0.,12.6,2.3,0.8,0.3,72.9,586.4,2.7,2.3,1.2,0.,0.,2.,23.9,234.7
5,"Kamara, Alvin",NOR,RB,160.5,810.3,9.7,6.5,0.2,1.8,0.4,0.,0.7,7.7,1.6,0.5,0.2,71.9,719.,4.1,3.4,1.4,0.,391.,1.4,31.1,232.4
6,"Fournette, Leonard",JAC,RB,300.3,1167.6,11.2,8.9,0.7,0.,0.,0.,1.6,12.7,2.8,0.8,0.3,44.3,370.8,0.8,1.5,0.7,0.,24.4,0.6,25.6,224.9
7,"Cook, Dalvin",MIN,RB,229.4,1017.7,9.5,8.4,0.4,0.3,0.,0.,0.4,12.7,2.,0.7,0.3,53.6,422.1,1.7,1.7,0.8,0.,18.6,1.4,29.2,208.1
8,"Hunt, Kareem",KCC,RB,250.8,1150.3,7.3,5.1,0.,0.,1.1,0.,1.1,14.7,2.3,0.8,0.3,46.8,359.4,2.1,1.4,0.7,0.,0.,1.2,26.4,204.9
9,"Barkley, Saquon",NYG,RB,261.8,1152.8,5.6,3.7,0.,0.5,0.,0.,1.4,4.6,2.3,0.8,0.3,70.1,437.5,1.1,1.7,0.9,0.,19.6,1.4,18.8,196.4
10,"Howard, Jordan",CHI,RB,280.3,1255.2,8.2,5.7,1.8,0.8,0.,0.,0.,15.1,2.5,0.8,0.3,24.,186.5,0.5,0.7,0.4,0.,0.,0.8,22.1,194.8
