Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Burfict, Vontaze",CIN,DEN,LB,6.4,2.6,0.2,0.4,0.,0.1,0.,0.,8.4
2,"Smith, Telvin",JAC,IND,LB,6.4,1.6,0.1,0.4,0.2,0.1,0.1,0.,8.2
3,"Martinez, Blake",GBP,ARZ,LB,5.6,3.1,0.1,0.6,0.1,0.1,0.1,0.,8.1
4,"Wagner, Bobby",SEA,SFO,LB,5.6,3.7,0.1,0.3,0.1,0.,0.,0.,8.1
5,"Jones, Deion",ATL,BAL,LB,5.5,2.6,0.,0.7,0.2,0.1,0.,0.,8.
6,"Lee, Sean",DAL,NOR,LB,6.1,2.9,0.,0.1,0.,0.,0.,0.,7.7
7,"Kuechly, Luke",CAR,@TBB,LB,5.2,3.,0.1,0.4,0.2,0.1,0.1,0.,7.7
8,"Mack, Khalil",CHI,@NYG,LB,5.5,2.1,0.6,0.2,0.,0.1,0.1,0.,7.6
9,"Wright, K.J.",SEA,SFO,LB,4.8,3.,0.1,0.5,0.1,0.,0.,0.,7.1
10,"Brown, Preston",CIN,DEN,LB,5.,3.2,0.1,0.2,0.1,0.,0.,0.,7.1
11,"Mosley, C.J.",BAL,@ATL,LB,4.8,2.2,0.,0.5,0.2,0.2,0.1,0.,7.
12,"Alexander, Kwon",TBB,CAR,LB,5.2,1.8,0.1,0.4,0.1,0.1,0.,0.,6.9
13,"Brown, Zach",WAS,@PHI,LB,5.2,2.3,0.2,0.2,0.,0.,0.,0.,6.8
14,"Trevathan, Danny",CHI,@NYG,LB,4.6,2.3,0.2,0.4,0.1,0.1,0.1,0.,6.6
15,"Foster, Reuben",SFO,@SEA,LB,5.3,1.5,0.1,0.1,0.1,0.1,0.,0.,6.4
16,"Jack, Myles",JAC,IND,LB,4.7,1.7,0.2,0.4,0.1,0.1,0.1,0.,6.4
17,"Bucannon, Deone",ARZ,@GBP,LB,4.8,2.,0.1,0.3,0.,0.1,0.,0.,6.4
18,"Kirksey, Christian",CLE,@HOU,LB,4.6,2.6,0.1,0.3,0.,0.1,0.,0.,6.4
19,"Williams, Vince",PIT,LAC,LB,4.6,1.6,0.4,0.2,0.1,0.,0.,0.,6.3
20,"Ogletree, Alec",NYG,CHI,LB,4.2,2.1,0.1,0.6,0.1,0.1,0.,0.,6.3
21,"Williamson, Avery",NYJ,@TEN,LB,4.2,2.9,0.2,0.2,0.,0.1,0.,0.,6.3
22,"Schobert, Joe",CLE,@HOU,LB,4.3,2.9,0.2,0.2,0.,0.1,0.,0.,6.3
23,"Foster, Mason",WAS,@PHI,LB,4.5,2.2,0.2,0.2,0.,0.1,0.1,0.,6.2
24,"David, Lavonte",TBB,CAR,LB,4.6,1.7,0.1,0.1,0.,0.2,0.2,0.,6.2
25,"Kendricks, Eric",MIN,@NEP,LB,4.2,2.6,0.1,0.5,0.1,0.,0.,0.,6.1
26,"Barron, Mark",LAR,@DET,LB,4.6,1.4,0.1,0.4,0.1,0.,0.,0.,6.1
27,"Leonard, Darius",IND,@JAC,LB,4.3,2.3,0.3,0.1,0.,0.1,0.1,0.,6.
