Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Allen, Keenan",LAC,@PIT,WR,10.6,1.6,6.5,91.2,0.5,0.2,0.,0.,0.,0.1,0.,0.4,0.,0.3,0.,0.,1.5,11.9
2,"Evans, Mike",TBB,CAR,WR,11.5,1.5,5.8,81.,0.5,0.2,0.1,0.1,0.1,0.1,0.,0.,0.,0.,0.,0.,1.2,11.4
3,"Hopkins, DeAndre",HOU,CLE,WR,11.9,1.2,5.7,78.7,0.6,0.3,0.,0.1,0.1,0.,0.,0.,0.,0.,1.,0.,1.1,11.1
4,"Brown, Antonio",PIT,LAC,WR,8.4,1.2,5.2,75.3,0.6,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.,4.4,4.,0.,1.1,11.
5,"Thomas, Michael",NOR,@DAL,WR,8.9,1.3,6.1,78.5,0.5,0.3,0.1,0.,0.,0.,0.,0.1,0.,0.,0.,0.,1.,10.8
6,"Beckham, Odell",NYG,CHI,WR,11.,1.2,6.1,74.1,0.5,0.2,0.1,0.,0.,0.,0.1,0.7,0.,2.6,2.7,0.,1.,10.7
7,"Adams, Davante",GBP,ARZ,WR,7.8,1.3,4.9,54.7,0.7,0.3,0.3,0.1,0.,0.,0.1,2.6,0.,0.,0.7,0.,1.1,10.6
8,"Edelman, Julian",NEP,MIN,WR,9.8,1.,5.9,78.9,0.4,0.2,0.1,0.,0.,0.,0.,2.,0.,8.7,0.8,0.1,0.8,10.4
9,"Jones, Julio",ATL,BAL,WR,9.1,1.3,5.5,84.4,0.3,0.2,0.,0.,0.,0.,0.1,0.5,0.,0.,0.,0.,1.,10.1
10,"Jones, Marvin",DET,LAR,WR,7.3,0.9,4.5,69.,0.5,0.2,0.,0.1,0.,0.1,0.,0.4,0.,0.3,0.,0.,0.7,10.
11,"Green, A.J.",CIN,DEN,WR,10.2,1.2,5.2,73.6,0.4,0.2,0.2,0.,0.,0.,0.1,0.1,0.,0.,0.,0.1,0.9,9.8
12,"Landry, Jarvis",CLE,@HOU,WR,10.4,1.3,6.4,67.6,0.5,0.4,0.,0.,0.,0.,0.1,-0.2,0.,3.,-0.2,0.1,1.,9.8
13,"Hill, Tyreek",KCC,@OAK,WR,6.9,0.5,4.8,66.7,0.3,0.,0.,0.,0.1,0.,0.2,7.7,0.1,15.8,8.3,0.,0.7,9.6
14,"Cooks, Brandin",LAR,@DET,WR,6.7,1.,3.9,60.,0.5,0.3,0.1,0.,0.,0.,0.1,1.6,0.,0.,0.,0.,0.9,9.3
15,"Hilton, T.Y.",IND,@JAC,WR,9.1,0.8,4.8,73.9,0.3,0.1,0.,0.,0.1,0.1,0.1,0.,0.,0.1,0.1,0.,0.7,9.2
16,"Robinson, Allen",CHI,@NYG,WR,8.6,0.9,5.,76.4,0.2,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,2.6,0.,0.7,9.1
17,"Baldwin, Doug",SEA,SFO,WR,7.1,0.8,4.5,59.6,0.5,0.1,0.1,0.2,0.1,0.,0.,-0.2,0.,0.,0.,0.,1.,8.9
18,"Hogan, Chris",NEP,MIN,WR,6.,1.,3.9,57.8,0.5,0.3,0.1,0.1,0.,0.,0.,1.2,0.,3.4,0.,0.,0.9,8.8
19,"Cooper, Amari",OAK,KCC,WR,8.4,1.,4.2,58.1,0.5,0.2,0.,0.,0.1,0.,0.1,0.2,0.,0.,0.,0.,1.2,8.7
20,"Fitzgerald, Larry",ARZ,@GBP,WR,10.1,1.2,6.6,66.3,0.4,0.1,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.1,1.,8.7
21,"Diggs, Stefon",MIN,@NEP,WR,8.5,1.,5.4,61.2,0.4,0.2,0.1,0.1,0.,0.,0.1,0.9,0.,1.3,0.,0.,0.8,8.6
22,"Jeffery, Alshon",PHI,WAS,WR,7.1,1.2,3.5,50.3,0.5,0.3,0.1,0.,0.1,0.,0.1,0.1,0.,0.,0.4,0.,1.,8.5
23,"Jackson, DeSean",TBB,CAR,WR,8.6,0.7,4.6,68.1,0.2,0.1,0.,0.,0.,0.,0.,1.3,0.,0.,0.,0.,0.5,8.4
24,"Smith-Schuster, JuJu",PIT,LAC,WR,6.8,1.3,3.7,54.2,0.5,0.2,0.2,0.1,0.,0.,0.,0.2,0.,0.1,21.5,0.,1.,8.4
25,"Anderson, Robby",NYJ,@TEN,WR,7.9,0.8,4.1,59.4,0.4,0.,0.,0.1,0.1,0.1,0.1,1.,0.,0.,0.,0.,1.,8.3
26,"Gordon, Josh",CLE,@HOU,WR,9.8,0.5,4.3,69.9,0.2,0.,0.1,0.,0.,0.,0.,0.6,0.,0.6,0.,0.,0.7,8.2
27,"Crabtree, Michael",BAL,@ATL,WR,7.7,1.,4.,48.5,0.5,0.3,0.,0.1,0.1,0.1,0.,0.4,0.,0.,3.5,0.,1.,8.
28,"Davis, Corey",TEN,NYJ,WR,8.2,0.8,4.6,59.,0.4,0.1,0.2,0.,0.,0.,0.1,0.,0.,0.,0.,0.1,0.7,8.
29,"Cole, Keelan",JAC,IND,WR,7.3,0.5,4.4,62.7,0.3,0.2,0.,0.,0.,0.,0.,0.7,0.,0.2,3.5,0.,0.5,7.9
30,"Watkins, Sammy",KCC,@OAK,WR,7.7,1.1,4.1,49.5,0.5,0.2,0.1,0.,0.,0.,0.1,0.3,0.,2.9,2.2,0.,0.7,7.9
31,"Thielen, Adam",MIN,@NEP,WR,8.3,1.2,4.8,65.1,0.2,0.1,0.1,0.,0.,0.,0.1,0.5,0.,0.1,0.2,0.1,0.8,7.7
32,"Williams, Tyrell",LAC,@PIT,WR,5.8,0.3,3.4,55.3,0.4,0.1,0.,0.1,0.,0.,0.2,0.,0.,0.,0.,0.,0.5,7.6
33,"Funchess, Devin",CAR,@TBB,WR,5.9,0.9,3.2,48.1,0.5,0.1,0.1,0.1,0.1,0.,0.,0.2,0.,0.7,0.2,0.,0.8,7.6
34,"Garcon, Pierre",SFO,@SEA,WR,7.6,0.8,4.6,62.5,0.2,0.1,0.1,0.,0.,0.,0.,0.8,0.,1.3,0.6,0.,0.6,7.5
35,"Thomas, Demaryius",DEN,@CIN,WR,9.,1.1,5.,57.9,0.3,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.9,7.5
36,"Ginn Jr., Ted",NOR,@DAL,WR,5.6,0.3,3.7,54.2,0.3,0.,0.,0.,0.1,0.,0.1,3.1,0.,4.9,3.1,0.,0.6,7.4
37,"Nelson, Jordy",OAK,KCC,WR,9.2,1.,5.2,46.2,0.4,0.3,0.,0.,0.,0.,0.,1.8,0.1,0.,5.8,0.,0.9,7.3
38,"Tate, Golden",DET,LAR,WR,7.2,0.5,4.8,57.1,0.3,0.1,0.,0.,0.,0.1,0.,1.1,0.,1.2,0.,0.1,0.6,7.2
39,"Woods, Robert",LAR,@DET,WR,6.9,1.,4.1,54.3,0.3,0.2,0.,0.,0.,0.,0.1,1.8,0.,0.6,0.,0.,0.6,7.2
40,"Stills, Kenny",MIA,BUF,WR,7.,0.8,3.7,51.8,0.4,0.1,0.1,0.2,0.,0.,0.,0.,0.,0.1,0.6,0.1,0.8,7.2
41,"Kupp, Cooper",LAR,@DET,WR,6.6,1.3,4.,51.,0.3,0.1,0.2,0.,0.,0.,0.,0.3,0.,2.1,0.,0.1,0.7,6.7
42,"Parker, DeVante",MIA,BUF,WR,6.7,0.7,4.3,50.,0.3,0.2,0.,0.1,0.,0.,0.1,-0.1,0.,0.9,0.,0.1,0.7,6.7
43,"Agholor, Nelson",PHI,WAS,WR,5.4,0.7,3.5,41.1,0.4,0.,0.2,0.,0.,0.1,0.,2.,0.,0.1,0.,0.,0.8,6.5
44,"Sanders, Emmanuel",DEN,@CIN,WR,8.4,1.,4.3,52.8,0.2,0.1,0.,0.,0.,0.,0.,0.1,0.,0.2,0.,0.,0.6,6.4
45,"Williams, Terrance",DAL,NOR,WR,5.3,0.6,3.3,43.8,0.3,0.1,0.,0.1,0.,0.,0.,0.3,0.,0.,0.,0.,0.5,6.2
46,"Shepard, Sterling",NYG,CHI,WR,6.7,1.,3.8,45.3,0.2,0.1,0.1,0.,0.,0.,0.1,1.1,0.,0.,0.,0.,0.7,6.
47,"Richardson, Paul",WAS,@PHI,WR,6.1,0.8,2.9,41.8,0.3,0.1,0.1,0.,0.,0.,0.,0.2,0.,3.5,0.,0.,0.6,6.
48,"Sanu, Mohamed",ATL,BAL,WR,5.7,0.8,3.8,42.9,0.3,0.2,0.1,0.,0.,0.,0.,0.5,0.,0.,0.2,0.,0.6,6.
49,"Crowder, Jamison",WAS,@PHI,WR,5.2,0.6,3.2,45.5,0.3,0.1,0.1,0.,0.,0.,0.,0.9,0.,8.7,0.,0.1,0.5,5.9
50,"Benjamin, Travis",LAC,@PIT,WR,4.5,0.2,2.3,38.7,0.2,0.,0.,0.,0.,0.1,0.1,4.3,0.,12.3,1.2,0.,0.4,5.8
51,"Golladay, Kenny",DET,LAR,WR,6.,0.7,3.,46.6,0.2,0.,0.,0.,0.,0.,0.1,0.7,0.,0.,1.,0.,0.5,5.7
52,"Humphries, Adam",TBB,CAR,WR,6.4,0.6,4.3,47.7,0.1,0.,0.1,0.,0.,0.,0.,0.6,0.,6.9,0.7,0.,0.4,5.6
53,"Fuller, Will",HOU,CLE,WR,4.8,0.4,3.5,42.6,0.2,0.1,0.1,0.,0.,0.,0.,0.3,0.,10.1,1.2,0.,0.5,5.6
54,"Williams, Chad",ARZ,@GBP,WR,5.3,0.6,2.3,32.,0.4,0.1,0.1,0.1,0.,0.,0.,1.2,0.,0.1,0.4,0.,0.6,5.6
55,"Dorsett, Phillip",NEP,MIN,WR,4.9,0.7,3.,42.7,0.2,0.1,0.,0.,0.,0.,0.,0.5,0.,1.7,0.3,0.,0.5,5.5
