Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Punt Ret Yds,Kick Ret Yds,Pts
1,"Jones, Reshad",MIA,NEP,DB,5.7,2.,0.1,0.5,0.2,0.,0.,0.,0.,0.,7.7
2,"Neal, Keanu",ATL,@GBP,DB,5.6,2.1,0.,0.5,0.1,0.2,0.2,0.,0.,0.,7.6
3,"Collins, Landon",NYG,@WAS,DB,5.4,1.6,0.1,0.7,0.2,0.,0.,0.,0.,0.,7.6
4,"Coleman, Kurt",NOR,@TBB,DB,5.,1.9,0.1,0.9,0.3,0.1,0.1,0.,0.,0.,7.6
5,"Baker, Budda",ARZ,DET,DB,5.2,1.4,0.1,0.7,0.1,0.1,0.1,0.,0.2,0.,7.2
6,"Byard, Kevin",TEN,JAC,DB,4.7,1.3,0.,0.8,0.3,0.,0.,0.,0.,0.,6.8
7,"Burnett, Morgan",PIT,@OAK,DB,4.9,1.6,0.3,0.4,0.1,0.1,0.,0.,0.,0.,6.6
8,"Jones, Byron",DAL,PHI,DB,4.6,1.5,0.,0.6,0.1,0.1,0.,0.,0.,0.,6.4
9,"Geathers, Clayton",IND,@HOU,DB,4.4,1.3,0.,0.7,0.2,0.1,0.,0.,0.,0.,6.3
10,"Davis, Sean",PIT,@OAK,DB,4.5,1.5,0.,0.5,0.2,0.,0.,0.,0.,0.,6.2
11,"Quin, Glover",DET,@ARZ,DB,4.4,1.7,0.,0.4,0.1,0.2,0.,0.,0.,0.,6.2
12,"Lattimore, Marshon",NOR,@TBB,DB,3.6,0.9,0.,1.3,0.3,0.,0.,0.,0.,0.,6.1
13,"Vaccaro, Kenny",TEN,JAC,DB,4.5,1.1,0.1,0.6,0.1,0.1,0.,0.,4.,1.6,6.1
14,"Harris, Erik",OAK,PIT,DB,4.5,0.9,0.,0.6,0.2,0.,0.,0.,0.,0.,6.
15,"Adams, Jamal",NYJ,@BUF,DB,4.4,1.4,0.1,0.5,0.,0.1,0.1,0.,0.,0.,6.
16,"Jenkins, Malcolm",PHI,@DAL,DB,4.3,1.5,0.,0.5,0.2,0.1,0.1,0.,0.,0.,5.9
17,"Tartt, Jaquiski",SFO,DEN,DB,4.6,1.2,0.,0.4,0.1,0.,0.,0.,0.,0.,5.9
18,"McDougald, Bradley",SEA,MIN,DB,4.3,1.5,0.,0.5,0.1,0.1,0.,0.,0.,0.,5.9
19,"Ramsey, Jalen",JAC,@TEN,DB,3.7,0.7,0.,1.2,0.3,0.,0.,0.,0.,0.,5.9
20,"Church, Barry",JAC,@TEN,DB,4.1,1.3,0.1,0.5,0.2,0.,0.,0.,0.,0.,5.8
21,"Smith, Harrison",MIN,@SEA,DB,4.3,1.2,0.1,0.4,0.1,0.,0.,0.,0.,0.,5.8
22,"Amos, Adrian",CHI,LAR,DB,4.8,0.7,0.,0.3,0.1,0.1,0.1,0.,0.,0.,5.8
23,"Hyde, Micah",BUF,NYJ,DB,4.1,1.1,0.,0.7,0.2,0.,0.,0.,2.3,0.,5.8
24,"McCourty, Devin",NEP,@MIA,DB,4.7,1.,0.1,0.4,0.1,0.,0.,0.,0.,0.7,5.8
25,"Berry, Eric",KCC,BAL,DB,3.7,0.9,0.,0.8,0.3,0.1,0.,0.,0.,0.,5.7
26,"Bethea, Antoine",ARZ,DET,DB,4.,0.7,0.1,0.6,0.3,0.1,0.,0.,0.9,0.,5.7
27,"Woods, Xavier",DAL,PHI,DB,4.3,0.9,0.1,0.5,0.1,0.1,0.,0.,0.,0.,5.7
28,"Poyer, Jordan",BUF,NYJ,DB,3.5,1.7,0.1,0.6,0.3,0.,0.,0.,0.,0.,5.7
29,"Brice, Kentrell",GBP,ATL,DB,3.9,1.,0.,0.7,0.2,0.,0.,0.,1.,0.,5.6
30,"Wilson, Tavon",DET,@ARZ,DB,4.,1.,0.1,0.5,0.2,0.1,0.,0.,0.,0.,5.6
31,"Thomas, Earl",SEA,MIN,DB,3.8,2.3,0.,0.5,0.1,0.,0.,0.,0.,0.,5.6
32,"Ryan, Logan",TEN,JAC,DB,4.2,1.1,0.,0.7,0.1,0.,0.,0.,0.,0.,5.6
33,"Jefferson, Tony",BAL,@KCC,DB,4.2,1.6,0.1,0.3,0.1,0.,0.,0.,0.,0.,5.6
34,"Chung, Patrick",NEP,@MIA,DB,4.1,1.2,0.,0.6,0.1,0.,0.,0.,0.2,0.1,5.5
35,"Gilchrist, Marcus",OAK,PIT,DB,4.,1.,0.,0.7,0.1,0.,0.,0.,0.,0.,5.5
36,"Darby, Ronald",PHI,@DAL,DB,3.7,0.6,0.,1.2,0.1,0.,0.,0.,0.,0.,5.5
37,"Johnson, John",LAR,@CHI,DB,3.8,1.4,0.,0.7,0.1,0.,0.,0.,0.,0.,5.4
38,"Nicholson, Montae",WAS,NYG,DB,3.7,1.1,0.,0.8,0.2,0.,0.,0.,0.3,4.,5.4
39,"Mills, Jalen",PHI,@DAL,DB,3.5,0.8,0.,1.,0.2,0.,0.,0.,0.,0.,5.3
40,"Slay, Darius",DET,@ARZ,DB,3.,0.3,0.,1.4,0.3,0.,0.,0.,0.,0.,5.3
41,"Evans, Justin",TBB,NOR,DB,3.9,0.9,0.,0.6,0.2,0.,0.,0.,0.,0.,5.3
42,"Jackson, Adoree",TEN,JAC,DB,3.9,0.7,0.,0.8,0.,0.1,0.,0.,15.4,32.8,5.3
43,"Melvin, Rashaan",OAK,PIT,DB,3.8,1.3,0.,0.6,0.1,0.1,0.,0.,0.,0.,5.2
44,"Grimes, Brent",TBB,NOR,DB,3.3,0.5,0.,1.1,0.2,0.,0.,0.,0.,0.,5.2
45,"Bouye, A.J.",JAC,@TEN,DB,3.6,0.4,0.,0.8,0.3,0.,0.,0.,0.,0.,5.2
46,"Weddle, Eric",BAL,@KCC,DB,3.2,1.2,0.1,0.6,0.3,0.1,0.,0.,0.,0.1,5.2
47,"Fitzpatrick, Minkah",MIA,NEP,DB,3.6,1.2,0.,0.6,0.1,0.1,0.,0.,0.,0.,5.2
48,"Farley, Matthias",IND,@HOU,DB,3.4,1.8,0.,0.6,0.1,0.,0.,0.,0.,0.,5.2
49,"Joseph, Karl",OAK,PIT,DB,3.9,1.4,0.1,0.3,0.1,0.1,0.1,0.,0.,0.,5.2
50,"Williams, Marcus",NOR,@TBB,DB,3.6,0.9,0.1,0.5,0.2,0.,0.,0.,0.,0.,5.2
51,"Griffin, Shaq",SEA,MIN,DB,3.5,0.7,0.1,1.,0.1,0.,0.,0.,0.,0.,5.1
52,"Alford, Robert",ATL,@GBP,DB,3.6,0.4,0.,1.2,0.1,0.,0.,0.,0.,0.,5.1
53,"Apple, Eli",NYG,@WAS,DB,3.8,0.9,0.,0.7,0.1,0.,0.,0.,0.,0.,5.1
54,"Sendejo, Andrew",MIN,@SEA,DB,3.3,1.5,0.,0.6,0.2,0.,0.,0.,0.,0.,5.1
55,"Williams, Shawn",CIN,@LAC,DB,3.8,1.,0.,0.5,0.2,0.,0.,0.,0.2,0.,5.1
56,"Awuzie, Chidobe",DAL,PHI,DB,3.2,1.1,0.,0.9,0.2,0.,0.,0.,0.,0.,5.1
57,"Brown, Anthony",DAL,PHI,DB,3.3,0.9,0.1,0.9,0.2,0.1,0.,0.,0.,0.,5.1
58,"Peters, Marcus",LAR,@CHI,DB,3.5,0.5,0.,0.7,0.2,0.2,0.1,0.,0.,0.,5.1
59,"Dennard, Darqueze",CIN,@LAC,DB,3.6,1.6,0.1,0.3,0.1,0.,0.,0.,0.,0.,5.
60,"Heath, Jeff",DAL,PHI,DB,3.8,0.5,0.1,0.4,0.2,0.1,0.,0.,0.,0.,5.
61,"Jackson, Eddie",CHI,LAR,DB,3.7,1.1,0.,0.3,0.1,0.1,0.1,0.,0.3,0.,5.
62,"Adams, Mike",CAR,@CLE,DB,3.4,0.7,0.,0.6,0.2,0.2,0.1,0.,0.,0.,4.9
63,"Colbert, Adrian",SFO,DEN,DB,3.7,0.4,0.,0.6,0.,0.2,0.1,0.,0.,0.,4.9
64,"Burns, Artie",PIT,@OAK,DB,3.4,0.8,0.,0.9,0.1,0.,0.,0.,0.,0.,4.9
65,"Carr, Brandon",BAL,@KCC,DB,3.5,0.4,0.,0.8,0.2,0.,0.,0.,0.,0.,4.9
66,"Stewart, Darian",DEN,@SFO,DB,3.4,0.8,0.,0.4,0.2,0.1,0.,0.,0.,0.,4.9
67,"Ward, Denzel",CLE,CAR,DB,3.4,0.9,0.,0.7,0.2,0.1,0.,0.,1.4,3.9,4.9
