Rank,Player,Team,Opp,Position,GAMES_WON,GAMES_LOST,POINTS_SCORED,POINTS_DIFF,Pts
1,"Pederson, Doug",PHI,HOU,HC,1.,0.,35.,21.,27.8
2,"Lewis, Marvin",CIN,@CLE,HC,1.,0.,31.,17.,24.6
3,"Marrone, Doug",JAC,@MIA,HC,1.,0.,33.,10.,23.5
4,"Payton, Sean",NOR,PIT,HC,1.,0.,34.,6.,22.8
5,"Belichick, Bill",NEP,BUF,HC,1.,0.,32.,8.,22.4
6,"Reich, Frank",IND,NYG,HC,1.,0.,26.,11.,20.3
7,"McCarthy, Mike",GBP,@NYJ,HC,1.,0.,28.,4.,19.2
8,"Carroll, Pete",SEA,KCC,HC,1.,0.,28.,4.,19.2
9,"Zimmer, Mike",MIN,@DET,HC,1.,0.,29.,2.,19.1
10,"Gruden, Jon",OAK,DEN,HC,1.,0.,25.,7.,18.6
11,"Quinn, Dan",ATL,@CAR,HC,1.,0.,26.,3.,17.9
12,"McVay, Sean",LAR,@ARZ,HC,1.,0.,24.,5.,17.5
13,"Gruden, Jay",WAS,@TEN,HC,1.,0.,24.,5.,17.5
14,"Reid, Andy",KCC,@SEA,HC,1.,0.,24.,5.,17.5
15,"Shanahan, Kyle",SFO,CHI,HC,1.,0.,22.,8.,17.4
16,"Bowles, Todd",NYJ,GBP,HC,1.,0.,25.,2.,17.1
17,"Jackson, Hue",CLE,CIN,HC,1.,0.,24.,2.,16.6
18,"Garrett, Jason",DAL,TBB,HC,1.,0.,23.,2.,16.1
19,"Lynn, Anthony",LAC,BAL,HC,0.,1.,27.,-1.,13.2
20,"Joseph, Vance",DEN,@OAK,HC,0.,1.,24.,-1.,11.7
21,"Shurmer, Pat",NYG,@IND,HC,0.,1.,24.,-2.,11.4
22,"Campbell, Dan",MIA,JAC,HC,0.,1.,26.,-7.,10.9
23,"Vrabel, Mike",TEN,WAS,HC,0.,1.,22.,-2.,10.4
24,"Wilks, Steve",ARZ,LAR,HC,0.,1.,21.,-3.,9.6
25,"Rivera, Ron",CAR,ATL,HC,0.,1.,21.,-5.,9.
26,"Koetter, Dirk",TBB,@DAL,HC,0.,1.,19.,-4.,8.3
27,"Tomlin, Mike",PIT,@NOR,HC,0.,1.,23.,-11.,8.2
28,"Patricia, Matt",DET,MIN,HC,0.,1.,21.,-8.,8.1
29,"Nagy, Matt",CHI,@SFO,HC,0.,1.,16.,-6.,6.2
30,"Harbaugh, John",BAL,@LAC,HC,0.,1.,19.,-16.,4.7
31,"O'Brien, Bill",HOU,@PHI,HC,0.,1.,18.,-17.,3.9
32,"McDermott, Sean",BUF,@NEP,HC,0.,1.,15.,-19.,1.8
