Rank,Player,Team,Opp,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
1,"Irvin, Bruce",OAK,@KCC,DL,3.3,1.4,0.6,0.3,0.,0.2,0.1,0.,5.
2,"Watt, J.J.",HOU,JAC,DL,3.6,1.5,0.1,0.2,0.,0.,0.,0.,4.7
3,"Campbell, Calais",JAC,@HOU,DL,2.7,1.1,0.7,0.2,0.,0.2,0.1,0.,4.4
4,"Donald, Aaron",LAR,SFO,DL,2.8,0.8,0.7,0.2,0.,0.3,0.,0.,4.4
5,"Bosa, Joey",LAC,@DEN,DL,2.9,1.,0.7,0.,0.,0.1,0.1,0.,4.3
6,"Jordan, Cameron",NOR,CAR,DL,2.6,0.9,0.6,0.6,0.,0.1,0.,0.,4.2
7,"Jones, Chandler",ARZ,@SEA,DL,2.9,0.8,0.5,0.2,0.,0.2,0.1,0.,4.2
8,"Harrison, Damon",NYG,DAL,DL,3.1,1.3,0.1,0.2,0.1,0.,0.,0.,4.2
9,"Lawrence, Demarcus",DAL,@NYG,DL,2.3,1.2,0.8,0.1,0.,0.2,0.1,0.,4.1
10,"Flowers, Trey",NEP,NYJ,DL,2.6,1.6,0.4,0.2,0.,0.1,0.,0.,4.1
11,"Quinn, Robert",MIA,@BUF,DL,2.6,0.9,0.8,0.1,0.,0.2,0.,0.,4.1
12,"Lawson, Carl",CIN,@PIT,DL,2.8,1.3,0.4,0.2,0.,0.,0.,0.,4.1
13,"Ngakoue, Yannick",JAC,@HOU,DL,2.4,0.4,0.8,0.2,0.,0.3,0.1,0.,4.1
14,"Griffen, Everson",MIN,CHI,DL,2.2,1.,0.8,0.2,0.,0.2,0.,0.,4.
15,"Pierre-Paul, Jason",TBB,ATL,DL,2.7,1.,0.4,0.3,0.,0.1,0.,0.,4.
16,"Graham, Brandon",PHI,@WAS,DL,2.6,1.1,0.6,0.1,0.,0.2,0.,0.,3.9
17,"Wake, Cameron",MIA,@BUF,DL,2.2,1.1,0.8,0.1,0.,0.1,0.,0.,3.9
18,"Ingram, Melvin",LAC,@DEN,DL,2.6,1.,0.6,0.1,0.,0.,0.,0.,3.8
