Rank,Player,Team,Opp,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,Rush Yds,Rush TDs,Punt Ret Yds,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
1,"Gronkowski, Rob",NEP,@DET,TE,8.6,1.6,5.,77.,0.6,0.4,0.1,0.,0.1,0.,0.1,0.,0.,0.,0.,0.,1.3,11.6
2,"Kelce, Travis",KCC,SFO,TE,8.5,1.5,5.7,76.2,0.5,0.1,0.2,0.1,0.,0.,0.,0.1,0.,0.,0.,0.,1.,10.6
3,"Engram, Evan",NYG,@HOU,TE,9.1,0.9,5.1,54.2,0.4,0.2,0.2,0.,0.,0.,0.,0.6,0.,0.,0.,0.,0.8,7.8
4,"Olsen, Greg",CAR,CIN,TE,8.3,1.4,4.5,59.8,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.9,7.5
5,"Ertz, Zach",PHI,IND,TE,6.8,1.1,4.7,50.9,0.4,0.1,0.2,0.,0.,0.,0.,0.,0.,0.,0.2,0.,0.6,7.4
6,"Graham, Jimmy",GBP,@WAS,TE,6.1,1.3,3.4,36.1,0.5,0.3,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.1,6.5
7,"Burton, Trey",CHI,@ARZ,TE,4.4,0.9,2.9,31.9,0.4,0.1,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.7,6.
8,"Reed, Jordan",WAS,GBP,TE,5.6,0.8,3.9,39.9,0.3,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.7,5.8
9,"Gates, Antonio",LAC,@LAR,TE,4.9,0.9,3.,36.3,0.4,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6,5.8
10,"Vannett, Nick",SEA,DAL,TE,4.,1.1,2.5,27.8,0.5,0.3,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.8,5.8
11,"Rudolph, Kyle",MIN,BUF,TE,5.3,1.1,3.4,32.2,0.4,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,1.,5.7
12,"Cook, Jared",OAK,@MIA,TE,6.2,0.8,3.7,47.6,0.2,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.1,0.6,5.7
13,"Howard, O.J.",TBB,PIT,TE,3.5,0.6,2.2,30.7,0.4,0.2,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.1,0.7,5.5
14,"Eifert, Tyler",CIN,@CAR,TE,3.7,0.8,2.6,29.,0.4,0.3,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6,5.4
15,"Gesicki, Mike",MIA,OAK,TE,4.9,0.9,3.4,30.6,0.4,0.3,0.1,0.,0.,0.,0.,0.,0.,0.,0.6,0.,0.9,5.4
16,"Doyle, Jack",IND,@PHI,TE,6.1,0.6,4.2,37.7,0.2,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4,5.2
17,"Hurst, Hayden",BAL,DEN,TE,5.9,0.9,4.2,37.8,0.2,0.2,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.5,5.1
18,"Walker, Delanie",TEN,@JAC,TE,5.6,0.7,3.3,38.3,0.2,0.1,0.,0.1,0.,0.,0.,0.2,0.,0.,0.,0.1,0.5,5.1
19,"Njoku, David",CLE,NYJ,TE,5.3,0.7,2.9,35.,0.3,0.1,0.,0.2,0.,0.,0.,0.1,0.,0.,0.,0.,0.6,5.
20,"Brate, Cameron",TBB,PIT,TE,4.3,0.7,2.4,31.,0.3,0.,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.5,4.8
21,"Kittle, George",SFO,@KCC,TE,4.1,0.8,2.7,35.9,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4,4.7
22,"Davis, Vernon",WAS,GBP,TE,4.2,0.5,2.7,37.6,0.2,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.1,0.1,0.5,4.6
23,"Seals-Jones, Ricky",ARZ,CHI,TE,4.,0.6,2.,28.1,0.3,0.,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.5,4.5
24,"McDonald, Vance",PIT,@TBB,TE,4.9,0.8,3.2,33.3,0.2,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.5,4.5
25,"Seferian-Jenkins, Austin",JAC,TEN,TE,5.5,1.,3.5,28.4,0.3,0.1,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.8,4.4
26,"Griffin, Ryan",HOU,NYG,TE,5.,0.6,2.9,29.5,0.2,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4,4.3
27,"Ebron, Eric",IND,@PHI,TE,4.9,0.7,3.1,32.2,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.5,4.1
28,"Swaim, Geoff",DAL,@SEA,TE,4.4,0.7,3.1,28.2,0.2,0.1,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.5,4.
29,"Celek, Garrett",SFO,@KCC,TE,2.2,0.4,1.4,21.,0.2,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4,3.5
30,"Heuerman, Jeff",DEN,@BAL,TE,2.6,0.3,1.6,23.1,0.2,0.,0.1,0.,0.,0.,0.1,0.,0.,0.,0.,0.,0.3,3.4
31,"Tomlinson, Eric",NYJ,@CLE,TE,4.2,0.7,2.6,24.3,0.2,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.4,3.3
32,"Watson, Benjamin",NOR,@ATL,TE,3.6,0.6,2.7,23.9,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4,3.3
33,"Hooper, Austin",ATL,NOR,TE,3.6,0.6,2.4,22.3,0.2,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.5,3.3
34,"Clay, Charles",BUF,@MIN,TE,4.3,0.6,2.6,26.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4,3.2
35,"Willson, Luke",DET,NEP,TE,2.1,0.4,1.5,15.,0.2,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,1.5,0.1,0.3,2.7
36,"Kroft, Tyler",CIN,@CAR,TE,2.3,0.4,1.6,13.6,0.2,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,2.6
37,"Higbee, Tyler",LAR,LAC,TE,2.9,0.4,1.6,17.1,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,2.3
38,"James, Jesse",PIT,@TBB,TE,2.9,0.4,1.9,18.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,2.1
39,"Ellison, Rhett",NYG,@HOU,TE,2.1,0.1,1.4,14.5,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,1.9
40,"Lewis, Marcedes",GBP,@WAS,TE,2.5,0.3,1.2,13.5,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,1.9
41,"Goedert, Dallas",PHI,IND,TE,2.3,0.4,1.4,11.6,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.2,0.,0.2,1.8
42,"Dissly, Will",SEA,DAL,TE,1.7,0.2,1.2,11.5,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.,1.8,0.,0.1,1.8
43,"Harris, Demetrius",KCC,SFO,TE,2.3,0.5,1.2,14.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,1.3,0.,0.4,1.7
44,"Gresham, Jermaine",ARZ,CHI,TE,2.4,0.4,1.4,14.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,1.7
45,"Sims, Dion",CHI,@ARZ,TE,2.1,0.2,1.1,12.5,0.1,0.,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.2,1.7
46,"Boyle, Nick",BAL,DEN,TE,2.7,0.8,2.,14.8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.4,1.6
47,"Fells, Darren",CLE,NYJ,TE,2.1,0.4,1.2,13.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6,0.,0.3,1.6
48,"DeValve, Seth",CLE,NYJ,TE,2.1,0.2,1.1,13.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,1.5
49,"Akins, Jordan",HOU,NYG,TE,2.8,0.3,1.4,13.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,1.5
50,"Lee, Khari",BUF,@MIN,TE,1.8,0.1,0.9,11.7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.3,0.,0.2,1.4
51,"Green, Virgil",LAC,@LAR,TE,1.5,0.2,1.1,12.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,1.3
52,"Hill, Josh",NOR,@ATL,TE,1.9,0.4,1.1,10.7,0.1,0.1,0.,0.,0.,0.,0.,-0.5,0.,0.,0.,0.1,0.3,1.3
53,"Smith, Jonnu",TEN,@JAC,TE,1.7,0.1,1.1,8.9,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,1.3
54,"Kendricks, Lance",GBP,@WAS,TE,2.4,0.2,1.1,11.5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,1.2
55,"Everett, Gerald",LAR,LAC,TE,1.7,0.4,0.7,7.6,0.1,0.1,0.,0.,0.,0.,0.,0.3,0.,0.,0.,0.1,0.2,1.1
56,"O'Shaughnessy, James",JAC,TEN,TE,1.3,0.3,0.7,8.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.2,1.
57,"Morgan, David",MIN,BUF,TE,0.9,0.1,0.7,5.8,0.1,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,1.
58,"Adams, Jerell",NYG,@HOU,TE,1.1,0.,0.9,8.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.9
59,"Allen, Dwayne",NEP,@DET,TE,1.1,0.2,0.6,4.9,0.1,0.,0.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.9
60,"Swoope, Erik",IND,@PHI,TE,0.8,0.1,0.4,7.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.8
61,"Derby, A.J.",MIA,OAK,TE,1.4,0.4,0.6,6.3,0.,0.,0.,0.,0.,0.,0.,0.3,0.,0.,0.5,0.,0.2,0.8
62,"Butt, Jake",DEN,@BAL,TE,1.2,0.1,0.7,7.8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.8
63,"Paul, Niles",JAC,TEN,TE,1.3,0.1,0.8,7.1,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,2.6,0.,0.1,0.7
64,"Roberts, Michael",DET,NEP,TE,1.2,0.3,0.6,6.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.5,0.,0.3,0.7
65,"Smith, Lee",OAK,@MIA,TE,1.1,0.1,0.7,6.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.6
66,"Brown, Daniel",CHI,@ARZ,TE,1.,0.,0.6,6.1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.6
67,"Gray, MarQueis",MIA,OAK,TE,0.8,0.1,0.5,5.7,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.4,0.,0.1,0.6
68,"Jarwin, Blake",DAL,@SEA,TE,0.7,0.1,0.4,5.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,0.6
69,"Uzomah, C.J.",CIN,@CAR,TE,0.7,0.1,0.4,4.3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.1,0.5
70,"Williams, Maxx",BAL,DEN,TE,1.,0.2,0.9,5.6,0.,0.,0.,0.,0.,0.,0.,0.5,0.,0.,0.,0.1,0.1,0.5
71,"Sprinkle, Jeremy",WAS,GBP,TE,0.6,0.1,0.3,3.2,0.,0.,0.,0.,0.,0.,0.,0.1,0.,0.,1.1,0.,0.,0.4
