Rank,Player,Team,Opp,Position,XP,XPA,FG,Att,10-19,20-29,30-39,40-49,50+,Miss,Pts
1,"Gould, Robbie",SFO,OAK,K,2.2,2.3,2.3,2.4,0.,0.5,0.7,0.9,0.2,0.1,10.1
2,"Tucker, Justin",BAL,PIT,K,2.1,2.1,2.1,2.2,0.,0.3,0.7,0.8,0.4,0.1,9.6
3,"Butker, Harrison",KCC,@CLE,K,2.3,2.4,2.3,2.6,0.,0.6,1.,0.5,0.2,0.3,9.1
4,"Bryant, Matt",ATL,@WAS,K,2.5,2.5,1.9,2.1,0.,0.4,0.5,0.5,0.5,0.2,9.1
5,"Boswell, Chris",PIT,@BAL,K,2.5,2.6,1.9,2.1,0.,0.4,0.7,0.5,0.2,0.2,8.5
6,"Gano, Graham",CAR,TBB,K,2.1,2.3,1.9,2.1,0.,0.5,0.6,0.7,0.1,0.2,8.2
7,"Lutz, Wil",NOR,LAR,K,3.,3.1,1.7,2.,0.,0.5,0.3,0.6,0.2,0.3,8.1
8,"Zuerlein, Greg",LAR,@NOR,K,2.3,2.4,1.8,1.9,0.,0.4,0.6,0.4,0.3,0.1,8.1
9,"Prater, Matt",DET,@MIN,K,2.1,2.1,1.9,2.2,0.1,0.4,0.5,0.5,0.4,0.3,8.1
10,"Hauschka, Steven",BUF,CHI,K,1.8,2.,1.9,2.2,0.,0.5,0.7,0.4,0.3,0.2,7.9
11,"Gostkowski, Stephen",NEP,GBP,K,2.5,2.7,1.7,2.,0.,0.6,0.4,0.5,0.1,0.2,7.7
12,"McManus, Brandon",DEN,HOU,K,2.1,2.1,1.8,2.1,0.,0.4,0.8,0.4,0.2,0.3,7.4
13,"Myers, Jason",NYJ,@MIA,K,2.,2.,1.9,2.4,0.,0.5,0.4,0.8,0.1,0.5,7.3
14,"Maher, Brett",DAL,TEN,K,2.6,2.7,1.6,2.,0.1,0.4,0.5,0.5,0.2,0.4,7.1
15,"Carlson, Daniel",MIN,DET,K,2.,2.3,1.6,2.,0.,0.4,0.6,0.3,0.2,0.4,6.5
16,"Hopkins, Dustin",WAS,ATL,K,2.1,2.3,1.6,2.1,0.,0.8,0.4,0.3,0.1,0.5,6.3
17,"Catanzaro, Chandler",TBB,@CAR,K,1.7,1.8,1.6,1.9,0.,0.4,0.4,0.6,0.1,0.4,6.2
18,"Succop, Ryan",TEN,@DAL,K,1.8,1.9,1.4,1.7,0.,0.3,0.3,0.6,0.1,0.3,6.
19,"Parkey, Cody",CHI,@BUF,K,1.8,2.1,1.3,1.4,0.,0.4,0.4,0.4,0.1,0.2,5.8
20,"Sanders, Jason",MIA,NYJ,K,2.1,2.3,1.1,1.3,0.,0.4,0.4,0.3,0.,0.1,5.4
21,"Crosby, Mason",GBP,@NEP,K,2.2,2.4,1.2,1.4,0.,0.4,0.4,0.3,0.1,0.3,5.3
22,"Nugent, Mike",OAK,@SFO,K,1.8,2.,1.2,1.4,0.,0.3,0.4,0.4,0.1,0.3,5.2
23,"Gonzalez, Zane",CLE,KCC,K,1.5,1.5,1.,1.2,0.,0.3,0.3,0.3,0.1,0.2,4.1
24,"Sturgis, Caleb",LAC,@SEA,K,1.5,1.8,1.1,1.5,0.,0.5,0.3,0.2,0.1,0.4,4.
25,"Fairbairn, Ka'imi",HOU,@DEN,K,1.3,1.4,1.,1.5,0.,0.2,0.4,0.3,0.1,0.4,3.6
26,"Janikowski, Sebastian",SEA,LAC,K,1.7,1.8,0.8,1.1,0.,0.2,0.3,0.3,0.,0.3,3.4
