Player,Team,Rush Att,Rush Yard,Rush TD,Rec,Rec Yard,Rec TD
Todd Gurley,LAR,273,1255,11,71,677,4
David Johnson,ARI,315,1356,10,70,646,3
Le'Veon Bell,PIT,266,1225,8,80,636,3
Ezekiel Elliott,DAL,295,1329,12,39,346,2
Alvin Kamara,NO,152,806,7,78,717,4
Melvin Gordon,LAC,267,1042,7,62,502,3
Kareem Hunt,KC,266,1145,7,56,427,2
Leonard Fournette,JAC,282,1126,8,48,377,2
Saquon Barkley,NYG,248,1115,8,44,314,2
Dalvin Cook,MIN,238,1094,7,40,315,3
Joe Mixon,CIN,272,1060,7,43,333,2
Devonta Freeman,ATL,217,977,8,46,385,1
Christian McCaffrey,CAR,182,711,5,78,613,4
Jordan Howard,CHI,250,1075,8,20,148,1
Alex Collins,BAL,238,1046,7,28,202,1
Jay Ajayi,PHI,223,982,6,38,236,1
Lamar Miller,HOU,219,853,5,41,296,2
Derrick Henry,TEN,193,851,7,20,165,1
Rex Burkhead,NE,151,648,6,35,285,2
Marshawn Lynch,OAK,209,855,6,24,155,0
LeSean McCoy,BUF,174,729,4,30,247,2
Royce Freeman,DEN,194,776,5,29,194,1
Dion Lewis,TEN,137,615,4,51,345,2
Tevin Coleman,ATL,140,576,5,38,312,2
Kenyan Drake,MIA,165,725,4,38,275,1
Marlon Mack,IND,164,656,4,33,275,2
Peyton Barber,TB,164,705,5,27,212,1
Mark Ingram,NO,134,615,5,27,217,2
Isaiah Crowell,NYJ,172,686,5,31,205,1
Devontae Booker,DEN,163,636,4,33,256,1
Duke Johnson,CLE,79,341,2,64,565,2
Alfred Morris,SF,171,717,6,8,59,0
Carlos Hyde,CLE,160,656,5,29,177,0
Bilal Powell,NYJ,143,586,4,31,235,1
Chris Thompson,WAS,78,345,2,56,472,3
Kerryon Johnson,DET,159,667,4,34,202,0
Jamaal Williams,GB,152,608,4,25,196,1
Chris Ivory,BUF,139,555,4,30,205,1
Matt Breida,SF,100,429,3,41,315,2
Chris Carson,SEA,135,555,4,23,185,1
Javorius Allen,BAL,124,472,3,48,286,1
Giovani Bernard,CIN,93,399,2,42,356,2
Frank Gore,MIA,149,565,4,27,182,0
James White,NE,51,215,1,60,472,4
Latavius Murray,MIN,139,555,5,14,92,0
Sony Michel,NE,126,555,4,15,105,0
Tarik Cohen,CHI,70,302,1,50,416,2
Ty Montgomery,GB,75,316,2,43,316,2
Corey Clement,PHI,97,415,3,26,202,1
Doug Martin,OAK,146,526,3,18,145,0
Theo Riddick,DET,66,245,1,54,416,2
Rashaad Penny,SEA,124,495,3,24,161,0
Adrian Peterson,WAS,130,482,4,13,95,0
Austin Ekeler,LAC,84,334,2,36,266,1
Nick Chubb,CLE,110,441,4,11,75,0
Wayne Gallman,NYG,86,325,2,34,245,1
Ronald Jones,TB,112,446,3,17,105,0
Samaje Perine,WAS,100,398,3,22,151,0
T.J. Yeldon,JAC,72,315,2,31,225,1
C.J. Anderson,CAR,101,403,4,9,72,0
Corey Grant,JAC,58,274,2,25,202,1
Rod Smith,DAL,65,288,2,22,185,1
D'Onta Foreman,HOU,89,356,2,16,116,1
Darren Sproles,PHI,47,156,1,36,278,2
LeGarrette Blount,DET,84,345,4,2,13,0
Aaron Jones,GB,85,375,2,13,74,0
Nyheim Hines,IND,72,287,1,19,135,1
Jalen Richard,OAK,39,176,2,31,225,0
Jordan Wilkins,IND,83,332,2,9,57,0
Spencer Ware,KC,72,275,2,14,86,0
Chase Edmonds,ARI,47,215,1,24,186,0
Malcolm Brown,LAR,70,317,1,9,67,0
Jonathan Stewart,NYG,57,216,3,5,31,0
Kyle Juszczyk,SF,19,75,0,32,217,1
Kenneth Dixon,BAL,56,235,1,5,32,0
Mike Gillislee,NO,40,159,2,6,45,0
Rob Kelley,WAS,46,179,2,3,23,0
Robert Turbin,IND,47,180,1,12,77,0
Alfred Blue,HOU,56,214,1,5,36,0
Jeremy Hill,NE,44,167,2,1,9,0
Mike Davis,SEA,49,185,1,7,45,0
Jacquizz Rodgers,TB,38,140,1,16,89,0
James Conner,PIT,46,203,1,2,14,0
Elijah McGuire,NYJ,33,138,0,11,82,0
Damien Williams,KC,28,112,1,5,37,0
Cameron Artis-Payne,CAR,31,125,1,3,19,0
John Kelly,LAR,46,182,0,3,18,0
Kalen Ballage,MIA,27,118,1,2,15,0
Mark Walton,CIN,20,86,0,11,85,0
Ito Smith,ATL,36,145,0,4,26,0
J.D. McKissic,SEA,21,82,0,12,85,0
Boston Scott,NO,24,107,1,0,0,0
Jaylen Samuels,PIT,23,82,0,9,64,0
Alex Armah,CAR,19,84,0,8,56,0
Marcus Murphy,BUF,20,88,0,4,29,0
Stevan Ridley,PIT,18,86,0,0,1,0
Wendell Smallwood,PHI,19,67,0,2,13,0
Anthony Sherman,KC,8,35,0,6,42,0
T.J. Logan,ARI,14,55,0,3,22,0
David Fluellen,TEN,15,64,0,1,7,0
DeAndre Washington,OAK,14,55,0,1,5,0
Paul Perkins,NYG,14,46,0,1,11,0
C.J. Prosise,SEA,13,42,0,2,11,0
Derek Watt,LAC,6,20,0,4,26,0
Nick Bawden,DET,1,6,0,4,35,0
Tyler Ervin,HOU,7,26,0,2,13,0
Trey Edmunds,NO,0,0,0,3,36,0
Senorise Perry,MIA,5,22,0,1,6,0
Ameer Abdullah,DET,2,11,0,1,4,0
C.J. Ham,MIN,4,11,0,0,0,0
