Player,Team,Rec,Rec Yard,Rec TD
Rob Gronkowski,NE,81,1140,9
Travis Kelce,KC,87,1056,7
Zach Ertz,PHI,75,845,6
Evan Engram,NYG,60,716,5
Delanie Walker,TEN,61,713,5
Jimmy Graham,GB,52,516,7
Kyle Rudolph,MIN,53,549,6
Trey Burton,CHI,57,665,4
Greg Olsen,CAR,56,656,4
Jack Doyle,IND,66,605,4
David Njoku,CLE,50,585,4
George Kittle,SF,44,513,5
Vance McDonald,PIT,51,556,4
Charles Clay,BUF,51,545,4
Jared Cook,OAK,43,545,4
Eric Ebron,IND,50,515,4
Cameron Brate,TB,43,506,4
Austin Hooper,ATL,44,505,4
Jordan Reed,WAS,47,550,3
O.J. Howard,TB,38,485,4
Ricky Seals-Jones,ARI,39,456,4
Tyler Eifert,CIN,40,455,4
Antonio Gates,LAC,40,416,4
Nick Vannett,SEA,41,454,3
Vernon Davis,WAS,36,429,3
Mike Gesicki,MIA,38,427,3
Ben Watson,NO,40,417,3
Austin Seferian-Jenkins,JAC,42,451,2
Jake Butt,DEN,32,356,3
Garrett Celek,SF,30,366,2
Hayden Hurst,BAL,33,335,2
Luke Willson,DET,33,326,2
Nick Boyle,BAL,35,325,2
Tyler Higbee,LAR,29,315,2
Dallas Goedert,PHI,29,305,2
Blake Jarwin,DAL,27,300,2
Marcedes Lewis,GB,23,235,3
Ryan Griffin,HOU,27,286,2
Chris Herndon,NYJ,27,285,2
Tyler Kroft,CIN,24,256,2
Jonnu Smith,TEN,23,248,2
Gerald Everett,LAR,23,225,2
Levine Toilolo,DET,25,245,1
Jordan Akins,HOU,25,245,1
Logan Thomas,BUF,20,245,1
Jesse James,PIT,23,235,1
Virgil Green,LAC,24,225,1
Jermaine Gresham,ARI,20,215,1
Adam Shaheen,CHI,19,205,1
Jordan Leggett,NYJ,18,189,1
Jeff Heuerman,DEN,16,188,1
Dwayne Allen,NE,11,125,2
Demetrius Harris,KC,17,182,1
Josh Hill,NO,16,182,1
Seth Devalve,CLE,15,156,1
Will Dissly,SEA,16,155,1
Lance Kendricks,GB,14,146,1
James O'Shaughnessy,JAC,15,145,1
Ian Thomas,CAR,13,135,1
David Morgan,MIN,11,127,1
Geoff Swaim,DAL,11,124,1
Ed Dickson,SEA,12,115,1
Erik Swoope,IND,10,100,1
A.J. Derby,MIA,9,86,1
Logan Paulsen,ATL,8,85,1
Richard Rodgers,PHI,8,84,1
Maxx Williams,BAL,12,118,0
Rico Gathers,DAL,5,56,1
Jerell Adams,NYG,9,103,0
Tyler Conklin,MIN,7,86,0
C.J. Uzomah,CIN,9,82,0
Dalton Schultz,DAL,7,77,0
Michael Roberts,DET,7,77,0
Lee Smith,OAK,5,55,0
Rhett Ellison,NYG,4,41,0
Daniel Brown,CHI,3,39,0
