Player,Team,Rec,Rec Yard,Rec TD,Rush Att,Rush Yard,Rush TD
Antonio Brown,PIT,101,1366,10,0,0,0
DeAndre Hopkins,HOU,92,1266,11,0,0,0
Julio Jones,ATL,96,1517,6,0,0,0
Odell Beckham Jr.,NYG,92,1275,9,2,16,0
Davante Adams,GB,85,1126,9,0,0,0
Michael Thomas,NO,97,1188,7,0,0,0
Tyreek Hill,KC,74,1015,7,11,85,1
A.J. Green,CIN,77,1096,8,0,0,0
Keenan Allen,LAC,90,1206,6,0,0,0
Mike Evans,TB,78,1082,7,0,0,0
Amari Cooper,OAK,76,1066,7,0,0,0
Doug Baldwin,SEA,80,1046,7,0,0,0
Stefon Diggs,MIN,80,1040,6,5,16,0
Allen Robinson,CHI,72,968,7,0,0,0
T.Y. Hilton,IND,70,1085,5,0,0,0
Demaryius Thomas,DEN,81,1007,6,0,0,0
JuJu Smith-Schuster,PIT,68,945,7,0,0,0
Golden Tate,DET,92,1045,5,4,19,0
Larry Fitzgerald,ARI,92,989,6,0,0,0
Marquise Goodwin,SF,59,885,6,5,36,0
Chris Hogan,NE,67,905,6,0,0,0
Adam Thielen,MIN,69,945,5,0,0,0
Robby Anderson,NYJ,62,860,6,3,23,0
Michael Crabtree,BAL,74,878,6,0,0,0
Brandin Cooks,LAR,54,813,5,12,65,1
Devin Funchess,CAR,63,865,6,0,0,0
Marvin Jones,DET,54,855,6,0,0,0
Emmanuel Sanders,DEN,63,845,5,0,0,0
Kenny Stills,MIA,60,845,5,0,0,0
Jarvis Landry,CLE,68,845,5,0,0,0
Randall Cobb,GB,69,716,6,5,36,0
Josh Gordon,CLE,52,805,5,0,0,0
Cooper Kupp,LAR,62,802,5,0,0,0
Keelan Cole,JAC,50,802,5,0,0,0
Pierre Garcon,SF,63,797,5,0,0,0
Corey Davis,TEN,62,771,5,0,0,0
Robert Woods,LAR,56,755,5,2,15,0
Sammy Watkins,KC,54,764,5,0,0,0
Jamison Crowder,WAS,71,813,4,0,0,0
Alshon Jeffery,PHI,55,731,5,0,0,0
Nelson Agholor,PHI,65,725,5,0,0,0
Tyrell Williams,LAC,45,705,5,0,0,0
Dede Westbrook,JAC,58,765,4,0,0,0
Tyler Lockett,SEA,46,632,4,9,65,1
Jordy Nelson,OAK,56,690,5,0,0,0
DeSean Jackson,TB,42,645,5,4,27,0
Julian Edelman,NE,59,692,4,5,36,0
Danny Amendola,MIA,73,759,3,0,0,0
Will Fuller,HOU,43,636,5,0,0,0
Allen Hurns,DAL,56,688,4,0,0,0
DeVante Parker,MIA,52,677,4,0,0,0
Mohamed Sanu,ATL,63,677,4,0,0,0
Josh Doctson,WAS,44,615,5,0,0,0
Ted Ginn Jr.,NO,46,660,4,0,0,0
Kelvin Benjamin,BUF,49,655,4,0,0,0
Kenny Golladay,DET,36,562,5,0,0,0
Sterling Shepard,NYG,49,618,4,0,0,0
John Ross,CIN,41,553,5,0,0,0
Mike Williams,LAC,39,533,5,0,0,0
Cameron Meredith,NO,38,515,4,0,0,0
Jermaine Kearse,NYJ,44,555,3,0,0,0
Geronimo Allison,GB,37,485,4,0,0,0
Chris Godwin,TB,42,577,2,0,0,0
John Brown,BAL,36,513,3,0,0,0
Brandon Marshall,SEA,34,436,4,0,0,0
Donte Moncrief,JAC,39,495,3,0,0,0
Calvin Ridley,ATL,33,425,4,0,0,0
Terrance Williams,DAL,37,475,3,0,0,0
Courtland Sutton,DEN,34,456,3,0,0,0
Quincy Enunwa,NYJ,33,456,3,0,0,0
Rishard Matthews,TEN,33,455,3,0,0,0
Travis Benjamin,LAC,28,446,3,0,0,0
Mike Wallace,PHI,31,445,3,0,0,0
Anthony Miller,CHI,34,441,3,0,0,0
Zay Jones,BUF,35,435,3,0,0,0
Michael Gallup,DAL,33,434,3,0,0,0
Ryan Grant,IND,33,433,3,0,0,0
James Washington,PIT,32,422,3,0,0,0
J.J. Nelson,ARI,31,437,2,0,0,0
Willie Snead,BAL,35,435,2,0,0,0
