Player,Team,FG,FGA,XPT,FPts
Adam Vinatieri,IND,24,,36.7,108.7
Aldrick Rosas,NYG,24.1,,33.8,106.1
Brandon McManus,DEN,25.6,,33.9,110.7
Brett Maher,DAL,25.1,,34.6,109.9
Caleb Sturgis,LAC,26.2,,42,120.6
Chandler Catanzaro,TB,25.3,,36.4,112.3
Chris Boswell,PIT,25.1,,46,121.3
Cody Parkey,CHI,24.7,,30.8,105
Daniel Carlson,MIN,25.7,,43.6,120.5
Dustin Hopkins,WAS,25.7,,39.9,117
Graham Gano,CAR,26.5,,34.9,114.5
Greg Zuerlein,LAR,25.4,,41.6,117.7
Harrison Butker,KC,25.9,,35.1,112.7
Jake Elliott,PHI,25.3,,44.1,119.8
Jason Myers,NYJ,25.4,,27.2,103.4
Jason Sanders,MIA,26.2,,35.3,113.9
Josh Lambo,JAC,26.8,,37.1,117.6
Justin Tucker,BAL,26.2,,36.5,114.9
Ka'imi Fairbairn,HOU,25,,31.3,106.1
Mason Crosby,GB,25.9,,43.2,120.9
Matt Bryant,ATL,25.5,,46.4,123
Matt Prater,DET,24.9,,36.7,111.4
Mike Nugent,OAK,24.3,,37.2,110.1
Phil Dawson,ARI,26.8,,34.3,114.7
Randy Bullock,CIN,25.2,,36,111.5
Robbie Gould,SF,25.1,,38.4,113.8
Ryan Succop,TEN,24.3,,36.9,109.7
Sebastian Janikowski,SEA,24.7,,36,108.8
Stephen Gostkowski,NE,26.7,,51.6,131.6
Steven Hauschka,BUF,24.8,,25.6,100
Wil Lutz,NO,25.6,,47.4,124.2
Zane Gonzalez,CLE,25.8,,31,108.2
