Player,Team,Pass Att,Pass Cmp,Pass Yds,Pass Tds,Pass Ints,Rush Att,Rush Yds,Rush Tds,FL,FPts
Aaron Rodgers,GB,,,4350.2,34.2,9.7,,280.4,2.1,3.7,328.3
Alex Smith,WAS,,,3932.9,27.5,8.3,,250.7,1.7,3.3,280.7
Andrew Luck,IND,,,4275.8,28.5,13.4,,317.1,2.7,3.7,300.7
Andy Dalton,CIN,,,3696.9,22.8,15,,180.3,1.5,3.4,230.2
Baker Mayfield,CLE,,,1144.5,6.4,4.7,,83.8,0.7,1.2,72.7
Ben Roethlisberger,PIT,,,4648.3,30.9,14.3,,116.1,0.9,3.4,293.3
Blaine Gabbert,TEN,,,,,,,,,0,
Blake Bortles,JAC,,,3490.8,20.6,11.1,,345.3,2.5,3.2,245.6
Brandon Weeden,HOU,,,,,,,,,0,
Brett Hundley,SEA,,,95.4,0.6,0.7,,21.1,0.2,0.2,8
Brian Hoyer,NE,,,52.5,0.6,0.6,,31.4,0.15,0.1,8.2
Brock Osweiler,MIA,,,,,,,,0,0,
Cam Newton,CAR,,,3464.6,20.6,13.7,,621.9,5,3.4,279.4
Carson Wentz,PHI,,,3444.8,23.3,11.8,,264.4,1.9,3.2,242.9
Case Keenum,DEN,,,3858,22.5,13.6,,186.3,1.6,3.3,240.2
Chad Henne,KC,,,,,,,,,0,
Chase Daniel,CHI,,,,,,,,0,0,
C.J. Beathard,SF,,,101.8,0.6,0.7,,3.2,0.1,0.1,5.8
Cody Kessler,JAC,,,,,,,,0,0,
Colt McCoy,WAS,,,,,,,,,0,
Cooper Rush,DAL,,,,,,,,,0,
Dak Prescott,DAL,,,3387.5,20.8,11.5,,292.3,2.7,3.1,236.5
Derek Carr,OAK,,,3689.6,23.1,13.1,,121.4,1,3.2,227.6
Deshaun Watson,HOU,,,4099,34.3,14.1,,434.4,4.1,3.4,334.7
DeShone Kizer,GB,,,91.9,0.6,0.6,,14.3,0.1,0.1,7
Drew Brees,NO,,,4815.7,30.3,13.2,,94.7,1,3.2,297.1
Eli Manning,NYG,,,3748.3,20.7,14.1,,55.4,0.5,3,209.3
Geno Smith,LAC,,,,,,,,0,0,
Jacoby Brissett,IND,,,96.8,0.6,0.7,,32.1,0.3,0.2,10
Jameis Winston,TB,,,,,,,,,0,
Jared Goff,LAR,,,4203.1,28.3,14.1,,143.7,1.2,3.4,268.9
Jimmy Garoppolo,SF,,,4445.5,26.1,9.9,,191.6,1.65,3.4,286.4
Joe Flacco,BAL,,,3602.5,19.3,14.8,,127.4,1.2,3.2,206.7
Josh Allen,BUF,,,3184.6,18.2,13.2,,222.8,1.9,3.3,201.5
Josh McCown,NYJ,,,55.7,0.6,0.8,,22,0.25,0,7.4
Josh Rosen,ARI,,,1177.3,6.5,5.1,,92.4,0.8,1.2,75.1
Kirk Cousins,MIN,,,4015.8,25.9,13.7,,194.8,1.9,3.6,261.3
Kyle Lauletta,NYG,,,111.4,0.6,0.7,,10.8,0.1,0.2,7.2
Lamar Jackson,BAL,,,,,,,,,0,
Marcus Mariota,TEN,,,3475.6,21.5,11.7,,375.9,2.6,3.2,252.3
Matt Cassel,DET,,,,,,,,0,0,
Matthew Stafford,DET,,,4098.3,28.6,11.4,,128,1,3.3,269.9
Matt Ryan,ATL,,,4249.7,26.4,12,,141,1.1,3.2,266.8
Matt Schaub,ATL,,,,,,,,0,0,
Mitch Trubisky,CHI,,,2906.7,16.1,13.9,,286.8,2.7,3.5,191.8
Nathan Peterman,BUF,,,280.4,1.4,2,,35.3,0.3,0.4,17.4
Nick Foles,PHI,,,307.1,2.3,1.4,,31.5,0.2,0.3,22.5
Patrick Mahomes,KC,,,3725.6,19.1,14.3,,290.1,2.3,3.7,233
Philip Rivers,LAC,,,4451.8,31.2,13.8,,68.1,0.6,3.3,280.7
Robert Griffin,BAL,,,58.6,0.6,0.6,,15.9,0.1,0.1,6.2
Russell Wilson,SEA,,,4042,26.1,13.9,,502.8,3.3,3.5,303.6
Ryan Fitzpatrick,TB,,,4117.5,22.4,17.2,,176,1.6,3.2,242.3
Ryan Tannehill,MIA,,,3893.7,23.6,15.1,,220.2,1.6,3.4,247
Sam Bradford,ARI,,,2720.2,16,8,,69.1,0.6,2.2,164.1
Sam Darnold,NYJ,,,3392.3,19.2,13.6,,233.1,2,3.4,214.9
Sean Mannion,LAR,,,86.7,0.6,0.6,,23.1,0.1,0.2,8.2
Taylor Heinicke,CAR,,,81.9,0.6,0.3,,6.9,0.05,0.1,6.7
Teddy Bridgewater,NO,,,65.1,0.6,0.6,,36.3,0.3,0.2,9.5
Tom Brady,NE,,,4879.7,31.5,8,,72.4,0.7,3.2,312.2
Trevor Siemian,MIN,,,91.4,0.6,0.7,,22.8,0.2,0.2,8.2
Tyrod Taylor,CLE,,,2278.6,11.8,7,,310.1,2.7,2.2,168.3
David Fales,MIA,,,116,0.6,0.8,,25.3,0.3,0.2,9.3
Joshua Dobbs,PIT,,,83.2,0.6,0.6,,11.3,0.1,0.1,6.4
